C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
868 |BD+04 697                          |*  |04 29 40.5142245179 +05 03 45.050779666|     ~|11.21 | 9.73 |     ~|     ~|K              |   0|   0
869 |HD 276403                          |*  |04 30 49.7088573055 +42 41 06.909599057|     ~|12.01 |10.67 |     ~|     ~|K              |   1|   0
870 |HD 276682                          |*  |04 40 02.4397021067 +42 03 45.256243708|     ~|12.36 |10.84 |     ~|     ~|K              |   1|   0
871 |HD 276703                          |*  |04 40 21.1673927497 +41 04 41.691629542|     ~|11.41 |10.57 |     ~|     ~|K              |   1|   0
872 |HD 276564                          |*  |04 32 40.6077404532 +39 33 16.559237636|     ~|11.05 |10.10 |     ~|     ~|K              |   2|   0
873 |HD 279940                          |RG*|04 33 23.7934702065 +37 36 02.255688305|     ~|12.37 |10.988|10.784|     ~|K              |   7|   0
874 |TYC 2884-1243-1                    |*  |04 31 48.2454885408 +39 58 50.557487475|     ~|11.46 | 9.94 |     ~|     ~|K              |   0|   0
875 |HD 282337                          |*  |04 36 09.2993785848 +30 07 46.557595329|     ~|12.59 |11.02 |     ~|     ~|K              |   1|   0
876 |HD 282344                          |*  |04 36 02.3518627750 +29 17 17.610494198|     ~|13.04 |11.41 |     ~|     ~|K              |   1|   0
877 |2MASS J04371838+2945463            |*  |04 37 18.3856606217 +29 45 45.788595326|     ~|     ~|     ~|     ~|     ~|K              |   1|   0
878 |HD 283703                          |*  |04 31 46.8557800030 +26 24 25.663317873|     ~|12.44 |10.50 |     ~|     ~|K              |   3|   0
879 |HD 283683                          |*  |04 33 22.0925004920 +28 36 28.525077301|     ~|13.08 |11.92 |     ~|     ~|K              |   2|   0
880 |HD 285868                          |*  |04 30 35.4604167978 +16 25 52.671700479|     ~|12.56 |11.02 |     ~|     ~|K              |   2|   0
881 |HD 286861                          |*  |04 30 26.5632878132 +10 47 09.775313204|     ~|11.43 |10.26 |     ~|     ~|K              |   1|   0
882 |BD+08 708                          |*  |04 32 43.1570002536 +09 15 50.716651784|     ~|11.88 |10.73 |10.35 |     ~|K              |   0|   0
883 |HD 29124                           |*  |04 35 19.4585926342 +06 40 49.448397822|     ~| 9.73 | 8.52 |     ~|     ~|K              |   1|   0
884 |BD+05 691                          |*  |04 38 05.7581389016 +06 14 01.003545568|     ~|12.27 |11.19 |     ~|     ~|K              |   0|   0
885 |CD-41 1441                         |PM*|04 30 28.4227363642 -40 52 56.971928417|     ~|11.25 |10.62 |     ~|     ~|K              |   0|   0
886 |HD 276928                          |*  |04 50 31.6659086244 +40 04 07.729626521|     ~|11.73 |10.52 |     ~|     ~|K              |   1|   0
887 |HD 280141                          |*  |04 51 13.493 +38 38 02.89              |     ~|10.7  |     ~|     ~|     ~|K              |   1|   0
888 |HD 280083                          |*  |04 46 21.4291300128 +38 31 16.501271469|     ~|11.98 |10.49 |     ~|     ~|K              |   1|   0
889 |HD 282481                          |*  |04 50 19.5096461685 +29 53 53.078740554|     ~|12.30 |10.93 |     ~|     ~|K              |   1|   0
890 |HD 283848                          |*  |04 45 44.9496294184 +27 39 21.268936772|     ~|12.53 |10.83 |     ~|     ~|K              |   1|   0
891 |HD 283873                          |*  |04 50 25.8746604485 +26 02 50.238113613|     ~|12.23 |10.67 |     ~|     ~|K              |   3|   0
892 |HD 283948                          |*  |04 51 42.4658288584 +24 58 32.765107962|     ~|12.01 |10.44 |     ~|     ~|K              |   1|   0
893 |HD 284638                          |*  |04 44 18.9178711418 +23 55 26.972239271|     ~|12.86 |10.46 |     ~|     ~|K              |   1|   0
894 |HD 284799                          |*  |04 46 53.6051829324 +20 27 52.925557855|     ~|12.29 |10.97 |     ~|     ~|K              |   2|   0
895 |HD 285983                          |*  |04 41 57.8155707595 +16 08 01.108646829|     ~|12.79 |10.52 |     ~|     ~|K              |   1|   0
896 |HD 286064                          |*  |04 51 56.4167597690 +18 16 03.809554145|     ~|12.41 |11.24 |     ~|     ~|K              |   1|   0
897 |HD 286110                          |*  |04 51 19.9679573618 +14 36 30.546811014|     ~|11.64 |10.28 | 9.91 |     ~|K              |   1|   0
898 |BD+04 754                          |*  |04 49 07.7959561394 +05 12 30.700240579|     ~| 9.15 | 8.10 |     ~|     ~|K              |   7|   0
899 |BD+02 774                          |*  |04 48 29.7476324602 +02 37 30.458678242|     ~|10.87 | 9.72 |     ~|     ~|K              |   0|   0
900 |HD 30037                           |*  |04 44 07.3429949895 +02 01 30.155090630|     ~|10.04 | 8.62 |     ~|     ~|K              |   2|   0
901 |2E 0439.2-1622                     |*  |04 41 31.0 -16 16 48                   |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
902 |HD 272185                          |PM*|04 47 25.5164432543 -43 13 47.628084181|     ~|12.43 |11.90 |     ~|     ~|K              |   1|   0
903 |BD+40 1100                         |*  |04 56 57.8990730642 +41 07 20.250943548|     ~|11.57 | 9.95 | 9.41 |     ~|K              |   1|   0
904 |BD+38 959                          |*  |04 53 08.1978155364 +38 25 35.981957100|     ~|11.99 |10.48 |     ~|     ~|K              |   0|   0
905 |HD 277414                          |*  |05 02 01.6631979398 +39 49 17.007024545|     ~|11.74 |10.47 |     ~|     ~|K              |   1|   0
906 |HD 277418                          |*  |05 02 33.4420283400 +39 38 50.050315055|     ~|11.94 |10.45 |     ~|     ~|K              |   1|   0
907 |BD+36 970                          |*  |04 59 41.8190659115 +36 56 27.457393654|     ~|12.32 |10.92 |     ~|     ~|K              |   0|   0
908 |HD 280221                          |*  |04 52 43.8406970308 +34 25 02.677902038|     ~|12.41 |10.40 |     ~|     ~|K              |   1|   0
909 |HD 280330                          |PM*|05 00 32.7058760417 +34 56 59.031039220|     ~|12.52 |10.79 |     ~|     ~|K              |   2|   0
910 |TYC 2396-963-1                     |*  |05 02 56.2969442660 +34 06 58.203358036|     ~|12.57 |10.81 |     ~|     ~|K              |   0|   0
911 |HD 280412B                         |*  |05 02 56.50 +34 07 02.6                |     ~|     ~|     ~|     ~|     ~|K              |   0|   0
912 |HD 280412C                         |*  |05 02 56.16 +34 07 02.5                |     ~|     ~|     ~|     ~|     ~|K              |   0|   0
913 |HD 282696                          |*  |05 02 28.3485664046 +32 30 10.044864292|     ~|11.67 |10.50 |     ~|     ~|K              |   1|   0
914 |HD 282753                          |*  |04 58 23.0191823485 +30 00 04.660775410|     ~|12.86 |11.00 |     ~|     ~|K              |   1|   0
915 |HD 283944                          |*  |04 52 52.4407188050 +25 18 18.940786695|     ~|12.67 |11.00 |     ~|     ~|K              |   1|   0
916 |HD 284960                          |*  |04 58 30.6455850460 +23 00 31.978084312|     ~|12.31 |10.84 |     ~|     ~|K              |   2|   0
917 |HD 285020                          |*  |04 59 48.5082629495 +21 55 51.317811798|     ~|13.39 |10.79 |     ~|     ~|K              |   1|   0
918 |HD 285021                          |RG*|04 59 53.8914301883 +22 03 09.855079460|     ~|12.66 |11.05 |     ~|     ~|K              |   3|   0
919 |HD 284942                          |*  |04 58 03.3262356344 +23 35 19.348339202|     ~|12.87 |11.07 |     ~|     ~|K              |   2|   0
920 |HD 285059                          |*  |05 00 48.9307093431 +20 16 34.115935394|     ~|11.98 |10.37 |     ~|     ~|K              |   1|   0
921 |HD 285191                          |*  |05 03 24.8354691990 +21 16 21.238948632|     ~|12.19 |10.97 |     ~|     ~|K              |   1|   0
922 |HD 285086                          |*  |05 01 45.0807792065 +19 54 01.809812510|     ~|12.55 |10.37 |     ~|     ~|K              |   1|   0
923 |HD 286312                          |*  |05 03 41.57 +17 38 09.5                |     ~|10    |     ~|     ~|     ~|K              |   1|   0
924 |HD 286223                          |*  |04 59 48.2673195057 +17 20 03.153778969|     ~|12.63 |10.72 |     ~|     ~|K              |   3|   0
925 |HD 31763                           |PM*|04 59 10.3405754838 +16 04 18.102735970|     ~|11.06 |10.07 |     ~|     ~|K              |   4|   0
926 |[THC97b] J050146.46+114653.6       |*  |05 01 46.46 +11 46 53.6                |     ~|     ~|     ~|     ~|     ~|Km             |   5|   0
927 |BD+08 802                          |*  |04 55 54.5354538393 +08 18 56.028806853|     ~|11.03 |10.36 |     ~|     ~|K              |   0|   0
928 |BD+05 760                          |*  |04 54 03.1036763444 +06 04 10.788456085|     ~|11.75 |10.61 |     ~|     ~|K              |   0|   0
929 |BD-00 834                          |*  |05 03 34.826 +00 03 56.37              |     ~| 9.8  | 8.4  |     ~|     ~|K              |   0|   0
930 |LP 776-62                          |PM*|05 02 20.9249691142 -19 32 01.621715029|     ~|16.095|14.721|13.777|12.713|K              |  10|   0
931 |BD-22 938                          |PM*|04 52 43.1732952872 -22 27 36.535570209|     ~|10.815|10.104|     ~|     ~|K              |   4|   0
932 |V* S Cae                           |EB*|04 56 56.4791687764 -33 08 00.072481865|     ~|11.16 |10.71 |     ~|     ~|K              |   4|   0
933 |HD 272292                          |*  |04 53 35.6992253316 -42 48 13.626777465|     ~|12.56 |11.91 |     ~|     ~|K              |   1|   0
934 |HD 272346                          |PM*|04 57 01.8660349554 -42 36 58.594572296|     ~|10    |     ~|     ~|     ~|K              |   4|   0
935 |HD 272312                          |*  |04 55 06.6725086755 -43 36 51.867747474|     ~|12.582|11.498|     ~|     ~|K              |   2|   0
936 |HD 273059                          |*  |05 02 35.7462524679 -44 02 20.895731464|     ~|12.83 |11.38 |     ~|     ~|K              |   1|   0
937 |HD 277633                          |*  |05 10 39.4818362134 +42 10 29.168717862|     ~|11.73 |10.52 |     ~|     ~|K              |   1|   0
938 |BD+40 1197                         |*  |05 10 50.5472998995 +41 04 17.260099657|     ~|10.81 | 9.21 |     ~|     ~|K              |   0|   0
939 |BD+39 1213                         |*  |05 13 11.9377646585 +40 09 12.374815078|     ~|10.30 | 9.13 |     ~|     ~|K              |   0|   0
940 |BD+39 1199                         |*  |05 11 25.8155540277 +39 39 46.153784969|     ~|11.18 | 9.92 |     ~|     ~|K              |   0|   0
941 |HD 277517                          |*  |05 07 17.7504360869 +41 24 08.201325500|     ~|11.23 | 9.86 |     ~|     ~|K              |   1|   0
942 |HD 280472                          |*  |05 09 54.5760879726 +36 37 08.017664824|     ~|11.78 |10.25 |     ~|     ~|K              |   2|   0
943 |HD 280517                          |*  |05 05 15.9759556993 +34 33 58.340949914|     ~|12.27 |10.66 |     ~|     ~|K              |   1|   0
944 |HD 287587                          |*  |05 11 51.1821129575 +01 25 10.950697843|     ~|12.09 |11.25 |     ~|     ~|K              |   2|   0
945 |HD 287590                          |*  |05 12 40.1791896053 +01 10 06.617228899|     ~|11.88 |10.69 |     ~|     ~|K              |   1|   0
946 |HD 273153                          |*  |05 09 41.2150472130 -41 45 07.020044681|     ~|10    |     ~|     ~|     ~|K              |   1|   0
947 |HD 273208                          |*  |05 12 59.2284088282 -41 45 47.532949537|     ~|13.06 |11.760|     ~|     ~|K              |   2|   0
948 |HD 273123                          |*  |05 07 05.6255808407 -43 46 50.753315953|     ~|12.366|11.282|     ~|     ~|K              |   2|   0
949 |HD 278003                          |*  |05 21 13.8890303336 +43 16 02.799022730|     ~|11.46 |10.39 |     ~|     ~|K              |   1|   0
950 |HD 278048                          |*  |05 23 01.7919622220 +41 15 44.912528216|     ~|11.54 |10.49 |     ~|     ~|K              |   1|   0
951 |BD+39 1269                         |*  |05 21 32.5072985123 +39 52 19.714547013|     ~|11.78 |10.70 |     ~|     ~|K              |   0|   0
952 |HD 278080                          |*  |05 21 12.6129677149 +39 23 51.899371679|     ~|11.20 | 9.64 |     ~|     ~|K              |   1|   0
953 |HD 280837                          |*  |05 17 29.2708998735 +34 12 04.017565930|     ~|11.33 |10.07 |     ~|     ~|K              |   1|   0
954 |HD 287717                          |*  |05 19 33.8422011331 +02 14 40.404251485|     ~|12.29 |11.08 |     ~|     ~|K              |   1|   0
955 |HD 290305                          |*  |05 21 04.24 -00 49 51.9                |     ~|12.2  |11.4  |     ~|     ~|K              |   1|   0
956 |HD 294080                          |*  |05 23 16.1416253018 -03 30 25.984717860|     ~|13.02 |11.23 |     ~|     ~|K              |   2|   0
957 |HD 294086                          |*  |05 23 45.9699592887 -03 53 08.243420027|     ~|11.95 |10.71 |     ~|     ~|K              |   2|   0
958 |BD-08 1110                         |*  |05 23 45.7715717972 -08 14 50.426033447|     ~|10.37 | 8.92 |     ~|     ~|K              |   0|   0
959 |HD 273295                          |*  |05 16 11.4180 -42 28 30.457            |     ~|12.64 |12.06 |     ~|     ~|K              |   1|   0
960 |HD 273633                          |*  |05 18 36.8055760083 -44 10 43.978126961|     ~|13.227|12.161|10.85 |11.044|K              |   9|   0
961 |HD 274100                          |*  |05 25 26.5893496410 -42 17 25.704664999|     ~|12.56 |11.90 |     ~|     ~|K              |   1|   0
962 |HD 35669                           |*  |05 27 55.0834057377 +34 53 30.712998960|     ~| 9.45 | 8.47 |     ~|     ~|K              |   3|   0
963 |TYC 2415-1577-1                    |*  |05 32 44.2853471093 +36 20 41.135990767|     ~|11.47 |10.40 |     ~|     ~|K              |   1|   0
964 |BD+03 968                          |*  |05 34 49.3758707135 +03 47 13.522051886|     ~|11.45 |10.03 |     ~|     ~|K              |   1|   0
965 |ADS 4159 B                         |*  |05 34 01.9 -01 02 08                   |     ~|     ~|11.20 |     ~|     ~|K              |   6|   0
966 |EM* StHA 47                        |TT*|05 35 22.9365390351 -01 11 24.257979321|     ~|13.36 |12.49 |12.33 |     ~|K              |   8|   0
967 |HD 294227                          |*  |05 36 31.9902795697 -02 16 35.945132422|     ~|12.31 |11.00 |10.60 |10.00 |K              |   1|   0
968 |V* V853 Ori                        |Or*|05 36 51.7365515651 -05 13 29.977545666|     ~|14.4  |     ~|     ~|     ~|K              |  10|   0
969 |V* V421 Ori                        |Or*|05 35 27.9750173793 -05 29 31.208714934|17.339|17.342|16.761|     ~|14.243|Ke             |  22|   0
970 |[KPM2006] 202                      |Em*|05 35 46.8227746718 -05 16 46.931707100|     ~|18.527|17.139|     ~|14.263|K              |  13|   1
971 |MLLA 946                           |V* |05 35 13.5903559984 -05 20 31.361957776|     ~|     ~|20.66 |     ~|16.096|K              |  18|   0
972 |Parenago 1867                      |Y*O|05 35 15.83370 -05 23 22.4207          |     ~|     ~|13.645|     ~|12.102|Ke             |  76|   1
973 |COUP 1100                          |*  |05 35 20.3983262652 -05 22 13.636779333|     ~|17.885|16.618|     ~|13.149|K              |  30|   0
974 |COUP 1525                          |Y*O|05 35 35.9015024365 -05 20 33.560727460|     ~|     ~|20.10 |     ~|17.354|K              |  11|   0
975 |MLLA 142                           |*  |05 35 21.990 -05 24 53.30              |     ~|     ~|     ~|     ~|     ~|K              |   6|   0
976 |COUP 1330                          |*  |05 35 25.560 -05 21 54.00              |     ~|     ~|     ~|     ~|     ~|K              |   6|   1
977 |TYC 4778-722-1                     |*  |05 31 48.0113029248 -06 27 49.338398217|     ~|11.90 |11.12 |     ~|     ~|K              |   3|   0
978 |TYC 5345-14-1                      |Ro*|05 30 19.6126318865 -13 08 02.518742640|     ~|12.09 |10.951|     ~| 9.880|K              |   5|   0
979 |BD-22 1139                         |PM*|05 31 39.6968367281 -22 52 36.738263943|     ~|10.957|10.052| 9.5  | 9.271|K              |   3|   0
980 |HD 36700                           |*  |05 32 42.0 -23 33 00                   |     ~|11.1  |10.5  |     ~|     ~|K              |   2|   0
981 |HD 274219                          |*  |05 30 33.4020406888 -41 01 37.929248459|     ~|12.50 |11.53 |     ~|     ~|K              |   1|   0
982 |HD 274229                          |*  |05 31 32.7095428879 -41 35 51.329212142|     ~|12.1  |     ~|     ~|     ~|K              |   1|   0
983 |HD 274171                          |*  |05 26 17.0702521833 -42 24 20.870239810|     ~|12.502|11.41 |10.77 |     ~|K              |   6|   0
984 |HD 274195                          |*  |05 27 22.5134419824 -43 23 49.169646499|     ~|12.0  |     ~|     ~|     ~|K              |   1|   0
985 |HD 274288                          |*  |05 31 39.6177076134 -43 49 57.710198429|     ~|12.86 |12.00 |     ~|     ~|K              |   2|   0
986 |HD 274342                          |*  |05 32 36.0994713276 -43 20 21.426136402|     ~|12.559|11.650|     ~|     ~|K              |   2|   0
987 |HD 274346                          |*  |05 35 12.7587197130 -43 27 09.909571832|     ~|12.2  |     ~|     ~|     ~|K              |   1|   0
988 |[FS2003] 0294                      |*  |05 39 30.80 +32 57 18.0                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
989 |EM* LkHA 206                       |Em*|05 39 33.5848915193 +26 19 47.078352082|     ~|     ~|13.3  |     ~|     ~|K              |   8|   0
990 |HD 38605                           |*  |05 47 57.7836574033 +24 39 41.511253133|     ~| 8.99 | 7.54 |     ~|     ~|K              |   4|   0
991 |HD 37619                           |*  |05 40 30.9740093170 +17 25 50.351874589|     ~|10.01 | 8.95 |     ~|     ~|K              |   1|   0
992 |TYC 714-482-1                      |*  |05 44 01.4217588836 +07 42 45.022236580|     ~|11.95 |10.52 | 9.894|     ~|K              |   0|   0
993 |TYC 119-843-1                      |*  |05 42 53.3910792387 +03 00 06.773130670|     ~|12.16 |11.43 |     ~|     ~|K              |   0|   0
994 |HD 288129                          |*  |05 38 45.0784024697 +02 01 02.475112312|     ~|12.26 |11.21 |     ~|     ~|K              |   1|   0
995 |EM* LkHA 314                       |TT*|05 47 14.1134209082 +00 09 07.305775862|     ~|14.90 |13.8  |     ~|     ~|Ke             |  22|   0
996 |HD 290833                          |*  |05 42 52.33 -00 19 24.8                |     ~|10    |     ~|     ~|     ~|K              |   1|   0
997 |NAME OriNTT 569                    |SB*|05 47 03.0 -00 09 30                   |     ~|     ~|     ~|     ~|     ~|K              |   6|   0
998 |CD-38 2151                         |Pe*|05 40 01.9427129484 -38 49 25.884826623|     ~|10.75 | 9.27 |     ~|     ~|Kp_CH          |  12|   0
999 |HD 249568                          |*  |05 57 47.9130473114 +27 07 41.559679020|     ~|10.41 | 9.23 |     ~|     ~|K              |   2|   0
1000|HD 39759                           |*  |05 54 53.1531501740 +07 01 59.175932025|     ~| 9.89 | 8.80 |     ~|     ~|K              |   4|   0
1001|HD 290942                          |*  |05 55 58.6807959537 +00 46 02.484036062|     ~|10.55 |10.21 |     ~|     ~|K              |   1|   0
1002|HD 294487                          |*  |05 56 57.8381604155 -03 48 28.707674131|     ~|11.08 |10.55 |     ~|     ~|K              |   1|   0
1003|HD 294489                          |*  |05 56 39.3676970300 -03 58 41.325376926|     ~|11.32 |11.09 |     ~|     ~|K              |   1|   0
1004|BD+42 1472                         |*  |06 03 17.1295728415 +42 42 33.304020814|     ~|10.38 | 9.07 |     ~|     ~|K              |   0|   0
1005|BD+44 1366                         |*  |06 07 00.9597912587 +44 09 02.388911633|     ~|10.50 | 9.21 |     ~|     ~|K              |   0|   0
1006|HD 42157                           |*  |06 10 39.5110262103 +31 57 33.880986343|     ~| 8.82 | 7.72 |     ~|     ~|K              |   1|   0
1007|HD 41617                           |*  |06 06 48.3458082303 +12 00 44.912829074|     ~| 9.66 | 8.24 |     ~|     ~|K              |   5|   1
1008|HD 42089                           |*  |06 09 07.2486750643 +07 30 48.691722255|     ~| 7.56 | 6.64 |     ~|     ~|K+A            |  18|   0
1009|BD+04 1142                         |*  |06 09 39.4271444204 +04 47 18.178772833|     ~|10.87 | 9.81 |     ~|     ~|K              |   0|   0
1010|HD 291073                          |*  |06 01 20.4617097163 +00 35 22.601345346|     ~|12.21 |12.06 |     ~|     ~|K              |   1|   0
1011|HD 288421                          |*  |06 07 08.9656206657 +01 59 07.419330396|     ~|11.45 |10.48 |     ~|     ~|K              |   1|   0
1012|HD 291151                          |*  |06 05 06.89 -00 19 01.7                |     ~|10    |     ~|     ~|     ~|K              |   1|   0
1013|BD-22 1301                         |*  |06 03 04.4078001561 -22 28 17.534291316|     ~|10.988| 9.909|     ~|     ~|K              |   1|   0
1014|HD 41631                           |*  |06 04 36.0927350156 -36 42 33.863814353|     ~|10.18 | 8.61 |     ~|     ~|K              |   6|   0
1015|BD+40 1553                         |*  |06 18 54.2226206020 +40 31 19.693134944|     ~|10.36 | 8.96 |     ~|     ~|K              |   0|   0
1016|HD 44169                           |*  |06 21 48.1005950949 +31 00 53.140058471|     ~|10.14 | 8.99 |     ~|     ~|K              |   5|   0
1017|HD 253150                          |*  |06 11 26.8390163602 +04 23 40.290840263|     ~|11.48 |10.18 |     ~|     ~|K              |   2|   0
1018|HD 291372                          |RG*|06 15 20.7774997155 -00 00 08.864630248|     ~|10    |     ~|     ~|     ~|K              |   4|   0
1019|HD 294825                          |*  |06 16 53.5483738300 -03 41 58.519672885|     ~|11.90 |11.02 |     ~|     ~|K              |   1|   0
1020|[FS2003] 0346                      |*  |06 15 07.800 -15 01 09.98              |     ~|     ~|     ~|     ~|     ~|K              |   1|   0
1021|2MASS J06160591-3132491            |Y*?|06 16 05.9123343039 -31 32 49.110342565|     ~|     ~|     ~|     ~|     ~|K              |   2|   0
1022|HD 45249                           |*  |06 27 54.6767893153 +33 54 58.852732601|     ~|10.11 | 8.94 |     ~|     ~|K              |   1|   0
1023|HD 46281                           |*  |06 33 21.7454987621 +18 46 57.744982581|     ~|10.25 | 9.16 |     ~|     ~|K              |   5|   0
1024|TYC 732-1079-1                     |*  |06 27 31.9353591666 +08 32 28.121516368|     ~|10.74 | 9.90 |     ~|     ~|K              |   0|   0
1025|BD+02 1233                         |*  |06 26 26.9746357218 +02 27 40.519006750|     ~|12.11 |10.58 |     ~|     ~|K              |   0|   0
1026|HD 291760                          |*  |06 31 02.3667581315 -01 23 13.217730153|     ~|11.05 |10.60 |     ~|     ~|K              |   1|   0
1027|HD 291766                          |*  |06 29 27.3673643312 -01 32 47.197410467|     ~|11.59 |10.69 |     ~|     ~|K              |   1|   0
1028|HD 295056                          |*  |06 27 40.9363487201 -02 43 40.870291101|     ~|12.12 |10.55 |     ~|     ~|K              |   1|   0
1029|HD 291659                          |*  |06 25 37.9974496956 -02 16 07.892012078|     ~|12.08 | 9.75 |     ~|     ~|K              |   2|   0
1030|HD 295040                          |*  |06 23 30.1255578422 -05 00 40.370430608|     ~|11.02 | 9.81 |     ~|     ~|K              |   1|   0
1031|HD 295034                          |*  |06 24 30.2235635827 -04 37 27.952026619|     ~|11.02 |10.12 |     ~|     ~|K              |   1|   0
1032|CD-41 2414                         |*  |06 27 39.8027401984 -41 10 48.292486121|     ~|11.01 | 9.98 |     ~|     ~|K              |   0|   0
1033|CD-42 2501                         |*  |06 24 12.9660409555 -42 55 25.345770248|     ~|10.56 | 9.56 |     ~|     ~|K              |   0|   0
1034|CD-42 2524                         |*  |06 26 09.6782005857 -42 43 48.814605376|     ~|10.50 | 9.47 |     ~|     ~|K              |   0|   0
1035|BD+40 1697                         |*  |06 44 19.4167480723 +40 37 22.809583334|     ~|10.8  | 9.54 |     ~|     ~|K              |   6|   0
1036|BD+38 1591                         |*  |06 44 46.0893527052 +38 44 16.621087192|     ~|10.85 | 9.32 |     ~|     ~|K              |   0|   0
1037|BD+36 1488                         |*  |06 43 15.6806399035 +36 46 35.031686624|     ~|11.50 | 9.94 |     ~|     ~|K              |   0|   0
1038|BD+36 1470                         |*  |06 37 56.7423380031 +36 06 03.631246668|     ~|11.17 |10.01 |     ~|     ~|K              |   0|   0
1039|HD 288790                          |*  |06 35 29.79 +02 01 00.2                |     ~|10    |     ~|     ~|     ~|K              |   1|   0
1040|BD+00 1498                         |*  |06 36 03.7206834127 +00 44 40.352983516|     ~|12.07 |10.16 |     ~|     ~|K              |   0|   0
1041|HD 288851                          |*  |06 36 17.5947986521 +01 32 39.956213445|     ~|11.75 |10.11 |     ~|     ~|K              |   1|   0
1042|HD 292038                          |*  |06 37 49.3241349152 -02 07 43.411974585|     ~|12.09 |10.89 |     ~|     ~|K              |   1|   0
1043|BD-22 1489                         |*  |06 39 30.5173767616 -23 03 06.646939839|     ~|11.125|10.010|     ~|     ~|K              |   1|   0
1044|BD-22 1497                         |*  |06 42 04.2873245197 -23 01 13.180729225|     ~|11.18 |10.25 |     ~|     ~|K              |   0|   0
1045|CD-42 2625                         |PM*|06 37 14.3552356636 -42 37 25.643381359|     ~|11.24 |10.11 |     ~|     ~|K              |   0|   0
1046|BD+39 1761                         |*  |06 51 39.4201902262 +39 17 38.864893774|     ~|10.67 | 9.68 |     ~|     ~|K              |   0|   0
1047|BD+38 1635                         |*  |06 53 13.8203855879 +38 35 13.019009840|     ~|11.7  |10.3  |     ~|     ~|K              |   0|   0
1048|HD 50768                           |*  |06 55 10.5058909667 +14 13 42.048539420|     ~| 9.69 | 8.26 |     ~|     ~|K              |   6|   0
1049|[SC93] 506                         |*  |06 55 30.0 +14 15 00                   |     ~|     ~| 8.50 |     ~|     ~|K              |   1|   0
1050|HD 264794                          |*  |06 50 15.1671746626 +09 06 09.720301292|     ~|11.66 | 9.57 |     ~|     ~|K              |   1|   0
1051|HD 50907                           |*  |06 55 33.2754850536 +07 26 14.137671323|     ~| 9.54 | 8.54 |     ~|     ~|K              |   6|   0
1052|HD 50908                           |*  |06 55 28.6343125290 +06 17 09.081421594|     ~| 9.71 | 8.76 |     ~|     ~|K              |   3|   0
1053|HD 289051                          |*  |06 45 29.5468302136 +00 57 53.227524385|     ~|11.65 |10.62 |     ~|     ~|K              |   1|   0
1054|HD 295734                          |*  |06 52 56.8443450780 -02 45 27.507553721|     ~|11.69 |10.74 |     ~|     ~|K              |   2|   0
1055|BD-08 1581                         |*  |06 50 41.8101985562 -08 53 19.093656166|     ~|10.27 | 8.97 |     ~|     ~|K              |   3|   0
1056|HD 50408                           |*  |06 52 37.6957943974 -12 18 38.490511944|     ~|10.24 | 8.70 |     ~|     ~|K              |   2|   0
1057|HD 50075                           |Pe*|06 50 18.8894988706 -27 57 34.113740190|     ~| 9.92 | 8.86 |     ~|     ~|KpBa           |  12|   0
1058|[FS2003] 0395                      |*  |06 48 18.81 -42 20 59.5                |     ~|     ~|     ~|     ~|     ~|K              |   1|   0
1059|HD 52180                           |*  |07 02 18.4334877554 +43 15 50.152864827|     ~|10.16 | 9.08 |     ~|     ~|K              |   1|   0
1060|BD+38 1662                         |*  |07 01 08.9485414224 +38 30 53.054427758|     ~|12.49 |11.08 |     ~|     ~|K              |   0|   0
1061|HD 51022                           |*  |06 57 16.6163114523 +35 16 03.667119573|     ~|10.54 | 8.91 |     ~|     ~|K              |   1|   0
1062|HD 51775                           |*  |07 00 16.1769267480 +35 27 06.163914999|     ~|10.42 | 9.30 |     ~|     ~|K              |   1|   0
1063|[FS2003] 0408                      |*  |07 04 31.898 +17 25 41.99              |     ~|     ~|     ~|     ~|     ~|K              |   1|   0
1064|HD 51327                           |RG*|06 57 29.9265126404 +16 10 40.050962781|     ~|11.27 | 9.96 |     ~|     ~|K              |   3|   0
1065|HD 51665                           |*  |06 58 52.5306232982 +15 15 33.150232741|     ~|11.56 |10.31 |     ~|     ~|K              |   1|   0
1066|HD 51668                           |*  |06 58 56.8528003568 +13 38 37.642726638|     ~|11.15 |10.04 |     ~|     ~|K              |   1|   0
1067|HD 51446                           |*  |06 57 53.4035922089 +11 14 05.424851904|     ~| 9.71 | 8.28 |     ~|     ~|K              |   1|   0
1068|HD 51975                           |*  |07 00 00.0 +13 10 00                   |     ~|10.1  |10.4  |     ~|     ~|K              |   1|   0
1069|HD 52236                           |*  |07 00 56.9048580813 +13 26 40.076219470|     ~|11.47 |10.41 |     ~|     ~|K              |   1|   0
1070|HD 53822                           |*  |07 07 01.6537610893 +12 19 30.694623547|     ~|10.21 | 8.69 |     ~|     ~|K              |   1|   0
1071|BD+08 1648                         |PM*|07 06 31.8793115256 +08 33 25.224193349|     ~|10.35 | 9.40 |     ~|     ~|K              |   1|   0
