C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
44  |BD+45 319                          |*  |01 20 43.4520162930 +46 20 36.247995650|     ~|10.50 | 9.30 |     ~|     ~|K              |   7|   1
45  |2MASS J01481222+4546381            |*  |01 48 12.2347250213 +45 46 38.154772054|     ~|12.4  |11.0  |     ~|     ~|K              |   1|   0
46  |BD+41 509                          |*  |02 40 50.5002702994 +42 01 49.191896685|     ~|11.60 |10.08 |     ~|     ~|K              |   2|   0
47  |BD+41 540                          |*  |02 47 51.0251859869 +41 55 55.385606888|     ~|11.10 | 9.82 |     ~|     ~|K              |   2|   0
48  |BD+38 633                          |*  |03 06 22.9021565598 +39 28 53.888062245|     ~|13.15 |10.98 |     ~|     ~|K              |   1|   0
49  |BD+38 4113                         |*  |20 29 32.0732432499 +38 34 51.095702533|     ~|11.04 | 9.43 |     ~|     ~|K              |   4|   0
50  |BD+41 3981                         |*  |21 03 35.3102745782 +41 57 15.476373244|     ~|11.36 |10.40 |     ~|     ~|K              |   0|   0
51  |BD+43 3823                         |*  |21 09 54.8249757486 +44 21 30.895215020|     ~|10.90 | 9.32 |     ~|     ~|K              |   3|   0
52  |HD 202363                          |*  |21 13 49.6312513204 +43 42 33.684599246|     ~| 9.43 | 8.48 |     ~|     ~|K              |   1|   0
53  |HD 203183                          |*  |21 19 19.5435921033 +43 57 49.826228238|     ~|10.01 | 8.58 |     ~|     ~|K              |   1|   0
54  |BD+43 3928                         |*  |21 26 45.4255680280 +43 43 50.970329378|     ~| 9.84 | 9.76 |     ~|     ~|K              |   1|   0
55  |BD+44 3796                         |*  |21 22 46.8974596969 +45 22 14.938873412|     ~|11.66 |11.33 |     ~|     ~|K              |   0|   0
56  |BD+45 3694                         |*  |21 50 36.0983956593 +46 13 08.413575149|     ~|10.82 | 9.72 |     ~|     ~|K              |   0|   0
57  |BD+45 3648                         |*  |21 44 36.9169302055 +46 20 29.204858440|     ~|11.65 |11.34 |     ~|     ~|K              |   0|   0
58  |2MASS J21565041+4839195            |*  |21 56 50.461 +48 39 20.68              |     ~|11.8  |10.4  |     ~|     ~|K              |   1|   0
59  |BD+47 3631                         |*  |21 58 05.8308928973 +48 02 48.321410803|     ~|10.62 | 9.69 |     ~|     ~|K              |   0|   0
60  |BD+47 3717                         |*  |22 10 20.9767610733 +47 58 17.270476398|     ~|11.11 | 9.69 |     ~|     ~|K              |   5|   0
61  |TYC 3633-1775-1                    |*  |22 42 44.3932627447 +51 27 35.877244496|     ~|12.32 |11.07 |     ~|     ~|K              |   0|   0
62  |HD 235915                          |*  |22 39 41.3634654739 +51 16 59.084417064|     ~|11.17 |10.19 |     ~|     ~|K              |   1|   0
63  |TYC 3631-1639-1                    |*  |23 12 18.1138794541 +50 17 50.089897986|     ~|11.98 |11.32 |     ~|     ~|K              |   2|   1
64  |TYC 3998-1367-1                    |*  |23 17 00.3954086008 +52 47 24.155489915|     ~|11.59 |10.63 |     ~|     ~|K              |   2|   0
65  |HD 236143                          |*  |23 30 20.5854616803 +52 39 27.837642101|     ~|11.88 |10.37 |     ~|     ~|K              |   2|   0
66  |BD+50 31                           |*  |00 13 56.1041825801 +51 32 43.222851101|     ~|11.81 |10.73 |     ~|     ~|K              |   0|   1
67  |HD 232307                          |*  |00 53 43.8170859177 +52 26 01.342903021|     ~|12.20 |11.14 |     ~|     ~|K              |   1|   0
68  |BD+49 367                          |*  |01 24 09.1344767622 +50 37 50.676362276|     ~|11.68 |10.47 |     ~|     ~|K              |   0|   0
69  |TYC 3290-182-1                     |PM*|01 36 19.5096206197 +50 43 35.409223414|     ~|     ~|     ~|10.2  |     ~|K              |   1|   0
70  |BD+48 464                          |*  |01 33 23.7573553869 +49 40 24.625561371|     ~|11.31 |11.15 |     ~|     ~|K              |   0|   0
71  |TYC 3290-1500-1                    |*  |01 30 25.6398676659 +51 09 51.431925494|     ~|11.67 |10.53 |     ~|     ~|K              |   0|   0
72  |BD+48 511                          |*  |01 42 41.5380300263 +48 52 04.883899268|     ~|11.53 |10.19 |     ~|     ~|K              |   0|   0
73  |HD 10915                           |*  |01 48 19.9823897153 +49 13 24.575989560|     ~| 9.95 | 8.83 |     ~|     ~|K              |   1|   0
74  |BD+47 489                          |*  |01 44 13.9273325862 +48 18 01.808720639|     ~|10.49 | 9.18 |     ~|     ~|K              |   0|   0
75  |TYC 2854-1846-1                    |*  |02 58 21.0662531889 +42 43 45.030922326|     ~|11.56 |10.40 |     ~|     ~|K              |   0|   0
76  |HD 275224                          |*  |03 22 30.2385839045 +38 09 19.874862623|     ~|12.44 |11.04 |     ~|     ~|K              |   1|   0
77  |HD 275285                          |*  |03 23 43.6347187454 +40 03 35.944287429|     ~|12.12 |11.21 |     ~|     ~|K              |   1|   0
78  |HD 275302                          |*  |03 23 41.6720138933 +39 07 58.977615642|     ~|11.75 |10.59 |     ~|     ~|K              |   1|   0
79  |HD 275320                          |PM*|03 23 59.9929893076 +38 20 45.924805348|     ~|11.85 |11.09 |     ~|     ~|K              |   1|   0
80  |HD 275385                          |*  |03 27 29.9462231292 +39 07 42.128211744|     ~|12.22 |10.97 |     ~|     ~|K              |   1|   0
81  |HD 229167                          |PM*|20 22 54.3029253053 +40 27 41.166595952|     ~|11.00 |10.40 |     ~|     ~|K              |   6|   0
82  |BD+41 3823                         |*  |20 36 28.7281074616 +42 06 28.180597502|     ~|10.66 | 9.43 |     ~|     ~|K              |   1|   0
83  |BD+40 4228                         |*  |20 33 16.8478569133 +41 01 49.634741389|     ~|10.25 | 9.23 |     ~|     ~|K              |   5|   0
84  |BD+40 4230                         |*  |20 33 17.9843910071 +40 58 54.748125668|     ~| 9.52 | 8.62 |     ~|     ~|K              |   5|   0
85  |EM* LkHA 149                       |Or*|20 51 04.6487301878 +44 23 50.138683227|     ~|16.5  |     ~|     ~|     ~|K              |  16|   0
86  |TYC 3575-4026-1                    |*  |20 55 23.4658038150 +45 59 38.375271577|     ~|11.52 | 9.85 |     ~|     ~|K              |   1|   0
87  |EM* UHA 82                         |Em*|20 56 25.2091728514 +45 03 11.890527644|     ~|15    |13    |     ~|     ~|K              |   4|   0
88  |EM* UHA 85                         |Em*|20 56 38.2660778768 +44 49 25.230934704|     ~|15.0  |14.0  |     ~|     ~|K              |   4|   0
89  |EM* UHA 114                        |Em*|21 01 25.4902697878 +44 49 10.401110522|     ~|15.0  |13.5  |     ~|     ~|K              |   4|   0
90  |BD+46 3180                         |*  |21 06 03.6432750621 +47 10 24.571419936|     ~|10.98 | 9.07 |     ~|     ~|K              |   0|   0
91  |HD 202861                          |*  |21 17 10.6195585612 +46 31 43.770619053|     ~| 9.96 | 9.02 |     ~|     ~|K              |   1|   0
92  |TYC 3589-1059-1                    |*  |21 15 49.0720096418 +45 53 48.693746521|     ~|11.55 |10.70 |     ~|     ~|K              |   0|   0
93  |AG+45 1849                         |*  |21 15 48.87 +45 53 13.7                |     ~|12.0  |10.6  |     ~|     ~|K              |   0|   0
94  |HD 203610                          |*  |21 21 58.9884180862 +46 53 31.371162256|     ~| 9.42 | 8.35 |     ~|     ~|K              |   3|   0
95  |BD+49 3577                         |*  |21 38 09.8976398563 +49 41 34.179763127|     ~|11.20 |10.23 |     ~|     ~|K              |   0|   0
96  |BD+48 3403                         |*  |21 31 18.6326957093 +49 14 13.018078701|     ~|11.2  | 9.62 |     ~|     ~|K              |   3|   0
97  |BD+48 3456                         |*  |21 39 49.9126127733 +49 08 12.519902224|     ~|10.87 | 9.38 |     ~|     ~|K              |   1|   0
98  |BD+49 3651                         |*  |21 52 41.0461999293 +50 24 06.455664291|     ~|11.70 | 9.65 |     ~|     ~|K              |   0|   0
99  |BD+50 3576                         |*  |22 08 00.6620 +51 30 05.660            |     ~|10.97 |10.00 |     ~|     ~|K              |   0|   0
100 |HD 235897                          |*  |22 37 23.2379737453 +53 57 32.008059522|     ~|10.64 | 9.35 |     ~|     ~|K              |   3|   0
101 |TYC 3634-2580-1                    |*  |22 57 34.3043899312 +52 28 19.934185555|     ~|12.41 |11.14 |     ~|     ~|K              |   1|   0
102 |BD+51 3511                         |*  |22 57 44.5961601026 +52 29 13.875306389|     ~|12.41 |10.60 |     ~|     ~|K              |   1|   0
103 |HD 236156                          |*  |23 31 47.8793491786 +54 12 31.816463001|     ~|10.67 | 9.42 |     ~|     ~|K              |   2|   0
104 |BD+54 3086                         |*  |23 59 35.1823998686 +55 19 34.405914699|     ~|10.58 | 9.72 |     ~|     ~|K              |   0|   0
105 |[FS2003] 0022                      |*  |00 41 11.89 +55 23 54.2                |     ~|     ~|     ~|     ~|     ~|K              |   2|   0
106 |BD+49 499                          |*  |01 55 57.3888712216 +50 29 01.655863404|     ~|12.07 |10.50 |     ~|     ~|K              |   1|   1
107 |BD+48 694                          |*  |02 32 58.6299441189 +48 52 07.886743919|     ~|12.15 |10.13 |     ~|     ~|K              |   0|   0
108 |BD+48 713                          |*  |02 38 33.2619392511 +48 44 48.295685671|     ~|11.13 | 9.64 |     ~|     ~|K              |   0|   0
109 |BD+43 637                          |*  |03 09 05.0277881266 +44 14 54.725338572|     ~|11.13 | 9.70 |     ~|     ~|K              |   2|   0
110 |HD 275635                          |*  |03 40 12.8398429314 +39 20 49.103454999|     ~|11.57 |10.58 |     ~|     ~|K              |   1|   0
111 |HD 228241                          |*  |20 11 43.0942411313 +41 26 23.229343498|     ~|10.24 | 9.25 |     ~|     ~|K              |   2|   0
112 |BD+46 3031                         |*  |20 44 28.6724765039 +47 19 26.050527950|     ~|11.20 | 9.98 |     ~|     ~|K              |   0|   0
113 |EM* UHA 13                         |Em*|20 44 22.5977499733 +46 31 17.582628976|     ~|15    |13    |     ~|     ~|K              |   3|   0
114 |TYC 3575-3304-1                    |*  |20 53 41.6079790242 +46 02 41.403455153|     ~|11.83 | 9.98 |     ~|     ~|K              |   1|   0
