C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.21CET20:36:27

sptypes = 'G'
-------------

Number of objects : 3851

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
759 |HD 130848                          |*  |14 48 57.6064008020 +45 39 38.535763668|     ~|10.83 |10.32 |     ~|     ~|G              |   2|   0
760 |HD 130915                          |PM*|14 49 17.7194356634 +45 32 14.793981197|     ~|10.73 |10.26 |     ~|     ~|G              |   2|   0
761 |HD 128510                          |EB*|14 35 54.4926447606 +46 35 36.760798884|     ~|10.72 |10.25 |     ~|     ~|G              |   6|   0
762 |HD 126481                          |PM*|14 24 15.9023494249 +50 14 57.025971241|     ~|     ~|     ~| 8.5  |     ~|G              |  11|   0
763 |CSO 655                            |*  |14 28 52.5575445268 +49 39 44.195236961|     ~|18.1  |     ~|17.5  |     ~|G              |   5|   0
764 |2MASS J14052693+5055276            |*  |14 05 26.9573491244 +50 55 27.648398296|     ~|14.6  |     ~|     ~|     ~|G              |   2|   0
765 |HD 234051                          |PM*|13 31 57.2470312596 +53 42 28.544071290|     ~|10.47 | 9.98 |     ~|     ~|G              |   3|   0
766 |BD+55 1543                         |*  |12 35 56.2638926739 +54 35 41.449274677|     ~|11.69 |11.08 |     ~|     ~|G              |   0|   0
767 |HD 107323                          |PM*|12 20 11.4941399001 +53 35 08.640047540|     ~| 9.81 | 9.11 |     ~|     ~|G              |   6|   0
768 |HD 104987                          |*  |12 05 18.2579937040 +55 58 49.019473793|     ~| 9.64 | 9.27 |     ~|     ~|G              |   5|   0
769 |HD 102730                          |*  |11 49 50.6578615554 +54 46 31.993238733|     ~| 9.63 | 9.26 | 8.8  |     ~|G              |   6|   0
770 |SBSS 1154+561                      |*  |11 57 29.0979435810 +55 55 09.267447663|     ~|16.5  |     ~|     ~|     ~|G              |   6|   0
771 |HD 99072                           |PM*|11 24 37.2960847055 +53 58 04.601921055|     ~| 9.86 | 9.31 |     ~|     ~|G              |   2|   0
772 |HD 95210                           |*  |11 00 27.6980968102 +53 14 05.843990619|     ~| 9.70 | 9.24 |     ~|     ~|G              |   2|   0
773 |BD+54 1399                         |SB*|10 50 56.6236930224 +53 14 51.201662411|     ~|     ~|     ~|10.2  |     ~|G              |  26|   0
774 |SBSS 0953+509                      |*  |09 56 33.4416499618 +50 42 22.234612803|     ~|17.2  |     ~|16.6  |     ~|G              |   4|   0
775 |SBSS 0951+497                      |*  |09 55 00.7913576499 +49 28 37.171391799|     ~|     ~|     ~|     ~|     ~|G              |   4|   0
776 |SBSS 0943+507                      |PM*|09 46 30.2795117520 +50 28 10.835328020|     ~|15.33 |14.93 |     ~|     ~|G              |   3|   0
777 |SBSS 0940+512                      |*  |09 44 12.1500416455 +50 58 45.172253651|     ~|17.1  |     ~|16.7  |     ~|G              |   4|   0
778 |HD 72206                           |PM*|08 33 14.0367281368 +41 59 41.503456352|     ~| 9.35 | 8.83 |     ~|     ~|G              |   9|   0
779 |CCDM J15097+4142AB                 |** |15 09 33.7 +41 42 09                   |     ~| 9.0  | 9.3  |     ~|     ~|G              |   2|   0
780 |HD 135047                          |*  |15 11 41.4198270025 +40 44 47.156906267|     ~| 9.95 | 9.31 |     ~|     ~|G              |   6|   0
781 |HD 135518                          |*  |15 14 02.6714437040 +41 23 02.162169191|     ~| 9.77 | 9.24 |     ~|     ~|G              |   2|   0
782 |HD 133891                          |*  |15 05 33.2461612743 +40 02 57.892279509|     ~| 9.94 | 9.45 |     ~|     ~|G              |   1|   0
783 |TYC 3047-729-1                     |*  |15 00 22.8131350285 +42 23 20.002317294|     ~|12.32 |11.66 |     ~|     ~|G              |   0|   0
784 |HD 131426                          |PM*|14 52 10.4499028183 +43 40 33.718980773|     ~|11.21 |10.40 |     ~|     ~|G              |   2|   0
785 |HD 131021                          |*  |14 49 55.3578648648 +42 27 48.194202334|     ~|10.41 |10.04 |     ~|     ~|G              |   2|   0
786 |HD 128252                          |*  |14 34 32.7526648936 +45 19 10.420522220|     ~|11.16 |10.49 |     ~|     ~|G              |   3|   0
787 |HD 128059                          |*  |14 33 20.0771373535 +44 21 52.135521387|     ~|10.78 |10.35 |     ~|     ~|G              |   1|   0
788 |HD 129408                          |PM*|14 40 56.4492827238 +45 31 46.192171114|     ~|10.67 |10.08 |     ~|     ~|G              |   3|   0
789 |HD 125261                          |** |14 17 04.3958498470 +45 28 42.706617790|     ~|10.04 | 9.50 |     ~|     ~|G              |   5|   0
790 |HS 1356+4939                       |*  |13 58 29.5032663228 +49 24 52.745307346|     ~|     ~|     ~|     ~|     ~|G              |   1|   0
791 |HS 1343+5020                       |*  |13 45 29.6 +50 05 30                   |     ~|     ~|     ~|     ~|     ~|G              |   1|   0
792 |HS 1344+5000                       |*  |13 46 54.5 +49 46 01                   |     ~|     ~|     ~|     ~|     ~|G              |   1|   0
793 |SBSS 1300+514                      |*  |13 02 36.9569490208 +51 09 53.429374048|     ~|16.43 |15.78 |15.98 |     ~|G              |   3|   0
794 |HD 233993                          |*  |12 54 35.6553843811 +52 29 31.815832642|     ~|11.38 |10.98 |     ~|     ~|G              |   1|   0
795 |HD 102342                          |*  |11 47 00.7445772765 +53 17 06.907487367|     ~| 9.94 | 9.40 |     ~|     ~|G              |  14|   0
796 |HD 103767                          |*  |11 57 08.8498118703 +53 19 28.923982709|     ~|10.16 | 9.64 |     ~|     ~|G              |   2|   0
797 |HD 96624                           |PM*|11 08 30.2649912542 +52 37 37.810281186|     ~|     ~|     ~| 8.8  |     ~|G              |  19|   0
798 |HD 84297                           |*  |09 45 41.3272436272 +48 03 17.410019976|     ~| 9.82 | 9.30 |     ~|     ~|G              |   2|   0
799 |HD 81522                           |*  |09 27 36.7185206488 +46 36 56.365515538|     ~|10.79 |10.35 |     ~|     ~|G              |   2|   0
800 |HD 79659                           |*  |09 16 54.1925140036 +45 35 25.707693355|     ~|11.02 |10.62 |     ~|     ~|G              |   2|   0
801 |HD 79764                           |*  |09 17 29.0437492882 +45 39 23.137227685|     ~|10.93 |10.32 |     ~|     ~|G              |   2|   0
802 |HD 82116                           |*  |09 31 21.0253731364 +44 10 50.217081242|     ~|10.78 |10.38 |     ~|     ~|G              |   2|   0
803 |HD 72427                           |PM*|08 34 08.5501668966 +38 16 02.026715976|     ~| 9.75 | 9.21 |     ~|     ~|G              |   3|   0
804 |HD 132407                          |*  |14 57 42.3040542771 +40 10 31.189932614|     ~| 9.80 | 9.41 |     ~|     ~|G              |   1|   0
805 |HD 132503                          |PM*|14 58 07.5036862937 +40 49 45.141777740|     ~| 9.96 | 9.31 |     ~|     ~|G              |   6|   0
806 |HD 129410                          |*  |14 41 09.9488141306 +42 27 54.490418063|     ~| 9.85 | 9.33 | 9.2  |     ~|G              |  11|   0
807 |TYC 3041-872-1                     |*  |14 15 38.1069304240 +42 46 06.701113258|     ~|11.96 |11.05 |     ~|     ~|G              |   1|   0
808 |HS 1411+4312                       |*  |14 13 12.4212484241 +42 58 53.731031426|     ~|19.60 |     ~|     ~|     ~|G              |   1|   0
809 |BD+49 2148                         |*  |12 31 40.8733735748 +48 23 59.643732537|     ~|11.98 |11.43 |     ~|     ~|G              |   0|   0
810 |HS 1209+4807                       |*  |12 12 05.7955762892 +47 50 40.860189693|     ~|     ~|     ~|     ~|     ~|G              |   1|   0
811 |CSI+48-11431                       |*  |11 45 42.0 +47 55 00                   |     ~|     ~|11.4  |     ~|     ~|G              |   0|   0
812 |BD+48 1901                         |*  |10 56 11.7684444939 +48 01 03.950893408|     ~|10.19 | 9.55 |     ~|     ~|G              |   1|   0
813 |HD 91634                           |*  |10 35 50.2531637991 +47 01 29.490542324|     ~| 9.80 | 9.34 |     ~|     ~|G              |   1|   0
814 |HD 90223                           |*  |10 25 52.1318679228 +46 27 50.614682505|     ~| 9.90 | 9.41 |     ~|     ~|G              |   1|   0
815 |HD 82424                           |*  |09 33 12.0927570681 +43 45 01.955133265|     ~|10.95 |10.36 |     ~|     ~|G              |   1|   0
816 |HD 83022                           |*  |09 36 53.3507730844 +43 12 54.848376231|     ~|10.69 |10.20 |     ~|     ~|G              |   1|   0
817 |BD+40 2122                         |*  |08 55 32.2854422394 +39 38 10.113521933|     ~|12.18 |11.70 |     ~|     ~|G              |   1|   0
818 |HD 132717                          |PM*|14 59 22.8579112255 +36 30 04.101838181|     ~| 9.89 | 9.42 |     ~|     ~|G              |   1|   0
819 |HD 119245                          |*  |13 41 12.6499385027 +44 04 37.939883267|     ~| 9.57 | 8.97 |     ~|     ~|G              |   7|   0
820 |TYC 3460-1171-1                    |*  |13 09 10.4117377988 +45 22 26.802533991|     ~|12.56 |11.76 |     ~|     ~|G              |   2|   0
821 |HS 1158+4600                       |*  |12 00 46.7 +45 44 09                   |     ~|     ~|     ~|     ~|     ~|G              |   1|   0
822 |CSI+47-11407                       |*  |11 43 24.0 +47 32 00                   |     ~|     ~|11.7  |     ~|     ~|G              |   0|   0
823 |CSI+47-11450                       |*  |11 47 30.0 +47 32 00                   |     ~|     ~|11.9  |     ~|     ~|G              |   0|   0
824 |HD 101468                          |PM*|11 40 47.0546043797 +46 08 14.846602289|     ~| 9.77 | 9.28 |     ~|     ~|G              |   1|   0
825 |HD 99774                           |*  |11 29 01.2102099227 +45 43 39.820286076|     ~| 9.97 | 9.41 |     ~|     ~|G              |   3|   0
826 |HD 100820                          |*  |11 36 33.6397610453 +45 40 24.011496763|     ~|10.17 | 9.76 |     ~|     ~|G              |   2|   0
827 |HD 98879                           |PM*|11 23 16.6004144964 +45 50 05.825798665|     ~|10.21 | 9.62 |     ~|     ~|G              |   2|   0
828 |HD 82086                           |PM*|09 30 58.3495519938 +40 38 34.089157389|     ~| 9.68 | 9.22 |     ~|     ~|G              |   2|   0
829 |BD+40 2222                         |*  |09 34 08.7266833770 +40 10 43.732330933|     ~|12.25 |11.84 |     ~|     ~|G              |   0|   0
830 |AG+40 1074                         |*  |09 35 23.6162862740 +39 57 26.364325867|     ~| 8.41 | 8.03 |     ~|     ~|G              |  19|   0
831 |TYC 2984-904-1                     |*  |09 18 25.8303610018 +38 51 43.174399276|     ~|12.28 |10.98 |     ~|     ~|G              |   0|   0
832 |HD 80115                           |PM*|09 19 04.1392107114 +38 35 55.032561331|     ~| 9.54 | 9.11 |     ~|     ~|G              |   3|   0
833 |HD 81004                           |*  |09 24 14.1361415640 +38 42 52.533203283|     ~| 9.58 | 9.18 |     ~|     ~|G              |   3|   0
834 |BD+36 1892                         |*  |08 59 44.4260494967 +36 06 50.940526795|     ~|12.3  |11.4  |     ~|     ~|G              |   0|   0
835 |BD+37 1945                         |*  |09 08 27.1833109935 +36 32 58.950590205|     ~|11.68 |10.61 |     ~|     ~|G              |   0|   0
836 |HD 19176                           |*  |03 05 25.3013447829 +13 38 27.965040123|     ~|10.63 |10.10 |     ~|     ~|G              |   1|   0
837 |TYC 641-318-1                      |PM*|03 02 49.3510360896 +08 29 39.399843402|     ~|10.65 |10.04 |     ~|     ~|G              |   0|   0
838 |TYC 61-1165-1                      |*  |03 01 17.0035979133 +05 00 02.534946467|     ~|12.06 |11.51 |     ~|     ~|G              |   1|   0
839 |BD+02 475                          |*  |03 05 54.0840502487 +02 34 17.321766744|     ~|11.97 |11.164|     ~|     ~|G              |   1|   0
840 |BD-05 570                          |PM*|03 04 53.9574818144 -05 08 24.766423702|     ~|10.544|10.000|     ~|     ~|G              |   3|   0
841 |BD-05 590                          |*  |03 10 09.8407409665 -05 18 24.376866349|     ~|10.88 |10.31 |     ~|     ~|G              |   5|   0
842 |HD 18848                           |PM*|03 01 08.9005554323 -26 27 40.614899084|     ~|10.92 |10.43 |     ~|     ~|G              |   3|   0
843 |HD 278429                          |*  |03 12 34.9943651871 +32 57 25.531764479|     ~|11.45 |10.19 |     ~|     ~|G              |   1|   0
844 |BD+09 424                          |PM*|03 19 56.3224778249 +09 37 54.642428883|     ~|12.02 |11.36 |     ~|     ~|G              |   1|   0
845 |BD+03 455                          |*  |03 18 44.6276159148 +03 38 45.359990874|     ~|11.48 |10.70 |     ~|     ~|G              |   0|   0
846 |TYC 59-496-1                       |*  |03 18 44.3341173891 +03 39 44.719569588|     ~|11.52 |10.97 |     ~|     ~|G              |   0|   0
847 |CD-30 1272                         |*  |03 18 19.8274339469 -30 07 50.623631025|     ~|11.60 |10.55 |     ~|     ~|Gwl            |   7|   0
848 |HD 275405                          |*  |03 29 19.1352332771 +38 20 51.689602437|     ~|12.21 |11.39 |     ~|     ~|G              |   1|   0
849 |HD 275329                          |*  |03 25 28.1199360318 +37 38 53.029450751|     ~|12.05 |11.12 |     ~|     ~|G              |   2|   0
850 |HD 278718                          |*  |03 30 07.1887163371 +35 58 07.515914267|     ~|11.14 |10.45 |     ~|     ~|G              |   1|   0
851 |HD 278593                          |*  |03 25 28.7818664076 +34 33 33.125001696|     ~|11.84 |11.44 |     ~|     ~|G              |   1|   0
852 |HD 278682                          |*  |03 28 48.6408269120 +33 28 25.470043364|     ~|11.40 |10.91 |     ~|     ~|G              |   1|   0
853 |BD+08 512                          |*  |03 24 59.9150748043 +08 34 16.313809252|     ~|11.50 |10.74 |     ~|     ~|G              |   1|   0
854 |HD 21323                           |*  |03 26 22.4897893211 -01 34 38.283108185|     ~|10.97 |10.37 |     ~|     ~|G              |   2|   0
855 |HD 275741                          |*  |03 43 29.4160476696 +39 03 48.992807500|     ~|11.45 |10.82 |     ~|     ~|G              |   1|   0
856 |HD 275662                          |*  |03 37 55.5531916613 +38 25 22.053118093|     ~|11.71 |11.42 |     ~|     ~|G              |   2|   0
857 |HD 278886                          |*  |03 41 07.8839441620 +37 00 33.536744180|     ~|11.79 |11.28 |     ~|     ~|G              |   1|   0
858 |HD 275684                          |*  |03 38 48.44 +37 40 32.6                |     ~|10    |     ~|     ~|     ~|G              |   1|   0
859 |HD 275771                          |*  |03 42 15.5442946932 +37 22 30.167801842|     ~|11.57 |11.09 |     ~|     ~|G              |   1|   0
860 |HD 278792                          |*  |03 34 39.2722171209 +35 59 04.823328521|     ~|12.53 |11.07 |     ~|     ~|G              |   1|   0
861 |HD 278799                          |*  |03 35 18.1246142099 +35 34 44.799021260|     ~|11.48 |10.84 |     ~|     ~|G              |   1|   0
862 |HD 278898                          |*  |03 40 22.4862327127 +35 46 44.240281598|     ~|12.00 |11.14 |     ~|     ~|G              |   2|   0
863 |HD 278903                          |PM*|03 41 04.5063509906 +35 23 24.878132689|     ~|12.32 |11.27 |     ~|     ~|G              |   1|   0
864 |HD 278848                          |*  |03 38 00.0310658626 +35 44 21.801724872|     ~|12.08 |11.83 |     ~|     ~|G              |   1|   0
865 |HD 278928                          |*  |03 41 43.7409909705 +33 49 21.435766868|     ~|10    |     ~|     ~|     ~|G              |   1|   0
866 |HD 22815                           |PM*|03 40 56.8941220982 +26 19 37.290764612|     ~|10.41 | 9.83 |     ~|     ~|G              |   1|   0
867 |HD 23092                           |*  |03 43 20.3289275786 +25 35 58.477227479|     ~|10.18 | 9.68 |     ~|     ~|G              |   1|   0
868 |HD 23154                           |*  |03 43 46.6739411938 +25 24 48.060295831|     ~|10.42 | 9.93 |     ~|     ~|G              |   5|   0
869 |HD 23170                           |SB*|03 43 50.6728545044 +25 16 08.353126962|     ~|10.176| 9.645|     ~| 8.972|G              |   9|   0
870 |HD 22320                           |PM*|03 36 20.4208906127 +21 50 00.584888527|     ~|10.29 | 9.59 |     ~|     ~|G              |   2|   0
871 |HD 22680                           |*  |03 39 41.1746949383 +23 17 27.173140143|     ~|10.447| 9.930| 9.55 | 9.294|G              |  32|   0
872 |HD 22168                           |PM*|03 34 49.2822370934 +16 07 38.802583293|     ~| 9.04 | 8.53 |     ~|     ~|G              |   8|   0
873 |HD 22670                           |Er*|03 39 04.4574663125 +09 39 10.236235224|     ~| 9.69 | 9.03 |     ~|     ~|G              |  27|   0
874 |BD+07 527                          |PM*|03 39 15.3538881317 +08 04 51.144523086|     ~|12.12 |11.28 |     ~|     ~|G              |   0|   0
875 |BD+04 567                          |*  |03 39 30.4335426147 +04 47 40.672829319|     ~|11.47 |10.98 |     ~|     ~|G              |   0|   0
876 |[AUO2003] J033508.14-150454.0      |*  |03 35 08.14 -15 04 54.0                |     ~|     ~|     ~|     ~|     ~|G              |   1|   0
877 |CD-29 1350                         |*  |03 38 03.3527851491 -29 31 41.566216516|     ~|12.09 |11.48 |     ~|     ~|Gwl            |   5|   0
878 |HD 275865                          |*  |03 49 42.8796526770 +40 04 24.903028144|     ~|12.07 |11.79 |     ~|     ~|G              |   1|   0
879 |BD+38 805                          |*  |03 47 12.8077531842 +39 11 08.482955314|     ~|10.31 | 8.99 |     ~|     ~|G              |   0|   0
880 |HD 275817                          |*  |03 45 11.7239545609 +38 40 09.127230801|     ~|11.50 |10.76 |     ~|     ~|G              |   1|   0
881 |EM* LkHA 273                       |Em*|03 49 15.7488496689 +38 56 37.372556607|     ~|16.20 |15.27 |     ~|     ~|G              |  13|   0
882 |HD 275938                          |*  |03 55 45.0169673837 +39 45 31.529825783|     ~|11.66 |11.29 |     ~|     ~|G              |   1|   0
883 |HD 275944                          |*  |03 53 33.6043449097 +38 58 48.547287609|     ~|11.54 |11.12 |     ~|     ~|G              |   1|   0
884 |HD 275942                          |PM*|03 53 23.7693456567 +39 14 08.269816297|     ~|11.67 |10.99 |     ~|     ~|G              |   1|   0
885 |HD 275876                          |*  |03 49 05.4681018037 +39 00 31.568527302|     ~|11.64 |11.11 |     ~|     ~|G              |   1|   0
886 |HD 275889                          |PM*|03 49 26.6242657942 +38 27 23.688955219|     ~|11.57 |11.18 |     ~|     ~|G              |   1|   0
887 |HD 275950                          |*  |03 55 21.3491761841 +37 48 04.001214603|     ~|12.06 |11.07 |     ~|     ~|G              |   1|   0
888 |HD 275836                          |*  |03 48 28.6381800682 +37 35 06.638192568|     ~|12.01 |11.41 |     ~|     ~|G              |   1|   0
889 |HD 278975                          |PM*|03 45 30.2504138781 +34 44 05.146566856|     ~|12.59 |11.45 |     ~|     ~|G              |   1|   0
890 |HD 279100                          |*  |03 51 45.3600531554 +34 53 22.502362488|     ~|10.25 | 9.88 |     ~|     ~|G              |   3|   0
891 |HD 24051                           |PM*|03 51 25.7439655574 +37 26 38.181004829|11.13 | 9.30 | 8.89 |     ~|     ~|G              |   5|   0
892 |HD 279181                          |*  |03 56 01.1895665043 +34 41 26.621536628|     ~|12.13 |10.81 |     ~|     ~|G              |   1|   0
893 |HD 281219                          |*  |03 49 02.1629043742 +32 42 08.641575114|     ~|10    |     ~|     ~|     ~|G              |   3|   0
894 |HD 279194                          |*  |03 56 06.6764482394 +33 51 09.035161175|     ~|11.61 |11.00 |     ~|     ~|G              |   1|   0
895 |HD 279204                          |*  |03 55 37.8870478396 +33 01 15.426945179|     ~|11.79 |11.56 |     ~|     ~|G              |   1|   0
896 |HD 281260                          |*  |03 47 19.2778136287 +29 31 22.765832718|     ~|11.93 |11.08 |     ~|     ~|G              |   1|   0
897 |HD 281314                          |*  |03 53 55.21 +30 35 28.2                |     ~|10    |     ~|     ~|     ~|G              |   1|   0
898 |HD 282918                          |*  |03 45 58.8062185249 +27 58 56.935388660|     ~|11.62 |11.23 |     ~|     ~|G              |   1|   0
899 |HD 282978                          |*  |03 50 18.0874221644 +28 21 55.744976517|     ~|11.79 |11.03 |     ~|     ~|G              |   1|   0
900 |HD 281269                          |*  |03 50 31.2891691911 +29 18 50.949450826|     ~|11.90 |11.57 |     ~|     ~|G              |   1|   0
901 |HD 281339                          |*  |03 52 28.0045751195 +29 14 26.388121717|     ~|12.45 |11.61 |     ~|     ~|G              |   1|   0
902 |HD 281343                          |*  |03 54 47.1950950689 +29 06 36.625078120|     ~|12.36 |11.64 |     ~|     ~|G              |   1|   0
903 |HD 281326                          |*  |03 55 24.5238781252 +29 38 05.071516543|     ~|12.06 |11.92 |     ~|     ~|G              |   1|   0
904 |HD 23440                           |*  |03 46 04.2 +24 59 52                   |     ~|10.0  |10.9  |     ~|     ~|G              |   3|   0
905 |HD 23500                           |*  |03 46 32.1805776275 +24 52 14.011887152|     ~|10.31 | 9.87 |     ~|     ~|G              |   8|   0
906 |BD+23 518                          |*  |03 46 07.7018692969 +24 03 41.821649547|     ~|11.25 |10.65 |     ~|     ~|GIV            |   7|   1
907 |HD 24613                           |*  |03 55 48.8574286982 +26 36 45.881584996|     ~| 9.69 | 9.23 |     ~|     ~|G              |   1|   0
908 |HD 282946                          |PM*|03 49 04.7613838757 +26 26 35.528787649|     ~|11.62 |10.77 |     ~|     ~|G              |   2|   0
909 |HD 24027                           |*  |03 50 34.3673239648 +24 47 29.675205911|     ~|10.62 |10.22 |     ~|     ~|G              |   8|   0
910 |HD 283045                          |*  |03 53 42.9302522355 +26 00 59.307535369|     ~|11.95 |11.06 |     ~|     ~|G              |   1|   0
911 |HD 283148                          |*  |03 54 14.4146304497 +25 08 51.728573459|     ~|11.21 |10.69 |     ~|     ~|G              |   3|   0
912 |HD 24243                           |*  |03 52 20.2246557903 +22 11 13.170617342|     ~|10.40 | 9.90 |     ~|     ~|G              |   4|   0
913 |HD 285228                          |*  |03 55 51.3479913361 +19 46 46.078027126|     ~|11.64 |10.97 |     ~|     ~|G              |   3|   0
914 |CCDM J03532-0150BC                 |** |03 53 09.691 -01 50 17.79              |     ~|10.87 |10.03 |     ~|     ~|G              |   3|   0
915 |HD 276040                          |*  |04 05 26.1765397902 +41 13 07.389902247|     ~|11.51 |11.09 |     ~|     ~|G              |   1|   0
916 |HD 276026                          |*  |04 03 09.6999939259 +40 10 04.909442742|     ~|12.03 |11.32 |     ~|     ~|G              |   2|   0
917 |HD 279240                          |*  |03 59 24.4067272309 +35 41 13.232565833|     ~|11.90 |11.29 |     ~|     ~|G              |   1|   0
918 |HD 25321                           |*  |04 02 54.9440692332 +37 57 34.921130582|11.42 | 9.49 | 9.09 |     ~|     ~|G              |   2|   0
919 |HD 279291                          |*  |04 02 27.5020777302 +36 04 43.251240625|     ~|12.25 |11.40 |     ~|     ~|G              |   1|   0
920 |HD 279359                          |*  |04 06 05.3554820550 +35 52 47.270285032|     ~|12.21 |11.66 |     ~|     ~|G              |   1|   0
921 |HD 281358                          |*  |03 57 41.1593547057 +32 52 56.463335140|     ~|11.58 |11.00 |     ~|     ~|G              |   2|   0
922 |HD 279400                          |*  |04 03 46.1402773870 +34 25 31.038870139|     ~|12.00 |11.26 |     ~|     ~|G              |   1|   0
923 |HD 281374                          |*  |03 57 14.1604714772 +32 09 19.577541151|     ~|12.50 |11.63 |     ~|     ~|G              |   1|   0
924 |HD 281440                          |*  |03 59 09.4685945476 +29 02 25.861637964|     ~|12.36 |11.30 |     ~|     ~|G              |   1|   0
925 |HD 283199                          |*  |03 58 57.0487884314 +27 52 51.390532532|     ~|11.83 |11.18 |     ~|     ~|G              |   1|   0
926 |HD 283288                          |*  |04 02 53.7743795220 +28 26 03.860427849|     ~|12.39 |11.45 |     ~|     ~|G              |   1|   0
927 |HD 283194                          |*  |04 00 07.1172462176 +28 08 56.380456031|     ~|12.82 |12.09 |     ~|     ~|G              |   1|   0
928 |HD 281599                          |*  |04 04 31.4303448324 +29 37 20.512902864|     ~|12.16 |11.53 |     ~|     ~|G              |   1|   0
929 |HD 281513                          |*  |04 03 02.2504931535 +29 02 56.794072848|     ~|12.40 |11.38 |     ~|     ~|G              |   1|   0
930 |HD 283204                          |PM*|04 00 37.9308686628 +27 39 40.231371961|     ~|11.68 |11.12 |     ~|     ~|G              |   1|   0
931 |HD 283316                          |*  |04 04 26.8661846458 +27 00 54.002919497|     ~|11.93 |11.32 |     ~|     ~|G              |   1|   0
932 |HD 283224                          |*  |04 00 25.7514126047 +26 51 47.999574221|     ~|11.70 |10.49 |     ~|     ~|G              |   1|   0
933 |HD 283241                          |*  |03 59 52.9468964643 +26 18 21.689209427|     ~|12.47 |11.76 |     ~|     ~|G              |   2|   0
934 |HD 25078                           |PM*|03 59 53.7704474247 +23 13 01.238547337|     ~| 9.74 | 9.24 |     ~|     ~|G              |   2|   0
935 |HD 25110                           |*  |04 00 08.0585300233 +23 23 55.312778976|     ~| 9.81 | 9.11 |     ~|     ~|G              |   5|   0
936 |HD 285275                          |*  |03 58 53.5856815160 +19 32 29.977765934|     ~|11.44 |10.98 |     ~|     ~|G              |   2|   0
937 |HD 285384                          |*  |04 03 14.6035867505 +16 53 10.868362858|     ~|12.46 |11.48 |     ~|     ~|G              |   2|   0
938 |HD 285424                          |*  |04 04 54.1924208755 +15 13 06.873773120|     ~|12.27 |11.64 |     ~|     ~|G              |   2|   0
939 |HD 285432                          |*  |04 05 07.7601234388 +14 56 18.569265825|     ~|10    |     ~|     ~|     ~|G              |   1|   0
940 |HD 286509                          |*  |04 07 27.6860678242 +12 37 59.704370482|     ~|12.51 |12.04 |     ~|     ~|G              |   2|   0
941 |CCDM J03597+1128AB                 |** |03 59 40.0389 +11 28 25.865            |     ~|10.20 | 9.62 |     ~|     ~|G              |   6|   0
942 |BD+05 571                          |*  |03 58 27.2410059775 +05 58 20.203831334|     ~|11.46 |10.80 |     ~|     ~|G              |   0|   0
943 |BD+06 612                          |*  |03 59 31.7433408999 +06 52 50.992911988|     ~|11.52 |11.11 |     ~|     ~|G              |   0|   0
944 |BD+00 691                          |*  |04 04 32.7663259759 +00 39 49.670188103|     ~|11.99 |10.84 |     ~|     ~|G              |   0|   0
945 |HD 276195                          |*  |04 17 13.8061613682 +40 42 16.070248393|     ~|10.80 |10.40 |     ~|     ~|G              |   1|   0
946 |HD 276149                          |*  |04 15 03.2437432057 +39 25 09.764836325|     ~|12.00 |11.53 |     ~|     ~|G              |   1|   0
947 |HD 279664                          |*  |04 16 37.3465268907 +36 48 33.389846667|     ~|11.55 |11.26 |     ~|     ~|G              |   1|   0
948 |HD 279577                          |*  |04 15 32.2375484272 +36 59 43.648835949|     ~|11.81 |11.41 |     ~|     ~|G              |   1|   0
949 |HD 279532                          |*  |04 10 31.6402688600 +34 53 59.203704677|     ~|11.97 |11.47 |     ~|     ~|G              |   1|   0
950 |HD 279544                          |*  |04 08 55.8698878322 +34 32 05.299261946|     ~|12.22 |11.55 |     ~|     ~|G              |   1|   0
951 |HD 279472                          |*  |04 09 23.9436051819 +34 07 32.488368235|     ~|11.45 |11.14 |     ~|     ~|G              |   1|   0
952 |HD 279605                          |*  |04 14 51.4488809001 +35 32 59.139370899|     ~|10    |     ~|     ~|     ~|G              |   1|   0
953 |HD 279620                          |*  |04 14 37.4711260760 +35 01 21.163685929|     ~|11.78 |11.38 |     ~|     ~|G              |   1|   0
954 |HD 279628                          |*  |04 15 49.6226640213 +34 32 19.712698359|     ~|11.94 |11.47 |     ~|     ~|G              |   1|   0
955 |HD 281708                          |*  |04 12 57.2327435472 +33 37 17.416315725|     ~|12.09 |11.57 |     ~|     ~|G              |   1|   0
956 |HD 281574                          |*  |04 07 46.9153040694 +31 58 13.676059849|     ~|10    |     ~|     ~|     ~|G              |   1|   0
957 |HD 281659                          |*  |04 10 29.1417111379 +32 05 37.366177291|     ~|12.24 |11.40 |     ~|     ~|G              |   1|   0
958 |HD 281662                          |*  |04 08 40.6981859240 +31 49 02.204315703|     ~|12.64 |11.68 |     ~|     ~|G              |   1|   0
959 |HD 281848                          |*  |04 17 23.8227599274 +33 05 44.800702549|     ~|11.81 |11.15 |     ~|     ~|G              |   1|   0
960 |HD 281727                          |*  |04 13 05.5638921660 +33 12 38.944046160|     ~|11.84 |11.03 |     ~|     ~|G              |   1|   0
961 |HD 281734                          |*  |04 13 44.2418288435 +32 57 39.987603267|     ~|11.96 |11.31 |     ~|     ~|G              |   1|   0
