C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
612  |HD 177106                          |*  |18 58 25.0176532491 +66 19 57.202116850|     ~| 9.14 | 8.98 |     ~|     ~|A              |   3|   0
613  |HD 193963                          |*  |20 16 06.6260447775 +75 20 53.231159035|     ~|10.69 |10.34 |     ~|     ~|A              |   1|   0
614  |HD 189547                          |*  |19 52 42.9504220347 +77 00 56.895869885|     ~|10.81 |10.48 |     ~|     ~|A              |   1|   0
615  |TYC 4585-849-1                     |*  |20 02 54.6802223085 +76 28 31.099944677|     ~|11.39 |10.98 |     ~|     ~|A              |   0|   0
616  |HD 11917                           |*  |02 03 48.4895172824 +81 00 00.044789793|     ~| 9.07 | 9.02 |     ~|     ~|A              |   6|   0
617  |BD+80 87                           |*  |02 49 24.3500785314 +81 25 45.512775307|     ~| 9.99 | 9.57 |     ~|     ~|ApSrEu         |  10|   0
618  |HD 18457                           |** |03 07 18.8860 +80 25 09.772            |     ~| 8.87 | 8.78 |     ~|     ~|A              |   1|   0
619  |HD 21548                           |*  |03 37 45.3192876127 +79 18 13.093036587|     ~| 9.15 | 8.91 |     ~|     ~|A              |   1|   0
620  |BD+75 150                          |*  |03 53 48.8370602372 +75 40 51.393988464|     ~|11.63 | 9.99 |     ~|     ~|A              |   1|   0
621  |HD 25483                           |*  |04 10 17.5315330952 +75 10 15.243890211|     ~|10.82 |10.43 |     ~|     ~|A              |   3|   0
622  |TYC 4333-660-1                     |*  |04 24 27.6882191980 +69 53 26.582424375|     ~|11.22 |11.28 |     ~|     ~|A              |   1|   0
623  |HD 28061                           |*  |04 31 36.7224688869 +70 27 23.811277896|     ~| 9.36 | 9.09 |     ~|     ~|A              |   2|   0
624  |HD 30107                           |*  |04 50 34.6737184764 +70 05 45.517760520|     ~| 9.60 | 9.29 |     ~|     ~|A              |   2|   0
625  |HD 29932                           |*  |04 48 35.0144062425 +69 11 59.530450097|     ~|10.02 | 9.71 |     ~|     ~|A              |   2|   0
626  |HD 30735                           |*  |04 54 40.2526598480 +64 40 29.651600734|     ~| 9.91 | 9.61 |     ~|     ~|A              |   1|   0
627  |HD 34873                           |*  |05 23 49.5680895718 +55 25 53.336601256|     ~| 9.65 | 9.49 |     ~|     ~|A              |   1|   0
628  |HD 34805                           |*  |05 23 06.8515547734 +53 38 20.683927425|     ~| 9.85 | 9.51 |     ~|     ~|A              |   1|   0
629  |HD 34831                           |*  |05 23 23.4648639242 +53 59 41.818412417|     ~| 9.67 | 9.41 |     ~|     ~|A              |   1|   0
630  |HD 35422                           |*  |05 27 37.0069164718 +53 45 01.299672783|     ~| 9.29 | 9.09 |     ~|     ~|A              |   4|   0
631  |HD 35465                           |*  |05 27 55.1948245262 +53 31 08.061054248|     ~| 9.87 | 9.72 |     ~|     ~|A              |   1|   0
632  |HD 233105                          |*  |05 21 59.0555157615 +52 09 51.831740564|     ~| 9.60 | 9.26 |     ~|     ~|A              |   1|   0
633  |HD 35233                           |*  |05 26 09.6421964865 +52 38 23.381641319|     ~| 9.65 | 9.41 |     ~|     ~|A              |   1|   0
634  |HD 35119                           |*  |05 25 06.1506143629 +50 22 21.870008431|     ~| 9.68 | 9.37 |     ~|     ~|A              |   1|   0
635  |BD+44 1200                         |*  |05 27 21.9007851536 +44 49 15.859756223|     ~|10.05 | 9.63 |     ~|     ~|Am             |   3|   0
636  |HD 168321                          |*  |18 16 41.4339917964 +47 54 39.956135716|     ~| 8.34 | 8.11 |     ~|     ~|A              |   4|   0
637  |HD 208390                          |*  |21 37 13.7011042994 +86 26 29.164541315|     ~| 9.10 | 8.95 |     ~|     ~|A              |   4|   0
638  |HD 1262                            |*  |00 18 39.1629420935 +85 11 15.393016090|     ~| 9.34 | 9.13 |     ~|     ~|A              |   1|   0
639  |HD 17694                           |*  |03 06 16.2415753183 +84 38 02.705162303|     ~| 9.03 | 8.79 |     ~|     ~|A              |   1|   0
640  |HD 15341                           |*  |02 41 26.0713879725 +84 16 53.691862314|     ~| 9.61 | 9.30 |     ~|     ~|A              |   1|   0
641  |HD 28670                           |*  |04 38 39.2485825698 +74 53 37.878746564|     ~|10.79 |10.67 |     ~|     ~|A              |   3|   0
642  |HD 30750                           |*  |04 56 19.5146657411 +70 28 01.222310528|     ~| 9.63 | 9.47 |     ~|     ~|A              |   2|   0
643  |HD 31304                           |*  |05 00 19.7443005068 +69 25 29.115032186|     ~| 9.79 | 9.69 |     ~|     ~|A              |   1|   0
644  |HD 33264                           |*  |05 13 54.3246628921 +65 48 12.825793119|     ~| 9.67 | 9.49 |     ~|     ~|A              |   1|   0
645  |BD+56 1036                         |*  |05 34 18.3059614478 +56 17 36.120655603|     ~|10.62 |10.15 |     ~|     ~|A              |   0|   0
646  |HD 35829                           |*  |05 30 44.6671 +55 20 58.030            |     ~| 9.64 | 9.42 |     ~|     ~|A              |   1|   0
647  |HD 36385                           |*  |05 34 42.0498750879 +55 22 56.207654118|     ~|10.16 | 9.93 |     ~|     ~|A              |   4|   0
648  |HD 36624                           |*  |05 36 18.2453450828 +54 55 38.241789956|     ~| 9.74 | 9.54 |     ~|     ~|A              |   1|   0
649  |HD 36196                           |*  |05 33 00.6278948593 +51 21 33.497696962|     ~| 9.33 | 9.30 |     ~|     ~|A              |   2|   0
650  |HD 167893                          |*  |18 12 24.5175811343 +65 59 07.627726340|     ~| 9.05 | 8.92 |     ~|     ~|A              |   1|   0
651  |HD 815                             |*  |00 16 05.3683096421 +88 24 04.290913372|     ~| 9.32 | 9.11 |     ~|     ~|A              |   4|   0
652  |HD 17376                           |*  |04 07 05.6817987064 +88 55 21.573078188|     ~| 9.16 | 8.84 |     ~|     ~|A              |  12|   0
653  |HD 29579                           |*  |04 53 27.4036359340 +81 29 24.232164413|     ~| 9.34 | 9.31 |     ~|     ~|A              |   7|   0
654  |HD 35420                           |*  |05 43 43.7049842193 +83 25 26.878136002|     ~| 9.74 | 9.35 |     ~|     ~|A              |   1|   0
655  |HD 31962                           |*  |05 15 08.6877852068 +81 57 55.505300219|     ~| 9.71 | 9.65 |     ~|     ~|A              |   2|   0
656  |BD+54 941                          |*  |05 47 30.9110480539 +54 36 26.688382685|     ~|11.26 |10.74 |     ~|     ~|A              |   0|   0
657  |HD 38461                           |*  |05 49 07.8903151691 +54 47 52.068719396|     ~| 9.79 | 9.65 |     ~|     ~|A              |   1|   0
658  |BD+48 1314                         |*  |05 51 50.9570190799 +48 44 25.999926980|     ~|10.06 | 9.18 |     ~|     ~|A              |   0|   0
659  |HD 162279                          |*  |17 46 51.3453204621 +57 27 58.405752995|     ~| 9.57 | 9.47 |     ~|     ~|A              |   1|   0
660  |HD 163214                          |PM*|17 49 28.0839938417 +68 41 20.501191882|     ~| 7.16 | 6.90 |     ~|     ~|Am             |  15|   0
661  |V* GT Dra                          |Ir*|17 39 50.7906664993 +72 57 53.022511631|     ~| 8.30 | 8.18 |     ~|     ~|A              |  16|   0
662  |HD 160604                          |*  |17 31 17.2097408244 +77 06 04.188991356|     ~| 8.90 | 8.85 |     ~|     ~|A              |   1|   0
663  |HD 47724                           |*  |07 14 32.7636421020 +86 20 05.766669155|     ~| 9.67 | 9.51 | 9.4  |     ~|A              |   4|   0
664  |HD 42703                           |*  |06 18 20.4560422067 +69 52 52.564050467|     ~| 9.84 | 9.61 |     ~|     ~|A              |   1|   0
665  |HD 42231                           |*  |06 12 52.1091944000 +55 41 05.224323072|     ~| 9.87 | 9.79 |     ~|     ~|A              |   1|   0
666  |HD 42392                           |*  |06 13 51.6823745634 +55 54 37.382353201|     ~| 9.79 | 9.54 |     ~|     ~|A              |   1|   0
667  |HD 159967                          |*  |17 33 48.2838534207 +58 46 45.827449002|     ~| 9.03 | 8.95 |     ~|     ~|A              |   1|   0
668  |HD 153343                          |*  |16 51 57.9692466464 +73 18 29.810856792|     ~| 9.13 | 8.99 |     ~|     ~|A              |   1|   0
669  |HD 115318                          |*  |13 09 35.2287567242 +84 10 40.628820813|     ~| 9.75 | 9.43 |     ~|     ~|A              |   1|   0
670  |BD+84 160                          |*  |07 56 06.0389530449 +83 49 41.583411062|     ~|10.67 |10.40 |     ~|     ~|A              |   0|   0
671  |HD 64466                           |*  |08 08 52.8656059264 +82 24 36.158298098|     ~| 9.44 | 9.21 |     ~|     ~|A              |   1|   0
672  |HD 51321                           |*  |07 08 32.6852118511 +79 26 22.356622725|     ~|10.05 | 9.86 |     ~|     ~|A              |   1|   0
673  |HD 57557                           |*  |07 30 04.9195124198 +75 52 31.082004933|     ~| 9.95 | 9.78 |     ~|     ~|A              |   3|   0
674  |HD 49802                           |*  |06 56 44.2581650552 +71 29 12.941195884|     ~| 9.78 | 9.65 |     ~|     ~|A              |   1|   0
675  |HD 45877                           |*  |06 34 45.6805355739 +64 37 53.621388690|     ~|10.55 | 9.45 |     ~|     ~|A              |   1|   0
676  |HD 46527                           |*  |06 38 43.9296336184 +64 47 19.721690501|     ~| 9.67 | 9.50 |     ~|     ~|A              |   1|   0
677  |HD 46634                           |*  |06 38 46.3363291517 +62 38 17.306568504|     ~| 9.69 | 9.39 |     ~|     ~|A              |   1|   0
678  |HD 45687                           |*  |06 32 16.4558932411 +56 33 31.695208271|     ~| 9.66 | 9.46 |     ~|     ~|A              |   1|   0
679  |HD 237481                          |*  |06 21 55.2940577724 +54 58 52.203978145|     ~|10.70 |10.34 |     ~|     ~|A              |   2|   0
680  |HD 237480                          |*  |06 21 54.8074982497 +54 58 43.887875482|     ~|10.42 |10.25 |     ~|     ~|A              |   1|   0
681  |HD 44387                           |*  |06 24 14.8744196471 +48 41 30.828619633|     ~| 9.49 | 9.42 |     ~|     ~|A              |   1|   0
682  |HD 155695                          |*  |17 09 34.6013115648 +59 10 23.483521784|     ~| 9.312| 9.165|     ~|     ~|A              |   2|   0
683  |TYC 4543-752-1                     |*  |08 30 00.4447774091 +79 24 46.256066253|     ~|11.04 |10.51 |     ~|     ~|A              |   0|   1
684  |HD 74775                           |*  |08 56 18.7189613615 +80 44 21.771186789|     ~| 9.95 | 9.74 |     ~|     ~|A              |   1|   0
685  |TYC 4543-1611-1                    |*  |08 21 05.4816037400 +78 54 20.190021502|     ~|11.95 |11.50 |     ~|     ~|A              |   0|   0
686  |HD 52419                           |*  |07 07 20.7486920084 +71 13 01.448782686|     ~| 9.69 | 9.44 |     ~|     ~|A              |   1|   1
687  |CCDM J07103+7035AB                 |** |07 10 15.9605 +70 34 43.560            |     ~| 9.88 | 9.85 |     ~|     ~|A              |   3|   0
688  |HD 58359                           |** |07 31 23.9840864948 +71 14 09.942132895|     ~| 9.79 | 9.75 |     ~|     ~|A              |   6|   0
689  |HD 48880                           |*  |06 49 39.0902306805 +61 53 38.199846251|     ~|10.12 | 9.89 |     ~|     ~|A              |   1|   0
690  |HD 46733                           |*  |06 38 03.2671751179 +53 12 10.267886379|     ~|10.11 | 9.91 |     ~|     ~|A              |   1|   0
691  |HD 45165                           |*  |06 28 39.8340246454 +50 31 05.400846473|     ~| 9.63 | 9.59 |     ~|     ~|A              |   7|   0
692  |HD 46385                           |*  |06 35 49.6516840684 +51 17 45.461774749|     ~| 9.80 | 9.68 |     ~|     ~|A              |   4|   0
693  |HD 45991                           |*  |06 33 20.0237600311 +49 35 04.868123027|     ~| 9.56 | 9.22 |     ~|     ~|A              |   1|   0
694  |HD 149748                          |PM*|16 32 41.8634860726 +62 51 17.652095760|     ~| 7.69 | 7.36 |     ~|     ~|Am             |  23|   0
695  |HD 110962                          |*  |12 43 38.8676841612 +79 35 10.002509712|     ~| 9.89 | 9.89 |     ~|     ~|A              |   1|   0
696  |HD 76810                           |*  |09 05 03.0098371356 +76 10 07.733945231|     ~| 9.77 | 9.65 |     ~|     ~|A              |   1|   0
697  |HD 76863                           |*  |09 06 09.7119159568 +77 32 12.522303666|     ~| 9.74 | 9.56 |     ~|     ~|A              |   1|   0
698  |HD 65136                           |*  |08 02 35.5183291266 +69 50 29.706987484|     ~| 9.54 | 9.39 |     ~|     ~|A              |   4|   0
699  |HD 56939                           |*  |07 22 54.5421217268 +61 10 17.413707660|     ~| 9.76 | 9.72 |     ~|     ~|A              |   2|   0
700  |HD 51468                           |*  |07 01 06.4056962147 +59 03 28.743453093|     ~|10.31 |10.37 |     ~|     ~|A              |   2|   0
701  |HD 55154                           |*  |07 15 34.9277700189 +60 22 50.623388377|     ~| 9.97 | 9.72 |     ~|     ~|A              |   1|   0
702  |HD 53227                           |*  |07 07 49.9257340177 +58 31 42.041837506|     ~| 9.00 | 8.79 |     ~|     ~|Am             |  11|   0
703  |HD 50243                           |*  |06 55 44.5303532357 +56 37 03.524556898|     ~| 9.49 | 9.48 |     ~|     ~|A              |   6|   0
704  |HD 49324                           |*  |06 51 02.6593060400 +55 05 12.222996202|     ~| 9.81 | 9.73 |     ~|     ~|A              |   1|   0
705  |HD 47449                           |*  |06 41 20.3117841805 +50 04 37.318676614|     ~| 9.34 | 8.99 |     ~|     ~|A              |   1|   0
706  |HD 46357                           |*  |06 35 13.3805399232 +45 19 34.204227386|     ~|10.72 | 9.36 |     ~|     ~|A              |   1|   0
707  |HD 151809                          |*  |16 46 32.4013524778 +56 22 36.462698229|     ~| 9.32 | 9.47 |     ~|     ~|A              |   3|   0
708  |HD 114955                          |*  |13 10 45.1646675740 +77 39 13.836277585|     ~| 9.60 | 9.48 |     ~|     ~|A              |   2|   0
709  |HD 81190                           |*  |09 28 49.3735658432 +72 58 46.781871609|     ~| 9.77 | 9.56 |     ~|     ~|A              |   1|   0
710  |HD 55992                           |*  |07 18 21.0835287304 +54 33 24.319746626|     ~|10.31 |10.12 |     ~|     ~|A              |   1|   0
711  |HD 50691                           |*  |06 56 50.9607794711 +50 00 28.201444003|     ~| 9.48 | 9.44 |     ~|     ~|A              |   2|   0
712  |HD 49535                           |*  |06 51 17.0304359689 +47 22 55.163507820|     ~| 9.68 | 9.42 |     ~|     ~|A              |   2|   0
713  |HD 52629                           |*  |07 04 26.5369298107 +49 26 25.738322251|     ~| 9.66 | 9.54 |     ~|     ~|A              |   1|   0
714  |HD 51020                           |*  |06 57 54.8795388046 +45 22 36.797079395|     ~|11.04 |10.62 |     ~|     ~|A              |   1|   0
715  |HS 1658+4530                       |*  |16 59 57.0626202932 +45 25 50.909940642|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
716  |HD 153286                          |SB*|16 56 04.5634871383 +47 22 14.845565041|     ~| 7.337| 7.014|     ~|     ~|Am             |  51|   0
717  |HS 1641+4813                       |*  |16 42 41.1 +48 08 24                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
718  |HS 1642+5006                       |*  |16 43 55.7 +50 01 12                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
719  |HD 144512                          |*  |16 02 32.5541127726 +62 48 40.511578406|     ~|10.33 |10.14 |     ~|     ~|A              |   1|   0
720  |HD 103227                          |*  |11 53 23.6540336351 +75 41 24.101841979|     ~|10.86 |10.52 |     ~|     ~|A              |   1|   0
721  |HD 81356                           |V* |09 28 59.4360594108 +69 23 00.296047571|     ~| 9.61 | 9.21 | 8.7  |     ~|A              |   7|   0
722  |HD 72167                           |*  |08 35 23.3357781531 +66 16 15.109236685|     ~| 8.94 | 8.70 |     ~|     ~|A              |   6|   0
723  |HD 67625                           |*  |08 12 58.2824470972 +64 43 57.811621188|     ~| 9.56 | 9.44 |     ~|     ~|A              |   2|   0
724  |V* NS UMa                          |RR*|08 24 24.7098292150 +65 43 03.377588107|     ~|11.38 |11.02 |     ~|     ~|A              |   9|   0
725  |HD 68403                           |*  |08 15 54.8203267561 +62 41 54.760789506|     ~| 9.35 | 9.20 |     ~|     ~|A              |   2|   0
726  |HD 58639                           |*  |07 29 29.5811249252 +55 25 45.523686138|     ~| 9.82 | 9.63 |     ~|     ~|A              |   1|   0
727  |HS 1640+4634                       |*  |16 42 04.9370155593 +46 28 53.782523699|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
728  |HD 104202                          |*  |12 00 08.3682170709 +70 39 05.227513704|     ~| 8.71 | 8.47 |     ~|     ~|A              |  13|   0
729  |HD 101685                          |*  |11 42 42.2705852803 +71 22 39.484185105|     ~| 9.79 | 9.86 |     ~|     ~|A              |   5|   0
730  |HD 88850                           |PM*|10 17 51.2978950388 +71 03 22.284018730|     ~| 7.61 | 7.33 |     ~|     ~|Am             |  42|   0
731  |[S84b] M 81 11                     |sg*|09 55 12.780 +68 59 45.74              |     ~|20.13 |19.94 |     ~|     ~|AIe            |   2|   0
732  |HD 79352                           |*  |09 17 19.2372846710 +68 01 54.698840097|     ~| 9.52 | 9.45 |     ~|     ~|A              |   1|   0
733  |HD 70010                           |*  |08 23 03.1048566558 +61 12 20.033968053|     ~| 9.50 | 9.42 |     ~|     ~|A              |   5|   0
734  |HD 62257                           |*  |07 46 01.6719677545 +55 38 32.511016603| 7.850| 7.720| 7.580|     ~|     ~|Am             |  17|   0
735  |BD+53 1183                         |*  |07 47 05.9432716070 +53 38 19.456582705|     ~|10.10 | 9.92 |     ~|     ~|ApSrCr         |   5|   0
736  |HD 56028                           |*  |07 17 27.7375911852 +43 37 41.930114546|     ~| 9.95 | 9.73 |     ~|     ~|A              |   1|   0
737  |HD 102925                          |SB*|11 51 20.1216127571 +68 50 01.905357641|     ~| 7.40 | 7.23 |     ~|     ~|Am             |  17|   0
738  |[RVT99] 5                          |*  |09 59 12.9759723901 +65 30 40.976622862|     ~|16.22 |15.31 |     ~|     ~|A              |   1|   0
739  |[RVT99] 7                          |*  |09 58 48.3294297409 +65 35 59.423090959|     ~|16.60 |15.75 |     ~|     ~|A              |   1|   0
740  |[RVT99] 8                          |*  |09 59 14.1036354320 +65 35 55.800470436|     ~|16.65 |15.85 |     ~|     ~|A              |   1|   0
741  |[RVT99] 9                          |*  |09 58 53.9394269824 +65 35 18.432104383|     ~|17.01 |16.17 |     ~|     ~|A              |   1|   0
742  |HD 78105                           |Pu*|09 09 39.4629854086 +63 21 03.565683819|     ~| 9.41 | 9.18 |     ~|     ~|A              |   6|   0
743  |HD 66068                           |SB*|08 04 35.9454041148 +53 40 42.752949819| 7.460| 7.350| 7.040|     ~|     ~|Am             |  29|   0
744  |HD 144956                          |*  |16 06 34.3544260621 +45 13 53.736713994|     ~|10.33 |10.10 |     ~|     ~|A              |   1|   0
745  |HD 234276                          |*  |16 00 00.8877559144 +49 50 16.548511312|     ~| 9.91 | 8.55 |     ~|     ~|A              |   4|   0
746  |HD 69683                           |*  |08 20 18.7371898295 +51 01 59.881806903|     ~| 9.76 | 9.39 |     ~|     ~|A              |   1|   0
747  |GD 87                              |PM*|07 41 17.1619417885 +42 52 40.902748288|     ~|12.86 |     ~|12.7  |     ~|A              |   5|   0
748  |HS 1543+4919                       |*  |15 44 59.0 +49 09 48                   |     ~|19.2  |     ~|     ~|     ~|A              |   1|   0
749  |HD 111222                          |*  |12 46 47.8505198609 +62 28 58.198426838|     ~| 9.41 | 9.10 |     ~|     ~|A              |   5|   0
750  |HD 82861                           |*  |09 36 42.8818423794 +56 58 12.586126053|     ~| 7.196| 7.049|     ~|     ~|Am             |  28|   0
751  |HD 78414                           |*  |09 10 24.1182658279 +54 41 12.833262718|     ~| 9.63 | 9.48 |     ~|     ~|A              |   4|   0
752  |HD 74502                           |*  |08 46 37.1973649045 +53 02 52.388713560|     ~| 9.35 | 9.09 |     ~|     ~|Am             |   9|   0
753  |HS 1527+4853                       |*  |15 29 26.7783799511 +48 42 59.543869360|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
754  |HD 101952                          |*  |11 44 14.3297423799 +59 37 32.759404201|10.160|10.070|10.020|     ~|     ~|A              |  10|   0
755  |HD 97811                           |*  |11 15 56.0657869558 +59 07 15.581218640|     ~| 8.166| 7.931|     ~|     ~|Am             |  27|   0
756  |HD 93609                           |*  |10 49 39.2305882620 +60 32 45.022368121|     ~| 9.87 | 9.62 |     ~|     ~|A              |   2|   0
757  |HS 1506+4619                       |*  |15 08 02.6 +46 08 11                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
758  |HS 1501+4827                       |*  |15 03 15.4 +48 15 34                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
759  |V* SX UMa                          |RR*|13 26 13.4592535581 +56 15 25.055404177|     ~|11.01 |10.77 |     ~|     ~|A              |  70|   0
760  |HD 108121                          |*  |12 25 00.1661511886 +57 09 59.011084303|     ~| 9.57 | 9.36 |     ~|     ~|A              |   2|   0
761  |HD 130406                          |*  |14 46 40.4744241707 +45 22 44.178117921|     ~|11.06 |10.77 |     ~|     ~|A              |   2|   0
762  |HD 127263                          |SB*|14 28 55.5488545998 +47 09 02.056905087| 8.510| 8.410| 8.160|     ~|     ~|Am             |  24|   0
763  |HD 94398                           |*  |10 54 40.5055085751 +52 22 36.702588212| 9.620| 9.500| 9.150|     ~|     ~|A              |   6|   0
764  |HD 84813                           |*  |09 49 14.7451683670 +50 11 24.910769457|     ~| 9.29 | 9.20 |     ~|     ~|A              |   1|   0
765  |HS 1350+4806                       |*  |13 52 29.0126178466 +47 52 13.086970479|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
766  |HS 1345+4911                       |*  |13 47 10.3 +48 56 28                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
767  |HS 1349+4925                       |*  |13 51 09.3734558665 +49 11 01.048501643|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
768  |HD 92572                           |*  |10 42 10.5158839548 +49 34 31.932367087|     ~| 9.74 | 9.47 |     ~|     ~|Am             |  15|   0
769  |HD 233714                          |*  |10 11 31.3531359217 +49 25 11.915879325|     ~|10.24 | 8.87 |     ~|     ~|A              |   2|   0
770  |HD 132327                          |*  |14 57 17.0476741419 +40 25 09.840308002|     ~| 9.80 | 9.53 |     ~|     ~|A              |   1|   0
771  |HS 1435+4043                       |*  |14 37 22.2 +40 30 06                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
772  |BD+46 1913                         |V* |13 55 39.3257639505 +45 45 44.124157490|     ~| 9.96 | 9.76 |     ~|     ~|Am             |  17|   0
773  |HS 1346+4643                       |*  |13 48 22.0827982399 +46 29 00.788175066|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
774  |HS 1341+4701                       |*  |13 43 44.8 +46 46 01                   |     ~|     ~|     ~|     ~|     ~|A              |   1|   0
775  |HS 1304+4901                       |*  |13 06 49.2615617057 +48 45 04.054358681|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
776  |HS 1256+4722                       |*  |12 58 34.4074309736 +47 06 39.167729188|     ~|     ~|     ~|     ~|     ~|A              |   1|   0
777  |HD 101393                          |*  |11 40 23.6534334895 +48 14 12.172124454|     ~| 9.30 | 9.01 |     ~|     ~|Am             |  19|   0
778  |HD 94779                           |*  |10 57 17.2474764147 +46 55 09.599240566|     ~| 8.86 | 8.65 |     ~|     ~|Am             |  25|   0
779  |HD 82687                           |*  |09 34 50.8442608339 +43 47 28.509594671|     ~|10.69 |10.38 |     ~|     ~|A              |   1|   0
780  |HD 128197                          |*  |14 34 30.7333 +38 00 45.188            |     ~| 8.29 | 8.10 |     ~|     ~|Am             |  18|   0
781  |BD+47 1888                         |*  |11 36 23.2734817064 +46 39 12.148338917|     ~|11.14 |11.2  |     ~|     ~|Am             |   6|   0
782  |TYC 3451-297-1                     |*  |11 20 32.2024325100 +45 04 53.558539284|     ~|11.70 |11.33 |     ~|     ~|A              |   1|   0
783  |BD+45 1827                         |*  |10 23 42.1265215472 +45 02 19.012600281|     ~|10.33 |10.06 |     ~|     ~|Am             |   5|   0
784  |HD 19309                           |*  |03 07 21.3225605778 +31 47 36.802002768|     ~| 9.69 | 9.47 |     ~|     ~|A              |   1|   0
785  |HD 19429                           |*  |03 08 15.3991330710 +24 19 48.540382051|     ~| 9.54 | 9.37 |     ~|     ~|A              |   1|   0
786  |HD 19430                           |*  |03 08 05.7597885474 +16 55 31.634285227|     ~| 8.73 | 8.31 |     ~|     ~|A              |  10|   0
787  |HD 19146                           |*  |03 05 09.7184806785 +12 10 36.161767697|     ~| 9.61 | 9.26 |     ~|     ~|A              |   2|   0
788  |SDSS J030608.93-001338.9           |*  |03 06 08.9273091066 -00 13 38.921570906|     ~|17.2  |     ~|     ~|     ~|sdA            |   3|   0
789  |BPS CS 22963-0027                  |HB*|03 09 55.0699963609 -03 37 26.437921213|     ~|14.94 |14.48 |14.41 |     ~|A              |   2|   0
790  |BPS CS 22963-0030                  |*  |03 09 08.3924019233 -02 13 33.302377874|     ~|13.85 |13.53 |     ~|     ~|Am             |   4|   0
791  |BPS CS 22963-0020                  |RR*|03 07 55.9583151856 -05 38 36.681491082|     ~|     ~|15    |     ~|     ~|A              |   3|   0
792  |BPS CS 22181-0016                  |HB*|03 04 37.8728176071 -12 03 17.769785876|     ~|13.31 |12.26 |     ~|     ~|A              |   1|   0
793  |HD 278452                          |*  |03 18 12.8198341881 +36 08 12.575694092|     ~|12.31 |12.14 |     ~|     ~|A              |   1|   0
794  |HD 19809                           |*  |03 12 10.5785356991 +31 25 09.799605222|     ~| 9.45 | 9.31 |     ~|     ~|A              |   2|   0
795  |HD 19786                           |*  |03 11 44.3574780750 +23 59 13.453099579|     ~| 9.32 | 8.85 |     ~|     ~|A              |   4|   0
796  |HD 19824                           |*  |03 11 45.6732688755 +16 05 30.939009093|     ~|10.62 |10.34 |     ~|     ~|A              |   1|   0
797  |HD 19885                           |*  |03 11 58.8233064169 +05 26 02.302830055|     ~| 9.85 | 9.50 |     ~|     ~|A              |   1|   0
798  |2MASS J03145070-0405570            |*  |03 14 50.7003755350 -04 05 57.101688423|     ~|     ~|     ~|     ~|     ~|A              |   2|   0
799  |BPS CS 22181-0026                  |HB*|03 11 32.8874707306 -10 37 02.808766939|     ~|     ~|14.3  |     ~|     ~|A              |   1|   0
800  |BPS CS 22172-0014                  |HB*|03 21 22.6796207354 -11 15 31.351200476|15.02 |15.01 |14.66 |     ~|     ~|A              |   3|   0
801  |BPS CS 22185-0010                  |HB*|03 16 46.5705640061 -14 20 36.864606573|     ~|     ~|13.6  |     ~|     ~|A              |   2|   0
802  |HD 275512                          |*  |03 30 14.1000719682 +37 16 37.210212051|     ~|12.04 |11.42 |     ~|     ~|A              |   2|   0
803  |HD 275503                          |*  |03 31 19.3769461633 +37 24 18.150452127|     ~|12.22 |11.57 |     ~|     ~|A              |   4|   0
804  |HD 275504                          |*  |03 31 07.5809035132 +37 22 38.980440542|     ~|11.66 |11.18 |11.27 |     ~|A              |   4|   0
805  |HD 275505                          |*  |03 31 08.5453094632 +37 22 45.456551503|     ~|10.86 |10.38 |10.117|     ~|A              |   6|   0
806  |HD 278588                          |*  |03 25 03.7824245093 +35 03 10.445581440|     ~|11.73 |11.50 |     ~|     ~|A              |   2|   0
807  |HD 278659                          |*  |03 28 05.6934302951 +34 50 25.401277102|     ~|11.78 |11.08 |     ~|     ~|A              |   1|   0
808  |HD 278744                          |*  |03 30 34.6479923107 +34 37 28.740765258|     ~|12.33 |11.79 |     ~|     ~|A              |   2|   0
809  |HD 278681                          |*  |03 28 15.8364517111 +33 39 27.081232675|     ~|10.94 |10.47 |     ~|     ~|A              |   2|   0
810  |HD 278760                          |*  |03 32 18.3479611005 +33 34 47.394839170|     ~|11.65 |11.13 |     ~|     ~|A              |   1|   0
811  |HD 21945                           |** |03 33 14.3007 +28 16 31.099            |     ~| 9.98 | 9.66 |     ~|     ~|A              |   4|   0
