C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
45   |HD 214280                          |*  |22 36 18.9398267246 +46 02 43.060352519|     ~|10.95 |10.58 |     ~|     ~|A              |   7|   0
46   |HD 213732                          |*  |22 32 43.0483769261 +46 16 20.633053424|     ~|10.07 |10.08 |     ~|     ~|ApSi           |  11|   0
47   |HD 216066                          |*  |22 48 59.9651528564 +46 47 15.568406151|     ~|10.90 |10.61 |     ~|     ~|A              |   3|   0
48   |HD 216395                          |*  |22 51 50.9047678595 +47 22 17.568513684|     ~|10.76 |10.46 |     ~|     ~|A              |   2|   0
49   |HD 219951                          |*  |23 19 32.7209978850 +49 23 49.009230410|     ~|10.12 |10.06 |     ~|     ~|A              |   3|   0
50   |BD+46 3957                         |*  |23 10 21.2105365635 +47 17 01.734210338|     ~|10.93 |10.83 |     ~|     ~|ApSiSr         |   7|   0
51   |TYC 3644-137-1                     |*  |23 24 53.0294728185 +49 48 27.220764082|     ~|11.87 |11.56 |     ~|     ~|A              |   0|   0
52   |BD+48 4006                         |*  |23 21 02.1033144216 +49 29 12.739544407|     ~|11.41 |11.36 |     ~|     ~|A              |   0|   0
53   |HD 223014                          |*  |23 45 44.8057566860 +48 56 27.336668574|     ~| 9.72 | 9.36 |     ~|     ~|A              |   2|   0
54   |HD 223081                          |*  |23 46 21.0291071584 +49 27 01.117027342|     ~|10.20 |10.04 |     ~|     ~|A              |   1|   0
55   |HD 3098                            |*  |00 34 39.3252308524 +50 13 24.432772798|     ~| 8.87 | 8.85 |     ~|     ~|A              |   3|   0
56   |HD 3873                            |*  |00 41 40.7280958912 +47 26 35.459487533|     ~| 9.31 | 9.09 |     ~|     ~|A              |   2|   0
