C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
427 |ISOGAL-P J174506.7-291225          |AB*|17 45 06.46632 -29 12 25.2216          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
428 |ISOGAL-P J174513.9-294149          |AB*|17 45 13.81632 -29 41 49.8408          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
429 |ISOGAL-P J174526.9-284807          |AB*|17 45 26.83296 -28 48 07.5024          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
430 |ISOGAL-P J174532.3-283338          |AB*|17 45 32.2423126529 -28 33 42.845653345|     ~|     ~|     ~|     ~|     ~|O-rich           |   6|   0
431 |ISOGAL-P J174533.9-284039          |AB*|17 45 33.8663617662 -28 40 40.239715462|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
432 |ISOGAL-P J174538.3-283749          |AB*|17 45 38.2028638160 -28 37 53.152442163|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
433 |IRAS 17425-2914                    |AB*|17 45 39.96192 -29 16 02.8200          |     ~|     ~|     ~|     ~|     ~|O-rich           |   6|   0
434 |ISOGAL-P J174542.4-284245          |AB*|17 45 42.33216 -28 42 45.1908          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
435 |ISOGAL-P J174551.0-283521          |AB*|17 45 50.9533485014 -28 35 20.382292159|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
436 |ISOGAL-P J174607.8-281238          |AB*|17 46 07.68240 -28 12 39.5208          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
437 |ISOGAL-P J174635.1-283950          |AB*|17 46 35.06136 -28 39 50.2668          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
438 |ISOGAL-P J174642.8-283543          |AB*|17 46 42.72336 -28 35 43.5840          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
439 |MSX5C G000.4722+00.0055            |AB*|17 46 43.41192 -28 31 52.2444          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
440 |ISOGAL-P J174659.8-284114          |AB*|17 46 59.77656 -28 41 14.7876          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
441 |ISOGAL-P J174712.4-283837          |AB*|17 47 12.40056 -28 38 37.7664          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
442 |ISOGAL-P J174808.8-281835          |AB*|17 48 08.76144 -28 18 35.8884          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
443 |ISOGAL-P J174810.4-281200          |AB*|17 48 10.43616 -28 12 00.5580          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
444 |ISOGAL-P J174818.1-280738          |AB*|17 48 18.10584 -28 07 38.8524          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
445 |ISOGAL-P J174834.1-281052          |AB*|17 48 34.04328 -28 10 52.1220          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
446 |ISOGAL-P J174728.6-282556          |AB*|17 47 28.55256 -28 25 56.3376          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
447 |ISOGAL-P J174736.4-282328          |AB*|17 47 36.36120 -28 23 28.4532          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
448 |ISOGAL-P J173812.5-293938          |AB*|17 38 12.4833096737 -29 39 38.495808993|     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
449 |ISOGAL-P J174223.3-293935          |AB*|17 42 23.28336 -29 39 35.5680          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
450 |ISOGAL-P J174335.2-292447          |AB*|17 43 35.12352 -29 24 47.2176          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
451 |ISOGAL-P J174350.0-290121          |AB*|17 43 49.97280 -29 01 21.3528          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
452 |ISOGAL-P J174355.4-285649          |AB*|17 43 55.31784 -28 56 49.8552          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
453 |ISOGAL-P J174409.1-284403          |AB*|17 44 09.02976 -28 44 03.3576          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
454 |ISOGAL-P J174427.4-293805          |AB*|17 44 27.34536 -29 38 05.8560          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
455 |ISOGAL-P J174457.1-291524          |AB*|17 44 57.04968 -29 15 24.6924          |     ~|     ~|     ~|     ~|     ~|O-rich           |   6|   0
456 |ISOGAL-P J174525.8-283728          |AB*|17 45 25.75080 -28 37 28.2360          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
457 |[GMC2001] 12-352                   |Mi*|17 46 17.96160 -28 57 15.7464          |     ~|     ~|     ~|     ~|     ~|O-rich           |   9|   0
458 |ISOGAL-P J174642.4-281932          |AB*|17 46 42.34392 -28 19 32.3220          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
459 |ISOGAL-P J174325.3-294528          |AB*|17 43 25.25640 -29 45 28.5588          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
460 |[GMC2001] 23-1198                  |AB*|17 45 05.96352 -28 57 48.3300          |     ~|     ~|     ~|     ~|     ~|O-rich           |   8|   0
461 |ISOGAL-P J174619.2-283157          |AB*|17 46 19.13112 -28 31 57.3060          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
462 |OH 1.1 -0.8                        |OH*|17 51 26.777 -28 25 37.13              |     ~|     ~|     ~|     ~|     ~|O-rich           |  39|   1
463 |PN M 2-19                          |PN |17 53 45.59 -29 43 46.9                |     ~|     ~|16.976|     ~|15.973|O(H)6-8III-V     |  83|   0
464 |PN M 3-16                          |PN |17 52 46.05 -30 49 35.5                |     ~|     ~|17.007|     ~|16.122|O(H)4-6III-V     |  67|   0
465 |TLE Sgr I 53                       |Mi*|17 59 10.3039088363 -29 01 30.342609556|     ~|     ~|     ~|     ~|13.14 |O-rich           |  12|   0
466 |ISOGAL-P J174859.9-283458          |AB*|17 48 59.82504 -28 34 58.3140          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
467 |ISOGAL-P J174913.4-282308          |AB*|17 49 13.39056 -28 23 08.9880          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
468 |ISOGAL-P J174920.1-280657          |AB*|17 49 20.1193803252 -28 06 54.972793917|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
469 |IRAS 17517-2946                    |Mi*|17 54 58.9942647756 -29 47 01.376204227|     ~|     ~|21.444|     ~|14.67 |O-rich           |  11|   0
470 |BPS CS 22955-0024                  |HS*|20 23 50.2880306564 -25 08 29.033198811|14.29 |15.50 |15.5  |     ~|     ~|sdOHe            |   9|   0
471 |IRAS 17436-2737                    |AB*|17 46 47.7649792360 -27 38 13.906643024|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
472 |RAFGL 5386                         |OH*|17 47 27.48552 -25 20 14.2584          |     ~|     ~|     ~|     ~|     ~|O-rich           |  13|   0
473 |IRAS 17455-2658                    |AB*|17 48 38.05008 -26 59 51.6912          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
474 |ISOGAL-P J174637.5-273809          |AB*|17 46 37.4718766149 -27 38 09.761109101|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
475 |ISOGAL-P J174701.1-280501          |AB*|17 47 01.02888 -28 05 01.7880          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
476 |ISOGAL-P J174747.2-274821          |AB*|17 47 47.20608 -27 48 21.7908          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
477 |ISOGAL-P J174728.5-275058          |AB*|17 47 28.50000 -27 50 58.7040          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
478 |IRAS 17460-2732                    |AB*|17 49 08.36808 -27 33 29.3724          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
479 |IRAS 17462-2759                    |AB*|17 49 25.85376 -28 00 45.1548          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
480 |IRAS 17468-2711                    |AB*|17 49 57.0304264197 -27 11 56.337558975|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
481 |IRAS 17520-2658A                   |AB*|17 55 07.7856620607 -26 59 23.164048769|     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
482 |IRAS 17497-2607                    |AB*|17 52 49.03416 -26 07 38.6328          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
483 |IRAS 17501-2529                    |AB*|17 53 17.2925805889 -25 30 29.322422996|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
484 |IRAS 17503-2600                    |AB*|17 53 26.93232 -26 00 38.8836          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
485 |IRAS 17503-2617                    |AB*|17 53 29.89128 -26 17 51.5940          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
486 |MSX5C G003.8107+00.0124            |AB*|17 54 22.6282006145 -25 39 36.329692511|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
487 |IRAS 17512-2658                    |AB*|17 54 24.25032 -26 59 13.5492          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
488 |ISOGAL-P J174924.8-275626          |AB*|17 49 24.76848 -27 56 26.3220          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
489 |ISOGAL-P J174936.3-270938          |AB*|17 49 36.2590679138 -27 09 38.918684515|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
490 |ISOGAL-P J175024.8-280213          |AB*|17 50 24.7254180107 -28 02 13.855359620|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
491 |ISOGAL-P J175030.1-271556          |AB*|17 50 30.02328 -27 15 56.6964          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
492 |MSX5C G002.4878+00.1447            |AB*|17 50 52.2812973266 -26 43 52.965045997|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
493 |ISOGAL-P J175104.1-271851          |AB*|17 51 04.08840 -27 18 50.6772          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
494 |ISOGAL-P J175107.7-263520          |AB*|17 51 07.67256 -26 35 20.2164          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
495 |ISOGAL-P J175127.7-263515          |AB*|17 51 27.6267241024 -26 35 17.725888173|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
496 |ISOGAL-P J175129.9-273107          |AB*|17 51 29.93880 -27 31 07.3956          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
497 |ISOGAL-P J175134.4-272917          |AB*|17 51 34.35744 -27 29 16.9044          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
498 |MSX5C G002.0818-00.3138            |AB*|17 51 42.6712049540 -27 18 52.086948105|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
499 |ISOGAL-P J175145.9-263548          |AB*|17 51 45.87696 -26 35 48.1560          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
500 |MSX5C G003.5411-00.0873            |AB*|17 54 09.31008 -25 56 33.5112          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
501 |ISOGAL-P J175555.1-251922          |AB*|17 55 55.0789748187 -25 19 22.362764926|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
502 |IRAS 17529-2532                    |AB*|17 55 58.0240157385 -25 32 34.466125620|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
503 |IRAS 17458-2610                    |AB*|17 48 58.9728337929 -26 11 00.914232931|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
504 |ISOGAL-P J174924.1-271845          |AB*|17 49 24.02904 -27 18 45.1728          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
505 |ISOGAL-P J175140.1-272333          |AB*|17 51 40.03728 -27 23 33.4536          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
506 |IC 4673                            |PN |18 03 18.4582267290 -27 06 22.726256000|     ~|     ~|13.50 |     ~|     ~|O(H)8            | 109|   0
507 |IRAS 18059-2554                    |Mi*|18 09 05.3029369457 -25 53 27.410653138|     ~|     ~|     ~|     ~|15.94 |O-rich           |   6|   0
508 |PN A66 65                          |PN |19 46 34.2091755631 -23 08 12.970430769|     ~|15.93 |15.77 |16.00 |15.65 |Opk              | 125|   0
509 |CD-23 15853                        |HS*|19 55 38.2259646039 -23 13 42.230875825|     ~|11.39 |11.64 |     ~|     ~|sdO              |  21|   0
510 |EC 15088-1831                      |HS*|15 11 44.1428622917 -18 42 45.914838116|     ~|14.31 |14.53 |     ~|     ~|sdOHe            |   2|   0
511 |IRAS 17531-2430                    |AB*|17 56 12.5578624343 -24 30 32.728329568|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
512 |IRAS 17499-2451                    |AB*|17 53 00.11736 -24 52 23.6352          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
513 |IRAS 17500-2512                    |AB*|17 53 08.3686351951 -25 13 06.021001073|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
514 |IRAS 17502-2443                    |AB*|17 53 22.5618653675 -24 44 00.118493044|     ~|     ~|     ~|     ~|12.82 |O-rich           |   3|   0
515 |IRAS 17517-2454                    |AB*|17 54 48.21984 -24 55 13.3248          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
516 |IRAS 17524-2419                    |AB*|17 55 29.52984 -24 19 56.9748          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
517 |IRAS 17531-2406                    |AB*|17 56 15.1159844441 -24 06 23.624265083|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
518 |IRAS 17548-2356                    |AB*|17 57 51.0690994402 -23 56 33.537163496|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
519 |ISOGAL-P J175758.2-234225          |AB*|17 57 58.1548864220 -23 42 27.428992393|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
520 |IRAS 17563-2402                    |AB*|17 59 22.36272 -24 02 27.9528          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
521 |ISOGAL-P J175635.9-235215          |AB*|17 56 35.8455944592 -23 52 15.482517759|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
522 |ISOGAL-P J175354.0-250949          |AB*|17 53 53.9612030574 -25 09 49.083232155|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
523 |MSX5C G004.4492+00.2351            |AB*|17 54 57.27000 -24 59 46.4172          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
524 |ISOGAL-P J175840.0-240315          |AB*|17 58 39.9801991758 -24 03 15.741900547|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
525 |IRAS 17552-2352                    |AB*|17 58 18.1547351256 -23 53 05.041214576|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
526 |ISOGAL-P J175825.5-234641          |AB*|17 58 25.48992 -23 46 41.9664          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
527 |ISOGAL-P J175831.0-235354          |AB*|17 58 30.91296 -23 53 54.2868          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
528 |V* V1945 Sgr                       |Mi*|18 01 30.4931514435 -22 57 50.108147418|     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
529 |IRAS 17586-2329                    |AB*|18 01 44.27352 -23 29 53.4696          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
530 |IRAS 17590-2412                    |AB*|18 02 08.0458030886 -24 12 29.218500719|     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
531 |ISOGAL-P J180003.7-241221          |AB*|18 00 03.6799515706 -24 12 21.756899762|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
532 |MSX5C G006.7490+00.2080            |AB*|18 00 06.2374011838 -23 01 08.636700957|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
533 |MSX6C G005.9940-00.6288            |AB*|18 01 38.62248 -24 05 24.1296          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
534 |ISOGAL-P J180201.8-224053          |AB*|18 02 01.7332893868 -22 40 53.725404783|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
535 |IRAS 17583-2413                    |AB*|18 01 25.5455644074 -24 13 00.217092832|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
536 |PN H 2-48                          |PN |18 46 35.1189996080 -23 26 48.246734570|     ~|     ~|13    |     ~|     ~|OIII-V           |  81|   0
537 |PPA J1855-2328                     |PN |18 55 04.8749142896 -23 28 12.794002412|     ~|     ~|     ~|     ~|     ~|O(H)6III-V       |   6|   1
538 |EC 15348-1652                      |HS*|15 37 40.3309116430 -17 02 15.316740895|     ~|14.89 |15.14 |     ~|     ~|sdOHe            |   3|   0
539 |EC 15447-1656                      |HS*|15 47 34.3956591104 -17 05 41.057409791|     ~|15.65 |15.81 |     ~|     ~|sdO              |   3|   0
540 |PN PC 12                           |PN |16 43 53.7838465697 -18 57 11.948594827|     ~|     ~|     ~|     ~|     ~|O                |  79|   0
541 |IRAS 17599-2122                    |AB*|18 02 54.24384 -21 22 01.7796          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
542 |MSX5C G008.1119-00.4386            |AB*|18 05 27.1038655123 -22 09 09.177115008|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
543 |IRAS 18000-2127                    |AB*|18 03 04.55784 -21 26 53.3292          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
544 |IRAS 18000-2134                    |AB*|18 03 06.82872 -21 34 10.5852          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
545 |IRAS 18000-2136                    |AB*|18 03 05.93304 -21 36 14.7708          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
546 |IRAS 18004-2131                    |AB*|18 03 26.9274432343 -21 31 22.473424626|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
547 |IRAS 18043-2018                    |AB*|18 07 18.47400 -20 18 22.2912          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
548 |IRAS 18044-2026                    |AB*|18 07 23.40168 -20 25 53.2668          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
549 |ISOGAL-P J180733.0-203253          |AB*|18 07 33.0110200867 -20 32 53.686990771|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
550 |IRAS 18052-1958                    |AB*|18 08 13.4443107680 -19 57 59.733391874|     ~|     ~|     ~|     ~|     ~|O-rich           |   6|   0
551 |IRAS 18067-2006                    |AB*|18 09 41.13240 -20 05 36.1284          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
552 |IRAS 18040-2028                    |AB*|18 07 03.9040931882 -20 28 08.433829811|     ~|     ~|     ~|     ~|18.05 |O-rich           |   5|   0
553 |ISOGAL-P J180109.3-222646          |AB*|18 01 09.3218885713 -22 26 46.410680171|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
554 |ISOGAL-P J180122.3-222851          |AB*|18 01 22.2201359123 -22 28 51.434301235|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
555 |ISOGAL-P J180321.6-222058          |AB*|18 03 21.5506834508 -22 20 58.662794102|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
556 |MSX5C G008.3567-00.1378            |AB*|18 04 50.43504 -21 47 30.1416          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
557 |MSX5C G008.7382-00.0310            |AB*|18 05 14.62128 -21 24 25.1424          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
558 |MSX5C G008.6623-00.1160            |AB*|18 05 24.1941171486 -21 30 52.355030992|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
559 |ISOGAL-P J180658.0-205150          |AB*|18 06 57.95832 -20 51 49.9608          |     ~|     ~|     ~|     ~|     ~|O-rich           |  10|   0
560 |ISOGAL-P J180723.2-202949          |AB*|18 07 23.1268714167 -20 29 49.440521074|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
561 |IRAS 18046-2036                    |AB*|18 07 43.7793993658 -20 35 35.282984574|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
562 |ISOGAL-P J180801.1-204831          |AB*|18 08 01.0913904546 -20 48 31.376222099|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
563 |MSX5C G009.5697-00.3425            |AB*|18 08 08.8890159259 -20 49 57.020896442|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
564 |ISOGAL-P J180608.6-204418          |AB*|18 06 08.56848 -20 44 18.6576          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
565 |ISOGAL-P J180649.4-203436          |AB*|18 06 49.3400904126 -20 34 36.543465115|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
566 |PN SB 20                           |PN |18 49 24.3 -19 52 16                   |     ~|     ~|     ~|     ~|     ~|O(H)3-4          |  12|   1
567 |V* V818 Sco                        |LXB|16 19 55.0688745859 -15 38 25.019920749|11.60 |12.40 |11.1  |     ~|     ~|Oev              |1538|   0
568 |HD 160641                          |HS*|17 41 51.5794261316 -17 53 48.460430048| 9.15 |10.01 | 9.85 |10.08 | 9.59 |sdOC9.5II-IIIHe40| 119|   0
569 |IRAS 18056-1923                    |AB*|18 08 39.58704 -19 22 27.5268          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
570 |IRAS 18060-1857                    |AB*|18 08 59.4302717733 -18 56 42.017078203|     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
571 |IRAS 18069-1858                    |AB*|18 09 51.81144 -18 57 39.9024          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
572 |MSX5C G010.9855+00.1432            |AB*|18 09 15.8043628332 -19 21 31.319940639|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
573 |IRAS 18077-1902                    |AB*|18 10 41.35824 -19 02 05.0856          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
574 |IRAS 18099-1717                    |AB*|18 12 50.7953406252 -17 16 47.925107979|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
575 |IRAS 18104-1748                    |AB*|18 13 23.91504 -17 47 55.2444          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
576 |MSX5C G013.0515+00.1259            |AB*|18 13 31.48152 -17 33 21.0276          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
577 |MSX5C G013.1663+00.4608            |AB*|18 12 31.2561064644 -17 17 41.551642976|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
578 |MSX5C G013.3314+00.2308            |AB*|18 13 41.93376 -17 15 35.5356          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
579 |MSX5C G013.2667+00.1452            |AB*|18 13 53.0023043105 -17 21 28.426215426|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
580 |IRAS 18122-1659                    |AB*|18 15 02.9598766007 -16 58 59.018507574|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
581 |MSX5C G013.3848-00.1085            |AB*|18 15 03.3286964520 -17 22 29.702259770|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
582 |MSX5C G013.8077-00.3291            |AB*|18 16 42.67248 -17 06 30.2616          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
583 |PN A66 51                          |PN |19 01 01.3922011494 -18 12 15.320954210|     ~|15.30 |15.42 |     ~|     ~|O(H)3-5Vz        |  63|   0
584 |PG 1511-110                        |HS*|15 14 16.9965600829 -11 14 12.484653526|     ~|14.80 |14.97 |15.23 |     ~|sdOHe            |   9|   0
585 |PN A66 41                          |PN |17 29 02.0257670575 -15 13 04.484004384|     ~|16.06 |15.95 |     ~|     ~|sdO              | 132|   1
586 |IRAS 18109-1650                    |AB*|18 13 50.8566297334 -16 49 59.061257295|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
587 |IRAS 18110-1639                    |AB*|18 13 56.9462831548 -16 38 48.417456699|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
588 |IRAS 18118-1628                    |AB*|18 14 42.9390936605 -16 27 32.108376056|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
589 |IRAS 18120-1618                    |AB*|18 14 52.24920 -16 17 51.5364          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
590 |IRAS 18126-1634                    |AB*|18 15 33.9594474911 -16 33 31.703442676|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
591 |IRAS 18129-1620                    |AB*|18 15 48.7080150436 -16 19 30.282243109|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
592 |IRAS 18143-1549                    |AB*|18 17 13.84704 -15 48 45.5796          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
593 |IRAS 18145-1604                    |AB*|18 17 25.37712 -16 03 48.0888          |     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
594 |IRAS 18152-1530                    |AB*|18 18 07.54824 -15 29 05.5032          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
595 |IRAS 18162-1422                    |AB*|18 19 05.4860199376 -14 21 34.100192219|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
596 |IRAS 18167-1530                    |AB*|18 19 35.47272 -15 29 23.3268          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
597 |IRAS 18167-1450                    |AB*|18 19 37.7664744861 -14 48 54.458307811|     ~|     ~|     ~|     ~|16.32 |O-rich           |   3|   0
598 |MSX5C G015.9788-00.1579            |AB*|18 20 21.83016 -15 06 54.1188          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
599 |IRAS 18182-1447                    |AB*|18 21 05.88816 -14 46 04.0044          |     ~|     ~|     ~|     ~|     ~|O-rich           |   5|   0
600 |IRAS 18187-1430                    |AB*|18 21 35.7502986420 -14 29 09.795674238|     ~|     ~|     ~|     ~|     ~|O-rich           |   4|   0
601 |MSX5C G014.2676+00.4035            |AB*|18 14 55.98216 -16 21 20.3256          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
602 |MSX5C G014.7523-00.4316            |AB*|18 18 57.49800 -16 19 31.7964          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
603 |MSX5C G015.4017-00.4822            |AB*|18 20 25.2103036140 -15 46 36.824758439|     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
604 |MSX5C G015.9989-00.2525            |AB*|18 20 44.88120 -15 08 29.1624          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
605 |MSX5C G016.6608-00.3603            |AB*|18 22 25.91280 -14 36 30.4992          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
606 |IRAS 18202-1427                    |AB*|18 23 07.7380658984 -14 25 51.009099070|     ~|     ~|     ~|     ~|11.45 |O-rich           |   3|   0
607 |IRAS 18208-1412                    |AB*|18 23 42.01560 -14 11 19.5540          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
608 |IRAS 18199-1434                    |AB*|18 22 45.75024 -14 33 15.5196          |     ~|     ~|     ~|     ~|     ~|O-rich           |   3|   0
609 |NAME NGC 6822 OB11-38              |*  |19 44 57.58 -14 43 44.9                |     ~|     ~|     ~|     ~|     ~|O                |   2|   0
