C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:22:53

sptypes = 'B'
-------------

Number of objects : 8496

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type     |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|--------------------|----|----
42  |LS III +41 44                      |*  |21 00 05.5209507506 +42 01 35.600208435|     ~|12.6  |     ~|     ~|     ~|B                   |   4|   0
43  |LS III +42 20                      |*  |20 55 44.1110739342 +42 48 18.128349563|     ~|12.24 |11.24 |     ~|     ~|B                   |   6|   0
44  |KPD 2109+4401                      |HS*|21 11 47.6446188582 +44 13 50.621291301|12.14 |13.11 |13.30 |13.64 |     ~|sdB                 |  63|   0
45  |LS III +45 71                      |Em*|21 23 41.1498570942 +45 20 15.607237311|     ~|10.98 |10.77 |     ~|     ~|B                   |   7|   0
46  |BD+45 3525                         |*  |21 24 13.2010030566 +46 03 55.213911350|     ~|10.96 |10.26 |     ~|     ~|B                   |   4|   0
47  |LS III +44 42                      |Em*|21 13 15.1441986669 +44 54 31.140443915|     ~|11.3  |11.1  |     ~|     ~|B                   |  12|   0
48  |LS III +46 63                      |Em*|21 31 31.7572987767 +46 36 53.815402498|     ~|11.30 |11.22 |     ~|     ~|B                   |   6|   0
49  |LS III +46 64                      |*  |21 35 53.0734376978 +46 46 52.798916238|     ~|11.68 |11.34 |     ~|     ~|B                   |   4|   0
50  |HD 204860                          |Be*|21 30 00.8934387116 +45 29 39.059590353|     ~| 6.905| 6.951|     ~|     ~|Be                  |  28|   0
51  |LS III +48 43                      |*  |21 45 10.1192812690 +48 16 39.235436207|     ~|11.20 |10.98 |     ~|     ~|B                   |   4|   0
52  |EM* GGR 37                         |Em*|21 44 59.4529376534 +47 57 58.897899042|     ~|11.92 |11.47 |     ~|     ~|B                   |   8|   0
53  |LS III +47 53                      |*  |21 46 05.7495305989 +47 48 18.860869399|     ~|12.05 |11.44 |     ~|     ~|B                   |   4|   0
54  |EM* AS 485                         |Em*|22 07 51.1024556192 +49 02 19.652301947|     ~|11.38 |11.21 |     ~|     ~|B                   |   8|   0
55  |LS III +49 44                      |*  |22 22 11.7179403607 +50 11 49.628148716|     ~|12.58 |11.76 |     ~|     ~|B                   |   5|   0
56  |KPD 2230+4937                      |HS*|22 32 26.4962988572 +49 53 22.183236977|14.73 |15.56 |15.78 |16.10 |     ~|sdB                 |   3|   0
57  |GSC 03615-00418                    |*  |22 28 26.1044636991 +50 20 46.695816439|     ~|     ~|12.8  |     ~|     ~|B                   |   1|   0
58  |GSC 03628-01588                    |*  |22 33 24.7909148126 +50 32 00.152447911|     ~|     ~|13    |     ~|     ~|B                   |   1|   0
59  |GSC 03632-02708                    |*  |22 30 53.90 +50 50 43.3                |     ~|     ~|13.0  |     ~|     ~|B                   |   1|   0
60  |[R57] 1235                         |*  |22 31 58.6989068181 +49 49 00.402018105|     ~|     ~|13.3  |     ~|     ~|B                   |   1|   0
61  |GSC 03629-02434                    |*  |22 42 00.9182111540 +49 04 09.465501954|     ~|     ~|13.0  |     ~|     ~|B                   |   2|   0
62  |KPD 2237+4924                      |HS*|22 39 36.0241391930 +49 40 36.246718204|14.09 |15.05 |14.92 |15.73 |     ~|sdB                 |   5|   0
63  |GSC 03633-01257                    |*  |22 42 03.2266481438 +50 48 36.831199746|     ~|     ~|12.2  |     ~|     ~|B                   |   1|   0
64  |GSC 03632-01555                    |*  |22 35 40.0928949792 +50 50 28.871290504|     ~|     ~|12.8  |     ~|     ~|B                   |   1|   0
65  |GSC 03629-02277                    |*  |22 44 06.5792573275 +49 58 32.486901451|     ~|     ~|12.8  |     ~|     ~|B                   |   1|   0
66  |GSC 03629-00845                    |*  |22 43 48.2912231382 +50 07 48.227622448|     ~|     ~|12.9  |     ~|     ~|B                   |   1|   0
67  |GSC 03628-01958                    |*  |22 38 19.4069307837 +50 19 34.487871943|     ~|13.41 |13.04 |12.99 |     ~|B                   |   1|   0
68  |GSC 03628-00816                    |*  |22 36 56.5435424723 +50 30 41.610326134|     ~|     ~|13.3  |     ~|     ~|B                   |   1|   0
69  |GSC 03632-02171                    |*  |22 38 19.1798809049 +50 41 11.022747681|     ~|13.50 |13.19 |13.19 |     ~|B                   |   1|   0
70  |[R57] 2727                         |*  |22 42 00.2849234592 +50 38 05.711234167|     ~|     ~|13.4  |     ~|     ~|B                   |   1|   0
71  |GSC 03628-01286                    |*  |22 36 39.2437536479 +50 25 52.342527974|     ~|     ~|13.2  |     ~|     ~|B                   |   1|   0
72  |[R57] 1795                         |*  |22 35 44.7968694298 +50 13 46.624816466|     ~|     ~|13    |     ~|     ~|B                   |   1|   0
73  |KPD 2253+4922                      |HS*|22 55 45.8611562731 +49 38 16.770579176|14.71 |15.50 |15.56 |15.79 |     ~|sdB                 |   4|   0
74  |KPD 2257+4928                      |HS*|22 59 59.4678001464 +49 45 09.458450484|14.26 |14.98 |15.02 |15.22 |     ~|sdB                 |   5|   0
75  |LS III +51 42                      |Em*|22 51 38.9174508918 +51 50 42.438987221|     ~|12.01 |11.78 |     ~|     ~|B                   |  73|   1
76  |KPD 2319+5014                      |HS*|23 21 18.8296566074 +50 31 37.365321561|13.75 |14.53 |14.65 |14.79 |     ~|sdB                 |   7|   0
77  |LS III +52 44                      |*  |23 38 03.4563507085 +52 24 47.061559327|     ~|11.62 |11.31 |     ~|     ~|B                   |   5|   0
78  |LS III +52 45                      |Em*|23 45 12.6275327172 +52 40 26.176051166|     ~|11.01 |10.83 |     ~|     ~|B                   |   7|   0
79  |KPD 0114+5402                      |HS*|01 17 13.8954243884 +50 58 58.281894106|15.33 |16.37 |16.51 |16.8  |     ~|sdB                 |   4|   0
80  |FBS 0229+439                       |HS*|02 32 51.9114755119 +44 11 27.294573468|     ~|13.81 |13.95 |     ~|     ~|sdB                 |  12|   0
81  |FBS 0232+435                       |HS*|02 36 14.0912911425 +43 44 25.016535281|     ~|14.09 |13.8  |     ~|     ~|sdBO                |   5|   0
82  |FBS 0245+443                       |HS*|02 48 19.8714536415 +44 33 09.727855224|     ~|13.97 |14.06 |     ~|     ~|sdB                 |   7|   0
83  |FBS 0303+415                       |HS*|03 06 48.4882151437 +41 43 55.244598168|     ~|14.19 |14.64 |     ~|     ~|sdB                 |   6|   0
84  |FBS 0311+395                       |HS*|03 14 15.8565163247 +39 46 54.006811704|     ~|     ~|     ~|     ~|     ~|sdB                 |   7|   0
85  |ALS 11307                          |*  |20 24 16.7 +40 25 47                   |     ~|10.4  |     ~|     ~|     ~|B                   |   3|   0
86  |EM* MWC 349                        |** |20 32 45.499080 +40 39 36.74124        |     ~|15.88 |13.15 |12.13 |     ~|Bep                 | 712|   0
87  |EM* AS 404                         |Em*|20 19 55.6087475006 +39 47 02.989182722|     ~|11.39 |10.78 |     ~|     ~|B                   |   8|   0
88  |LS II +39 31                       |*  |20 20 30.4077148502 +40 01 37.843176824|     ~|10.87 |10.58 |     ~|     ~|B                   |   5|   0
89  |EM* MWC 342                        |Em*|20 23 03.6174326238 +39 29 49.919006537|11.62 |11.5  |10.6  |     ~|     ~|B[e]                |  74|   1
90  |LS II +39 42                       |*  |20 23 05.9340840103 +40 05 47.268651402|     ~|11.83 |11.33 |     ~|     ~|B                   |   4|   0
91  |NGC 6910 59                        |*  |20 22 09.4692220580 +40 50 24.243627087|     ~|14.09 |13.33 |     ~|     ~|B                   |   1|   0
92  |BD+39 4131                         |*  |20 18 51.1820035566 +39 27 56.121249362|     ~|10.69 |10.24 |     ~|     ~|B                   |   7|   0
93  |LS II +39 26                       |*  |20 19 31.9896368260 +39 22 21.795182659|     ~|10.56 |10.18 |     ~|     ~|B                   |   6|   0
94  |BD+38 4055                         |*  |20 23 22.3046393389 +39 01 56.921411675|     ~|11.06 |10.45 |     ~|     ~|B                   |   7|   0
95  |LS II +38 76                       |*  |20 23 47.4643830180 +39 06 12.728613644|     ~|11.61 |11.01 |     ~|     ~|B                   |   5|   0
96  |LS II +38 83                       |*  |20 24 11.2213322503 +39 05 51.487918163|     ~|11.19 |10.55 |     ~|     ~|B                   |   5|   0
97  |LS II +38 84                       |*  |20 24 11.9828652571 +39 05 20.949719637|     ~|11.94 |11.17 |     ~|     ~|B                   |   5|   0
98  |EM* MWC 1021                       |Em*|20 29 26.9208621130 +41 40 43.898091091|     ~|11    |11    |     ~|     ~|Bpe                 |  19|   0
99  |[D75b] Em* 20+118                  |Em*|20 33 27.1250799504 +41 35 58.450967642|17.21 |16.9  |14.61 |     ~|     ~|Be                  |  10|   0
100 |BD+41 3759                         |*  |20 27 44.0748970565 +41 32 58.996257546|     ~|10.04 | 9.83 |     ~|     ~|B                   |   7|   0
101 |ALS 15161                          |*  |20 33 10.34 +41 13 06.4                |16.63 |16    |14.05 |     ~|     ~|BOV                 |  12|   0
102 |LS III +43 11                      |Em*|20 46 13.8274247187 +43 44 58.536580441|     ~|11.93 |11.38 |     ~|     ~|B                   |   4|   0
103 |LS III +43 12                      |*  |20 46 35.9208560003 +43 34 42.498158954|     ~|13.16 |13.00 |     ~|     ~|B                   |   4|   0
104 |BD+43 3714                         |*  |20 46 46.3434981250 +43 47 34.489086958|     ~|11.30 |10.44 |     ~|     ~|B                   |   4|   0
105 |LS III +43 14                      |*  |20 50 18.9398834363 +43 21 11.134913423|     ~|12.83 |12.01 |     ~|     ~|B                   |   4|   0
106 |EM* LkHA 133                       |TT*|20 46 49.2839709444 +43 25 40.499620892|     ~|14.82 |13.86 |13.61 |     ~|Be                  |   8|   0
107 |EM* LkHA 131                       |Ae*|20 46 36.8401173053 +43 44 35.292177367|     ~|14.5  |     ~|     ~|     ~|Be                  |  13|   0
108 |EM* MWC 1029                       |Em*|20 45 54.2398142080 +42 33 55.905515191|     ~|12.05 |11.03 |     ~|     ~|B                   |   8|   0
109 |LS III +46 34                      |*  |20 57 41.9558122498 +46 15 27.115836056|     ~|11.62 |11.10 |     ~|     ~|B                   |   4|   0
110 |LS III +45 28                      |*  |20 51 11.9192607532 +45 18 04.921443868|     ~|11.61 |10.76 |     ~|     ~|B                   |   5|   0
111 |LS III +45 36                      |*  |20 54 28.2707197048 +45 47 33.763638412|     ~|11.84 |11.55 |     ~|     ~|B                   |   4|   0
112 |LS III +45 37                      |Em*|20 56 21.9343157183 +45 37 18.575538567|     ~|11.60 |11.24 |     ~|     ~|B                   |   8|   0
113 |BD+45 3348                         |*  |20 57 57.7329933305 +45 44 45.699038843|     ~|10.39 |10.28 |     ~|     ~|B                   |   4|   0
114 |LS III +45 39                      |Em*|20 58 14.4095010845 +46 01 11.070152624|     ~|11.2  |11.1  |     ~|     ~|B                   |   7|   0
115 |EM* UHA 97                         |Em*|20 59 18.5297339397 +45 29 49.933162066|     ~|11.31 |11.10 |     ~|     ~|B                   |   9|   0
116 |LS III +44 23                      |*  |20 51 45.7110957056 +45 02 28.064162439|     ~|12.75 |12.45 |     ~|     ~|B                   |   4|   0
117 |EM* LkHA 374                       |Em*|20 54 58.7157758722 +44 54 55.358846092|     ~|12.9  |11.4  |     ~|     ~|B                   |  11|   0
118 |LS III +44 27                      |*  |20 55 35.5937212943 +45 09 01.087526568|     ~|12.32 |11.52 |     ~|     ~|B                   |   4|   0
119 |LS III +44 29                      |*  |20 56 42.7678782200 +44 52 58.329647627|     ~|12.07 |11.17 |10.89 |     ~|B                   |   4|   0
120 |LS III +44 32                      |*  |20 58 49.9065994339 +44 57 27.261772419|     ~|11.43 |11.11 |     ~|     ~|B                   |   6|   0
121 |LS III +44 34                      |*  |21 00 06.6808777285 +44 45 35.109977096|     ~|11.75 |10.94 |     ~|     ~|B                   |   4|   0
122 |EM* LkHA 192                       |Ae*|20 59 17.2222578440 +44 17 46.402141349|     ~|15.617|14.216|     ~|12.176|Be                  |  19|   0
123 |EM* LkHA 193                       |Ae*|20 59 31.5685384769 +44 35 44.428724919|     ~|14.5  |     ~|     ~|     ~|Be                  |  11|   0
124 |EM* LkHA 194                       |Ae*|21 01 40.5899777051 +44 19 44.289892481|     ~|14.0  |11.37 |     ~|     ~|Be                  |  14|   0
125 |EM* UHA 93                         |Em*|20 58 46.3547253040 +45 54 27.925069156|     ~|14.5  |14.0  |     ~|     ~|B                   |   3|   0
126 |EM* UHA 109                        |Em*|21 00 57.2074078577 +45 24 12.648819047|     ~|11.70 |11.62 |     ~|     ~|B                   |   4|   0
127 |LS III +45 47                      |*  |21 04 15.2098333700 +45 51 23.202081385|     ~|11.29 |11.21 |     ~|     ~|B                   |   4|   0
128 |BD+45 3396                         |*  |21 05 15.2101242875 +45 51 13.102710079|     ~|12.25 |12.26 |     ~|     ~|B                   |   4|   0
129 |EM* UHA 138                        |Em*|21 08 23.3432565789 +45 16 24.965762619|     ~|11.6  |11.2  |     ~|     ~|B                   |  11|   0
130 |LS III +44 35                      |*  |21 02 21.9297137311 +44 25 14.945918951|     ~|12.46 |11.95 |     ~|     ~|B                   |   4|   0
131 |LS III +45 31                      |*  |20 52 00.7009948418 +45 33 52.274253334|     ~|10.0  |     ~|     ~|     ~|B                   |   4|   0
132 |EM* UHA 132                        |Em*|21 03 46.4693495931 +45 21 01.358638118|     ~|12.23 |11.84 |     ~|     ~|Be                  |   9|   0
133 |LS III +46 45                      |Em*|21 08 22.3549569171 +47 08 03.844538192|11.18 |11.57 |10.81 |     ~|     ~|B                   |   7|   0
134 |LS III +46 46                      |*  |21 09 44.7578348753 +46 42 07.668404361|     ~|12.02 |11.29 |     ~|     ~|B                   |   4|   0
135 |LS III +46 47                      |*  |21 10 14.0327723489 +46 45 07.314826454|     ~|12.4  |     ~|     ~|     ~|B                   |   4|   0
136 |LS III +46 48                      |*  |21 10 15.0604335552 +46 45 15.415064571|     ~|12.6  |     ~|     ~|     ~|B                   |   4|   0
137 |LS III +46 49                      |*  |21 11 29.1870281063 +46 48 40.170747938|     ~|12.36 |12.58 |     ~|     ~|B                   |   4|   0
138 |LS III +46 51                      |*  |21 12 02.1997294247 +46 59 06.750613668|     ~|12.70 |12.20 |12.05 |     ~|B                   |   4|   0
139 |BD+46 3253                         |*  |21 16 51.2305076695 +46 47 39.308934230|     ~|10.58 |10.12 |     ~|     ~|B                   |   5|   0
140 |LS III +45 57                      |*  |21 11 23.3626157993 +45 57 54.205581929|     ~|11.61 |10.95 |     ~|     ~|B                   |   4|   0
141 |LS III +45 63                      |*  |21 12 52.3950845100 +45 26 09.076601641|     ~|11.10 |10.74 |     ~|     ~|B                   |   4|   0
142 |PN M 1-77                          |PN |21 19 07.3686151098 +46 18 47.158816900|     ~|12.34 |11.91 |12.05 |     ~|B                   |  68|   0
143 |LS III +46 39                      |*  |21 02 06.9526705275 +46 28 27.106071744|     ~|11.43 |10.73 |     ~|     ~|B                   |   5|   0
144 |LS III +45 49                      |*  |21 06 30.3729742294 +45 57 16.989904003|     ~|11.73 |11.70 |     ~|     ~|B                   |   4|   0
145 |EM* UHA 139                        |Em*|21 08 59.7655921286 +45 39 40.239931588|     ~|15.5  |15.0  |     ~|     ~|B                   |   3|   0
146 |LS III +45 58                      |*  |21 11 39.4803840324 +45 30 12.985953997|     ~|10.84 |10.76 |     ~|     ~|B                   |   7|   0
147 |LS III +47 36                      |*  |21 24 10.9915785248 +47 59 28.351070566|     ~|11.71 |10.89 |     ~|     ~|B                   |   6|   0
148 |LS III +47 37                      |** |21 24 12.51 +48 00 39.9                |     ~|13.2  |     ~|     ~|     ~|B                   |   5|   0
149 |LS III +47 38                      |*  |21 24 14.3431075231 +48 00 34.353446762|     ~|13.23 |12.53 |12.40 |     ~|B                   |   6|   0
150 |LS III +47 40                      |*  |21 24 56.6405631684 +48 12 28.656387490|     ~|13.0  |     ~|     ~|     ~|B                   |   4|   0
151 |BD+46 3348                         |*  |21 31 06.3895118561 +47 21 59.756336299|10.34 |10.24 | 9.91 |     ~|     ~|B                   |   5|   0
152 |EM* GGR 21                         |Em*|21 26 01.0043231776 +47 49 57.061710114|     ~|12.22 |12.44 |     ~|     ~|B                   |   7|   0
153 |LS III +47 50                      |*  |21 43 29.9622394103 +48 11 31.711256621|     ~|12.8  |     ~|     ~|     ~|B                   |   4|   0
154 |EM* VES 907                        |Em*|21 32 25.7191927659 +49 51 41.527723811|     ~|12.3  |12.3  |     ~|     ~|B                   |   7|   0
155 |LS III +48 44                      |PM*|21 47 09.2921766848 +49 06 21.018487082|     ~|13.66 |13.04 |12.91 |     ~|B                   |   4|   0
156 |LS III +48 34                      |*  |21 27 50.5069136023 +49 09 08.779866875|     ~|12.82 |12.95 |     ~|     ~|B                   |   4|   0
157 |BD+47 3487                         |Be*|21 35 51.6556484522 +47 54 42.733168784| 9.56 | 9.71 | 9.16 |     ~|     ~|Bpe                 |  33|   0
158 |EM* GGR 22                         |Em*|21 25 49.7203233507 +49 26 20.803361393|     ~|11.85 |11.23 |     ~|     ~|B                   |   3|   0
159 |BD+49 3612                         |*  |21 45 31.6460080891 +50 31 07.429261382|     ~|10.54 |10.04 |     ~|     ~|B                   |   4|   0
160 |LS III +49 36                      |*  |22 00 10.5619810344 +50 04 04.850884816|     ~|11.74 |11.62 |     ~|     ~|B                   |   4|   0
161 |EM* MWC 1051                       |Em*|21 54 21.1477339426 +51 27 53.566540623|     ~|13    |13    |     ~|     ~|Be                  |   4|   0
162 |BD+50 3495                         |Be*|21 56 31.2695819056 +50 41 24.927527201|     ~|10.61 |10.49 |     ~|     ~|Be                  |   4|   0
163 |LS III +52 22                      |*  |22 01 24.8639111438 +52 19 57.035971452|     ~|12.94 |12.53 |     ~|     ~|B                   |   4|   0
164 |LS III +50 37                      |*  |22 07 30.1586756925 +50 49 25.367141983|     ~|12.6  |     ~|     ~|     ~|B                   |   4|   0
165 |LS III +51 31                      |*  |21 57 30.6697928667 +51 18 39.975143100|     ~|12.32 |11.97 |     ~|     ~|B                   |   4|   0
166 |BD+49 3718                         |HXB|22 01 38.2020869992 +50 10 04.633112055| 8.95 | 9.47 | 9.31 |     ~|     ~|Be                  |  36|   0
167 |LS III +49 38                      |*  |22 01 52.9526310490 +50 13 47.578677147|     ~|10.44 |10.32 |     ~|     ~|B                   |   5|   0
168 |LS III +53 74                      |*  |22 21 51.7774276140 +53 29 22.390968220|     ~|11.93 |11.94 |     ~|     ~|B                   |   6|   0
169 |LS III +52 33                      |*  |22 16 02.6966351013 +52 28 54.996854482|     ~|12.00 |12.04 |     ~|     ~|B                   |   6|   0
170 |LS III +51 37                      |*  |22 23 00.4633480599 +52 10 13.802657583|     ~|11.40 |11.42 |     ~|     ~|B                   |   6|   0
171 |KPD 2220+5126                      |HS*|22 22 59.1508130020 +51 41 22.478785700|13.97 |14.97 |15.14 |15.51 |     ~|sdB                 |   4|   0
172 |BD+51 3284                         |*  |22 12 07.7856108190 +52 08 42.402234199|     ~|10.80 |10.90 |     ~|     ~|B                   |   4|   0
173 |KPD 2215+5037                      |HS*|22 17 20.7352508834 +50 52 58.928654168|12.66 |13.59 |13.64 |14.00 |     ~|sdB                 |  15|   0
174 |BD+52 3224                         |*  |22 29 37.9463548573 +53 29 35.820340482|     ~|10.44 |10.42 |     ~|     ~|B                   |   7|   0
175 |LS III +52 35                      |*  |22 38 41.0405446276 +52 48 50.894418070|     ~|11.41 |11.28 |     ~|     ~|B                   |   5|   0
176 |LS III +51 40                      |*  |22 32 10.5348408216 +52 14 21.159484407|     ~|11.83 |11.93 |     ~|     ~|B                   |   5|   0
177 |LS III +54 73                      |*  |22 44 42.9996466885 +54 16 06.453316440|     ~|11.68 |11.28 |     ~|     ~|B                   |   5|   0
178 |LS III +53 82                      |*  |22 47 59.0196154956 +54 12 47.849821070|     ~|10.79 |10.90 |     ~|     ~|B                   |   5|   0
179 |HD 215837                          |Be*|22 46 59.8730522996 +53 45 24.160972437|     ~| 8.29 | 8.27 |     ~|     ~|Be                  |  14|   0
180 |LS III +52 37                      |*  |22 46 31.6428705487 +52 22 15.563837441|     ~|10.59 |10.71 |     ~|     ~|B                   |   6|   0
181 |LS III +54 81                      |Em*|23 11 50.1003281587 +54 34 55.520654601|     ~|11.68 |12.03 |     ~|     ~|B                   |   7|   0
182 |LS III +53 86                      |*  |23 11 49.1158652255 +53 24 25.856148772|     ~|12.1  |     ~|11.65 |     ~|B                   |   4|   0
183 |KPD 2254+5444                      |HS*|22 57 02.6546211033 +55 00 13.432177432|13.49 |14.46 |14.37 |14.54 |     ~|sdB                 |   9|   0
184 |BD+54 2931                         |*  |23 12 26.7921811022 +55 11 54.141872969| 9.74 |10.16 | 9.85 |     ~|     ~|B                   |   6|   0
185 |LS III +53 87                      |Em*|23 14 53.9158550084 +53 52 18.214882046|     ~|10.86 |10.71 |     ~|     ~|B                   |   6|   0
186 |HD 222185                          |Be*|23 38 03.4193059436 +55 56 42.020761653|     ~| 8.94 | 8.82 |     ~|     ~|Be:                 |   7|   0
187 |LS III +55 116                     |*  |23 41 44.3911201845 +55 28 43.552359130|     ~|11.31 |11.01 |     ~|     ~|B                   |   4|   0
188 |LS III +54 86                      |*  |23 46 55.0176259695 +55 07 24.566482022|     ~|10.98 |10.87 |     ~|     ~|B                   |   4|   0
189 |HD 223036                          |Be*|23 45 55.0595470522 +54 44 07.439038284| 7.79 | 8.51 | 8.50 |     ~|     ~|B                   |  20|   0
190 |BD+54 3                            |*  |00 08 48.0581319056 +55 39 59.464615405| 9.93 |10.51 |10.39 |     ~|     ~|B                   |   5|   0
