C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:22:53

sptypes = 'B'
-------------

Number of objects : 8496

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type     |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|--------------------|----|----
1078|EM* GGA 281                        |Em*|04 07 59.1679836386 +53 39 19.269494175|     ~|11.43 |11.06 |     ~|     ~|B_                  |   8|   0
1079|BD+54 737                          |*  |04 06 14.0747881391 +54 27 54.802900738|12.466|10.95 |10.56 |     ~|     ~|B                   |   7|   0
1080|EM* MWC 470                        |Em*|04 18 05.7771520362 +53 37 07.245349946|     ~|     ~|11.5  |     ~|     ~|Be                  |   5|   0
1081|EM* GGA 276                        |Em*|04 01 28.5263898435 +55 05 24.354679514|     ~|     ~|11.0  |     ~|     ~|Bp                  |   4|   0
1082|LS V +52 18                        |*  |04 11 52.8960309124 +52 24 02.225059172|     ~|11.37 |11.04 |     ~|     ~|B                   |   5|   0
1083|LS V +51 15                        |*  |04 12 02.3756115598 +51 47 26.634302222|     ~|11.29 |10.97 |     ~|     ~|B                   |   7|   0
1084|LS V +51 18                        |*  |04 20 46.0297439039 +51 53 35.177949322|     ~|11.33 |10.90 |     ~|     ~|B                   |   5|   0
1085|BD+52 804                          |*  |04 18 12.8739196480 +52 24 08.972967878|     ~|10.13 |10.01 |     ~|     ~|B                   |   2|   0
1086|BD+50 960                          |*  |04 16 32.8542407035 +51 05 09.420846440|     ~|10.53 |10.30 |     ~|     ~|B                   |   3|   0
1087|BD+52 816                          |*  |04 23 53.2755084569 +52 51 56.330682302|     ~|10.17 | 9.94 |     ~|     ~|B                   |   1|   0
1088|EM* GGA 284                        |Em*|04 13 36.9070976711 +52 44 34.577489049|     ~|     ~|12.5  |     ~|     ~|Bp                  |   3|   0
1089|LS V +49 14                        |*  |04 25 13.0542572000 +49 43 51.966746448|     ~|12.70 |12.29 |     ~|     ~|B                   |   5|   0
1090|LS V +48 19                        |*  |04 31 46.0541541257 +48 36 12.872310585|     ~|12.29 |11.73 |     ~|     ~|B                   |   5|   0
1091|EM* GGA 287                        |Em*|04 20 44.7356125031 +50 33 34.995496350|     ~|11.30 |11.05 |     ~|     ~|B_                  |   4|   0
1092|EM* GGA 285                        |Em*|04 17 54.0187303500 +50 31 42.617938740|     ~|12.95 |12.13 |11.90 |     ~|B_                  |   3|   0
1093|BD+47 1000                         |Em*|04 31 31.2646987760 +47 57 50.721424308|     ~|11.18 |10.71 |     ~|     ~|B                   |  11|   0
1094|LS V +47 16                        |*  |04 40 54.3032968657 +47 33 14.577233598|     ~|11.49 |11.11 |     ~|     ~|B                   |   5|   0
1095|LS V +46 19                        |*  |04 35 18.7239314889 +47 05 09.963370005|     ~|11.65 |11.18 |     ~|     ~|B                   |   5|   0
1096|LS V +45 11                        |*  |04 38 58.3344395070 +46 05 16.679102457|     ~|11.82 |10.93 |     ~|     ~|B                   |   4|   0
1097|EM* GGA 298                        |Em*|04 41 18.3030975077 +44 40 35.737171430|     ~|13.77 |12.76 |12.57 |     ~|B_                  |   3|   0
1098|1H 1936+541                        |*  |19 37 50.0 +54 14 12                   |     ~|     ~|     ~|     ~|     ~|Be                  |  10|   0
1099|EM* MWC 709                        |Em*|02 21 59.1454722552 +70 55 52.975413695|     ~|10.82 |10.18 |     ~|     ~|Be                  |   4|   0
1100|LS I +67 23                        |*  |02 57 10.4970223571 +67 29 45.227853447|     ~|12.32 |11.30 |     ~|     ~|B                   |   4|   0
1101|TYC 4060-96-1                      |Be*|03 03 09.3659320363 +66 54 22.489558075|     ~|10.86 |10.08 |     ~|     ~|Be                  |   4|   0
1102|LS V +58 19                        |*  |04 01 59.1619321653 +58 50 45.547275539|     ~|12.08 |11.91 |     ~|     ~|B                   |   4|   0
1103|TYC 4063-949-1                     |PM*|03 57 51.4812238687 +60 53 00.643916510|     ~|11.40 |10.88 |     ~|     ~|B                   |   1|   0
1104|BD+57 766                          |*  |04 03 17.0379854050 +58 17 56.406458675|13.209|11.8  |11.1  |     ~|     ~|B                   |   7|   0
1105|LS V +58 20                        |*  |04 10 48.4928130126 +58 41 20.276176010|     ~|12.58 |12.12 |     ~|     ~|B                   |   4|   0
1106|EM* MWC 471                        |Em*|04 21 39.8065477340 +55 49 44.682855474|     ~|11.39 |10.74 |     ~|     ~|B                   |   8|   0
1107|BD+55 887                          |*  |04 30 43.5077011364 +55 19 53.438072084|     ~|10.90 |10.21 |     ~|     ~|B                   |   5|   0
1108|V* IQ Cam                          |HS*|04 26 06.8650071405 +54 28 17.100742176|14.21 |14.86 |14.66 |     ~|     ~|sdB                 |  58|   0
1109|BD+55 880                          |Be*|04 25 41.7659210965 +56 15 29.389688236|     ~|10.71 |10.40 |     ~|     ~|Be                  |   4|   0
1110|EM* MWC 473                        |Em*|04 36 55.5475459771 +53 52 33.750387429|     ~|12.22 |11.46 |     ~|     ~|Be                  |   5|   0
1111|BD+52 818                          |*  |04 25 40.4694508741 +52 49 41.800149689|     ~|10.17 | 9.76 |     ~|     ~|B                   |   2|   0
1112|BD+52 824                          |*  |04 27 26.8153051913 +52 55 06.216696005|     ~|10.41 |10.31 |     ~|     ~|B                   |   3|   0
1113|BD+52 822                          |*  |04 26 31.9689129824 +52 48 23.204825012|     ~|10.59 |10.18 |     ~|     ~|B                   |   1|   0
1114|BD+50 1018                         |*  |04 35 25.5078882493 +50 25 13.881408540|     ~|11.47 |10.73 |     ~|     ~|B                   |   4|   0
1115|LS V +49 18                        |*  |04 38 43.2304058894 +50 03 46.669137465|     ~|11.48 |10.90 |     ~|     ~|B                   |   4|   0
1116|EM* VES 842                        |Em*|04 52 19.1314458991 +47 56 20.670598872|     ~|11.33 |11.14 |     ~|     ~|B                   |   7|   0
1117|LS V +47 20                        |*  |04 52 31.8692202950 +48 02 31.927651766|     ~|11.00 |10.49 |     ~|     ~|B                   |   4|   0
1118|LS V +46 23                        |*  |04 55 24.1467058227 +46 47 46.764310794|     ~|11.28 |10.62 |     ~|     ~|B                   |   4|   0
1119|TYC 3347-1615-1                    |Be*|04 46 06.0805334884 +47 05 51.677522405|     ~|11.65 |11.56 |     ~|     ~|Be_sh?              |   4|   0
1120|EM* VES 828                        |Be*|04 43 20.6543984746 +47 54 38.563627966|     ~|     ~|     ~|     ~|     ~|Be                  |   6|   0
1121|EM* GGA 300                        |Em*|04 47 55.8388185309 +47 49 24.424587205|     ~|13.89 |13.08 |12.92 |     ~|Bp                  |   3|   0
1122|LS V +46 24                        |*  |04 56 35.4643543683 +46 24 52.324656356|     ~|10.68 |10.24 |     ~|     ~|B                   |   4|   0
1123|LS V +45 16                        |*  |04 51 40.012 +45 46 00.55              |     ~|12.32 |11.60 |11.53 |     ~|B                   |   4|   0
1124|BD+44 1061                         |*  |04 57 13.2926400991 +44 26 39.768741573|     ~|11.37 |11.16 |     ~|     ~|B                   |   4|   0
1125|LS V +44 27                        |*  |05 01 39.0404202958 +45 01 35.211969094|     ~|12.52 |11.50 |     ~|     ~|B                   |   4|   0
1126|BD+43 1140                         |** |04 58 10.76 +44 03 24.5                |     ~|10.49 |10.22 |     ~|     ~|B                   |   1|   0
1127|EM* GGA 311                        |Em*|04 57 47.2563437194 +45 14 51.460245220|     ~|12.71 |12.26 |11.97 |     ~|Bp                  |   3|   0
1128|KUV 20573+7233                     |*  |20 57 19.8610648576 +72 44 29.275485999|     ~|14.93 |14.57 |14.67 |     ~|B                   |   3|   0
1129|KUV 21026+7210                     |*  |21 02 41.8912045892 +72 21 56.143957306|     ~|15.9  |16.8  |16.32 |     ~|B                   |   3|   0
1130|EM* StHA 198                       |Em*|22 21 11.4888049874 +77 04 08.038990269|     ~|10.92 |10.54 |     ~|     ~|Be                  |   4|   0
1131|LS V +58 22                        |*  |04 42 15.0509235109 +58 50 30.706977903|     ~|12.14 |11.86 |     ~|     ~|B                   |   7|   0
1132|LS V +57 60                        |*  |04 33 19.9081539975 +58 05 07.815642449|     ~|11.87 |11.53 |     ~|     ~|B                   |   7|   0
1133|BD+56 959                          |*  |04 41 01.7286992466 +56 47 55.485085939|     ~|10.47 | 9.83 |     ~|     ~|B                   |   5|   0
1134|LS V +54 13                        |*  |04 43 24.2233987740 +54 28 16.663713621|     ~|11.85 |11.36 |     ~|     ~|B                   |   6|   0
1135|LS V +53 28                        |*  |04 44 32.4183042144 +54 04 50.036671586|     ~|11.88 |11.73 |     ~|     ~|B                   |   5|   0
1136|EM* VES 853                        |Em*|04 57 54.9199137283 +47 39 42.266025153|     ~|12.13 |12.13 |     ~|     ~|B                   |   8|   0
1137|BD+48 1191                         |*  |04 59 25.1421373794 +48 55 18.677024979|     ~| 9.66 | 9.57 |     ~|     ~|B                   |   7|   0
1138|LS V +48 25                        |*  |05 06 47.4387755012 +48 29 59.363844302|     ~|12.48 |12.05 |12.05 |     ~|B                   |   4|   0
1139|LS V +47 25                        |*  |05 08 09.2630519154 +47 22 40.241193181|     ~|12.02 |12.07 |     ~|     ~|B                   |   4|   0
1140|LS V +45 18                        |*  |05 02 04.7314268802 +45 12 50.887240703|     ~|11.69 |11.03 |     ~|     ~|B                   |   4|   0
1141|LS V +45 19                        |*  |05 02 59.6700411955 +45 10 57.204368018|     ~|12.74 |12.16 |12.15 |     ~|B                   |   4|   0
1142|LS V +45 20                        |*  |05 03 12.7703717338 +45 32 45.526363797|     ~|10.93 |10.54 |     ~|     ~|B                   |   4|   0
1143|LS V +44 29                        |*  |05 06 20.2855421122 +44 20 30.054296080|     ~|11.66 |11.39 |     ~|     ~|B                   |   4|   0
1144|LS V +45 21                        |*  |05 09 53.5612965388 +45 59 35.785221260|     ~| 9.90 | 9.24 |     ~|     ~|B                   |   4|   0
1145|LS V +44 33                        |Em*|05 12 58.3838190444 +44 50 24.603014987|     ~|10.98 |10.85 |     ~|     ~|B                   |   6|   0
1146|LS V +54 15                        |*  |05 10 26.1624164914 +54 31 24.977240457|     ~|10.85 |10.53 |     ~|     ~|B                   |   7|   0
1147|LS V +51 22                        |*  |05 03 21.4186507002 +51 28 56.530499574|     ~|11.16 |10.85 |     ~|     ~|B                   |   7|   0
1148|LS V +50 12                        |*  |05 10 02.9863218709 +50 44 40.488559851|     ~|12.5  |     ~|     ~|     ~|B                   |   6|   0
1149|LS V +50 13                        |*  |05 10 32.2934640987 +51 02 24.385220429|     ~|12.7  |     ~|     ~|     ~|B                   |   4|   0
1150|LS V +47 26                        |*  |05 10 57.3373524038 +47 21 19.763078483|     ~|11.54 |11.16 |     ~|     ~|B                   |   5|   0
1151|LS V +49 20                        |*  |05 11 48.8929118472 +49 33 22.943619976|     ~|11.71 |11.70 |     ~|     ~|B                   |   4|   0
1152|BD+44 1148                         |*  |05 15 57.0463182920 +44 51 37.908372568|     ~|10.55 |10.49 |     ~|     ~|B                   |   5|   0
1153|HS 0231+8019                       |*  |02 38 22.3011810307 +80 32 17.306405658|     ~|     ~|     ~|     ~|     ~|B                   |   1|   0
1154|LS V +47 29                        |*  |05 29 25.7837748264 +47 39 43.281900094|     ~|11.45 |11.31 |     ~|     ~|B                   |   7|   0
1155|BD+49 2768                         |Em*|18 19 21.2325281362 +49 25 16.956234979|     ~|11.07 |11.19 |     ~|     ~|Be                  |   4|   0
1156|HS 1842+6557                       |HS*|18 42 24.9504751278 +66 00 40.309031997|     ~|15.40 |15.66 |16.01 |     ~|sdB                 |   7|   0
1157|KUV 18312+6431                     |HS*|18 31 29.4519024934 +64 33 46.744816581|     ~|17.0  |     ~|     ~|     ~|sdB                 |   8|   0
1158|KUV 18312+6432                     |HS*|18 31 27.1397255826 +64 34 41.731448263|     ~|14.97 |15.29 |15.76 |     ~|sdB                 |  15|   0
1159|FBS 0430+772                       |HS*|04 37 12.2719842443 +77 18 08.009365194|     ~|     ~|     ~|     ~|     ~|sdB                 |   8|   0
1160|KUV 18046+6436                     |*  |18 04 51.2979333016 +64 35 56.622939958|     ~|16.06 |15.99 |16.30 |     ~|B                   |   3|   0
1161|KUV 18020+6639                     |*  |18 02 01.3669683755 +66 39 20.512156365|     ~|16.5  |17.14 |17.6  |     ~|B                   |   5|   0
1162|V* IX Dra                          |DN*|18 12 31.4708407404 +67 04 45.823783565|     ~|     ~|     ~|     ~|     ~|sdB                 |  42|   0
1163|KUV 18189+6501                     |HS*|18 19 04.1921257724 +65 02 06.649403713|     ~|16.0  |     ~|17.1  |     ~|sdB                 |   6|   0
1164|V* BC Dra                          |RR*|18 14 19.0686909154 +76 41 08.379195126|     ~|11.78 |11.67 |     ~|     ~|B                   |  40|   0
1165|HS 1846+8149                       |HS*|18 41 21.2302291926 +81 52 26.833724868|     ~|     ~|     ~|     ~|     ~|sdB                 |   7|   0
1166|FBS 1930+872                       |HS*|19 11 01.6379901765 +87 16 03.681825261|     ~|     ~|12.84 |     ~|     ~|sdB                 |   7|   0
1167|FBS 0539+646                       |*  |05 43 59.3657711239 +64 40 06.572697472|     ~|12.09 |11.82 |     ~|     ~|BN1                 |   4|   0
1168|HS 1753+5342                       |HS*|17 54 03.5464110462 +53 41 35.856548817|     ~|     ~|15.298|     ~|     ~|sdB+?               |   6|   0
1169|HS 1747+6924                       |HS*|17 47 04.8288685796 +69 23 16.823656410|     ~|     ~|     ~|     ~|     ~|sdB                 |   8|   1
1170|LB 1040                            |HS*|17 32 23.8472100523 +79 59 23.227130557|     ~|     ~|     ~|     ~|     ~|sdB                 |   8|   1
1171|FBS 1642+853                       |HS*|16 32 14.3475333868 +85 13 58.813398862|     ~|12.03 |12.53 |     ~|     ~|sdB                 |   7|   0
1172|HS 0707+8225                       |HS*|07 18 23.4695816961 +82 20 03.799336962|     ~|     ~|     ~|     ~|     ~|sdB                 |   7|   0
1173|FBS 0610+627                       |HS*|06 15 22.5198202275 +62 42 52.987806423|     ~|14.0  |     ~|     ~|     ~|sdB                 |   5|   0
1174|PG 1739+455                        |HB*|17 41 06.7728171210 +45 31 08.402166633|     ~|15.90 |16.33 |16.1  |     ~|B                   |   2|   0
1175|FBS 1732+633                       |HS*|17 32 40.8431835351 +63 18 47.026843554|     ~|     ~|13.9  |     ~|     ~|sdB                 |  10|   0
1176|LB 506                             |HS*|07 53 50.4173133158 +81 41 51.765369498|     ~|16.44 |16.15 |     ~|     ~|sdB                 |   7|   0
1177|FBS 0632+663                       |HS*|06 37 07.0239445876 +66 12 51.114049404|     ~|16.38 |15.45 |     ~|     ~|sdB                 |   5|   0
1178|V* SS Aur                          |CV*|06 13 22.4341940496 +47 44 25.346818461|     ~|16.06 |15.81 |     ~|     ~|sdBe                | 245|   0
1179|PG 1729+500                        |HS*|17 30 48.3513151285 +49 59 22.855286637|     ~|16.5  |     ~|16.8  |     ~|sdB                 |   4|   0
1180|PG 1718+519                        |HS*|17 19 45.3512584774 +51 52 10.717051777|     ~|13.86 |13.75 |13.81 |     ~|sdB+G4V             |  17|   0
1181|SBSS 1715+556                      |HS*|17 16 17.3420770198 +55 34 46.636031464|     ~|17.5  |     ~|17.3  |     ~|sdB                 |  13|   0
1182|SBSS 1715+536                      |HS*|17 16 20.7067760206 +53 36 34.481960117|     ~|15.0  |     ~|     ~|     ~|sdB                 |   6|   0
1183|PG 1711+565                        |HS*|17 12 37.2927716855 +56 25 08.382110888|     ~|16.12 |     ~|     ~|     ~|sdB                 |   8|   1
1184|PG 1710+567                        |HS*|17 11 20.4565584987 +56 35 33.090734026|     ~|14.88 |14.63 |15.23 |     ~|sdB                 |  11|   1
1185|SBSS 1712+578                      |HS*|17 13 10.6202639467 +57 50 04.778444124|     ~|16.3  |     ~|16.3  |     ~|sdB                 |   8|   0
1186|SDSS J172004.07+575110.8           |*  |17 20 04.0781481558 +57 51 10.832868473|     ~|18.51 |18.664|     ~|18.530|B                   |   5|   0
1187|PG 1717+607                        |HS*|17 17 58.5011177834 +60 39 21.045229469|     ~|14.50 |     ~|     ~|     ~|sdBO                |  10|   0
1188|SBSS 1715+604                      |HB*|17 15 40.7928970015 +60 24 55.459971088|     ~|16.04 |15.52 |15.63 |     ~|BN                  |   2|   0
1189|PG 1657+656                        |HS*|16 57 23.1136975438 +65 31 28.681093643|     ~|16.20 |16.13 |16.23 |     ~|sdBO                |   6|   0
1190|PG 1633+696                        |HS*|16 33 14.1660068723 +69 29 36.811679958|     ~|16.37 |16.43 |16.30 |     ~|sdB                 |   8|   0
1191|FBS 1411+812                       |HS*|14 09 57.4306328992 +80 55 19.836924735|     ~|     ~|13.87 |     ~|     ~|sdB                 |   7|   0
1192|PG 0752+770                        |HS*|07 59 24.4217668852 +76 46 22.466932308|     ~|16.11 |     ~|     ~|     ~|sdB                 |   8|   0
1193|FBS 0747+729                       |*  |07 53 39.4662582991 +72 49 58.938883223|     ~|     ~|     ~|     ~|     ~|BN3e                |   4|   0
1194|V* V470 Cam                        |HS*|07 10 42.0512018720 +66 55 43.520280054|     ~|     ~|     ~|     ~|     ~|sdB+dM              |  95|   1
1195|FBS 0644+635                       |*  |06 49 07.5814077250 +63 29 16.088575353|     ~|     ~|15.7  |     ~|     ~|BN1                 |   3|   0
1196|FBS 0658+627                       |HS*|07 03 31.7450559849 +62 36 26.331785729|     ~|     ~|13.10 |     ~|     ~|sdB                 |   8|   0
1197|PG 1715+457                        |HS*|17 17 16.1850001220 +45 36 23.627757853|     ~|15.96 |16.20 |     ~|     ~|sdB                 |   4|   0
1198|TYC 3508-387-1                     |*  |17 23 26.6044337448 +46 19 02.816626262|     ~|11.45 |11.57 |     ~|     ~|B                   |   2|   0
1199|PG 1717+474                        |HS*|17 19 17.8608706892 +47 22 20.970468930|     ~|15.61 |15.91 |15.95 |     ~|sdB                 |   4|   0
1200|PG 1705+505                        |HS*|17 07 07.3209980541 +50 23 45.869699282|     ~|17.5  |     ~|17.2  |     ~|sdB                 |   6|   1
1201|PG 1656+553                        |HS*|16 57 51.5921508505 +55 11 32.593423546|     ~|15.38 |15.52 |15.93 |     ~|sdB                 |   6|   0
1202|SBSS 1709+535                      |WD*|17 10 13.2106642044 +53 26 46.005496033|     ~|12.32 |12.65 |12.84 |     ~|sdB                 |   5|   0
1203|HD 238624                          |*  |16 54 23.8130 +58 02 18.892            |     ~|10.69 |10.21 |     ~|     ~|B                   |   1|   0
1204|SBSS 1655+588                      |HS*|16 56 24.3305930144 +58 48 08.249979011|     ~|15.20 |15.06 |15.51 |     ~|sdB                 |   3|   0
1205|SBSS 1655+589                      |HB*|16 56 46.5126078476 +58 52 06.996507376|     ~|16.8  |     ~|16.48 |     ~|B                   |   2|   0
1206|FBS 1452+762                       |HS*|14 51 45.7293035696 +75 59 56.905901539|     ~|16.30 |15.71 |     ~|     ~|sdB                 |   6|   0
1207|PG 1506+757                        |HS*|15 05 25.9441920094 +75 31 09.489925711|     ~|15.67 |15.86 |     ~|     ~|sdBO                |   7|   0
1208|TYC 4544-2658-1                    |HS*|09 43 53.4629786900 +78 31 40.685471082|     ~|10.97 |11.34 |     ~|     ~|sdB                 |   6|   0
1209|FBS 0713+648                       |*  |07 18 03.2270719511 +64 47 57.549696872|     ~|     ~|16.0  |     ~|     ~|BN1                 |   4|   0
1210|V* DW Lyn                          |HS*|07 07 09.7959993247 +60 38 50.158351555|     ~|14.7  |     ~|15.34 |     ~|sdB                 |  48|   1
1211|PG 1700+486                        |HS*|17 02 11.7749390092 +48 30 23.109225333|     ~|13.91 |14.14 |     ~|     ~|sdB                 |   6|   0
1212|PG 1649+522                        |HS*|16 50 39.5855268757 +52 07 34.390641012|     ~|16.02 |16.16 |16.48 |     ~|sdB                 |   7|   0
1213|PG 1652+517                        |HS*|16 54 12.4974412567 +51 39 00.067368613|     ~|15.92 |16.19 |16.31 |     ~|sdB                 |   5|   0
1214|PG 1653+544                        |HS*|16 54 54.1249358944 +54 20 27.975620982|     ~|15.24 |15.43 |     ~|     ~|sdBO                |   8|   0
1215|SBSS 1629+590                      |HB*|16 30 29.7142812055 +58 58 05.882330699|     ~|17.5  |     ~|17.1  |     ~|B                   |   2|   0
1216|SBSS 1638+593                      |HB*|16 38 53.7850338824 +59 12 30.447853658|     ~|16.36 |16.81 |     ~|     ~|B                   |   3|   0
1217|SBSS 1636+603                      |HS*|16 37 34.1811523180 +60 17 00.177223553|     ~|16.9  |     ~|17.2  |     ~|sdB                 |   5|   0
1218|FBS 1224+780                       |HS*|12 26 17.0138079311 +77 43 12.321983863|     ~|     ~|     ~|     ~|     ~|sdB                 |   7|   0
1219|PG 1043+760                        |HS*|10 47 04.9686856449 +75 44 22.970014499|     ~|12.97 |     ~|     ~|     ~|sdB                 |  22|   0
1220|PG 1008+756                        |HS*|10 12 42.5827083612 +75 19 38.878905489|     ~|15.94 |     ~|     ~|     ~|sdB                 |  10|   0
1221|FBS 1023+753                       |HS*|10 27 29.1497892864 +74 59 45.557848559|     ~|     ~|13.87 |     ~|     ~|sdB                 |   8|   0
1222|PG 0904+735                        |HS*|09 09 55.4513099095 +73 18 46.110698788|     ~|14.64 |15.02 |15.33 |     ~|sdB                 |   7|   0
1223|PG 0806+682                        |HS*|08 11 56.2509022103 +68 03 43.205825274|     ~|15.49 |15.60 |16.12 |     ~|sdB                 |   8|   0
1224|PG 0749+658                        |HS*|07 54 24.4159207511 +65 42 07.370276463|     ~|12.07 |12.06 |12.29 |     ~|sdB                 |  27|   0
1225|FBS 0742+625                       |HS*|07 47 22.0883267059 +62 25 45.374758228|     ~|11.83 |11.91 |     ~|     ~|sdB                 |   7|   1
1226|FBS 0725+623                       |HS*|07 30 28.9982921348 +62 11 40.061161348|     ~|     ~|15.2  |     ~|     ~|sdB                 |   5|   0
1227|GD 294                             |HS*|07 17 36.2654290058 +58 24 20.512232077|     ~|12.06 |12.02 |12.30 |     ~|sdB                 |  43|   0
1228|PG 1659+442                        |HS*|17 00 35.6650942986 +44 10 01.400006452|     ~|16.2  |     ~|16.9  |     ~|sdB                 |   8|   0
1229|PG 1658+445                        |HB*|17 00 27.8881690609 +44 23 35.524101791|     ~|15.22 |15.24 |15.59 |     ~|BN2                 |   6|   0
1230|Balloon 83600004                   |HS*|16 49 54.5529519512 +48 26 52.629298986|     ~|     ~|     ~|     ~|     ~|sdB+?               |   3|   0
1231|SBSS 1642+515                      |HS*|16 43 30.8745347116 +51 24 57.155203993|     ~|17.0  |     ~|16.3  |     ~|sdBO                |   6|   0
1232|PG 1628+530                        |HS*|16 29 35.7474680439 +52 55 53.613593489|     ~|15.60 |15.40 |     ~|     ~|sdBO                |  11|   0
1233|PG 1635+533                        |HS*|16 36 14.2589377783 +53 12 58.270670043|     ~|15.66 |     ~|     ~|     ~|sdB                 |   7|   0
1234|SBSS 1621+564                      |HS*|16 22 38.2436675890 +56 22 43.326157034|     ~|16.8  |     ~|17.2  |     ~|sdB                 |   6|   0
1235|SBSS 1615+559                      |*  |16 16 38.0194413785 +55 46 49.634428773|     ~|18.0  |     ~|     ~|     ~|B                   |   3|   0
1236|SBSS 1611+573                      |HS*|16 12 31.8686182730 +57 14 51.378818344|     ~|     ~|     ~|     ~|     ~|sdB                 |   4|   0
1237|SBSS 1556+605                      |HS*|15 56 53.7693441844 +60 24 16.414973924|     ~|17.0  |     ~|     ~|     ~|sdB                 |   7|   0
1238|SBSS 1602+601                      |HB*|16 03 21.5158330231 +59 57 53.986791984|     ~|     ~|     ~|     ~|     ~|BN                  |   4|   0
1239|PG 1547+632                        |HS*|15 48 11.7483962574 +63 03 08.028586379|     ~|15.10 |15.1  |     ~|     ~|sdB                 |  11|   0
1240|FBS 1552+635                       |HS*|15 53 09.6288583709 +63 24 40.310403956|     ~|16.8  |15.8  |16.4  |     ~|sdB                 |   9|   0
1241|[BFO2002] UMi 40451                |*  |15 08 58.2113817820 +67 20 12.295347299|     ~|     ~|19.895|     ~|19.619|B                   |   2|   0
1242|[BFO2002] UMi 80418                |*  |15 08 33.885 +67 04 39.11              |     ~|     ~|20.096|     ~|19.945|B                   |   2|   0
1243|PG 1348+745                        |HS*|13 48 43.5808293557 +74 15 45.745900329|     ~|15.56 |15.97 |     ~|     ~|sdB                 |   9|   0
1244|FBS 1133+754                       |HS*|11 36 33.6088167040 +75 06 53.848724133|     ~|     ~|12.99 |     ~|     ~|sdB                 |   8|   0
1245|PG 1155+741                        |HS*|11 58 40.5433902568 +73 50 26.117287471|     ~|15.29 |15.40 |15.73 |     ~|sdB                 |   8|   0
1246|PG 0822+645                        |HS*|08 27 16.5409497739 +64 22 25.054093221|     ~|15.02 |15.44 |15.84 |     ~|sdB                 |   9|   0
1247|FBS 0805+639                       |*  |08 09 55.4623139678 +63 45 09.684707710|     ~|17.2  |17.2  |18.3  |     ~|BN2                 |   5|   0
1248|HS 1641+4601                       |HS*|16 42 56.4047546595 +45 56 00.559279540|     ~|14.69 |15.02 |15.46 |     ~|sdB                 |   6|   0
1249|SBSS 1620+502                      |HS*|16 21 37.0404748903 +50 08 21.352746021|     ~|17.0  |     ~|     ~|     ~|sdB                 |   8|   0
1250|GALEX J161423.4+531405             |HS*|16 14 23.4167997412 +53 14 05.166291137|     ~|17.5  |     ~|     ~|     ~|sdB                 |   6|   0
1251|SBSS 1614+544                      |HB*|16 15 20.0286213202 +54 21 10.221407168|     ~|17.0  |     ~|     ~|     ~|B                   |   4|   0
1252|SBSS 1614+551                      |HS*|16 15 32.7999192925 +55 04 20.524468621|     ~|16.4  |     ~|17.4  |     ~|sdB                 |   6|   0
1253|SBSS 1543+603                      |HB*|15 44 32.0821347737 +60 08 52.566702989|     ~|16.26 |15.91 |15.92 |     ~|BN                  |   2|   0
1254|SBSS 1554+593                      |*  |15 55 56.4671777971 +59 12 25.568182806|     ~|18.0  |     ~|     ~|     ~|B                   |   2|   0
1255|PG 1538+611                        |HS*|15 39 43.1962394538 +60 55 00.816915216|     ~|14.4  |     ~|13.8  |     ~|sdB                 |   4|   0
1256|FBS 1535+622                       |*  |15 35 54.4263251543 +62 02 17.682689880|     ~|     ~|16.7  |     ~|     ~|BN1e:               |   4|   0
1257|SBSS 1527+612A                     |HB*|15 28 43.4552698847 +61 02 07.236221294|     ~|16.77 |16.43 |16.12 |     ~|B                   |   2|   0
1258|SBSS 1530+603                      |HB*|15 31 03.7756333076 +60 10 33.466821803|     ~|17.0  |     ~|16.4  |     ~|B                   |   2|   0
1259|PG 1449+653                        |HS*|14 50 36.0769929096 +65 05 52.017016369|     ~|13.57 |13.62 |13.72 |     ~|sdB+G5              |  24|   0
1260|[BGK2006] HV 5                     |HV*|09 17 59.4745816706 +67 22 38.380464195|     ~|     ~|17.70 |     ~|     ~|B                   |  20|   0
1261|FBS 0850+639                       |*  |08 54 50.7987108985 +63 43 20.479440159|     ~|     ~|16.0  |     ~|     ~|BN2e:               |   4|   0
1262|SBSS 0804+590                      |HS*|08 08 19.7644959181 +58 52 22.897752176|     ~|17.9  |     ~|17.5  |     ~|sdB                 |   5|   0
1263|SBSS 0811+582                      |HB*|08 15 47.0103458670 +58 03 35.226719798|     ~|17.6  |     ~|16.7  |     ~|BN                  |   3|   0
1264|SBSS 0756+581                      |HS*|08 00 39.5385298227 +58 02 33.994051809|     ~|16.5  |     ~|16.27 |     ~|sdB                 |   5|   0
1265|PG 1629+466                        |HS*|16 31 17.7248896323 +46 31 00.337314617|     ~|13.61 |13.81 |14.12 |     ~|sdBN0.2VIIHe29      |   8|   0
1266|PG 1626+471                        |HS*|16 27 46.7070259898 +46 58 47.579698156|     ~|13.75 |     ~|     ~|     ~|sdBO                |   8|   0
1267|BPS BS 16029-0090                  |HS*|16 19 02.8368668529 +48 31 44.723112815|     ~|     ~|13.36 |     ~|     ~|sdB+F0V             |   3|   0
1268|PG 1604+504                        |HS*|16 05 34.2036829047 +50 18 52.023566042|     ~|15.73 |     ~|     ~|     ~|sdBO                |   8|   0
