['23:35:41.4717647664', '+00:02:19.522538544']: 1
['02:19:18.9089371671', '+03:26:51.366664476']: 1
['02:40:04.3981720342', '+03:55:42.256796483']: 1
['23:11:23.7615309500', '+09:58:44.899766021']: 1
['21:31:05.1794750402', '+09:07:53.344022875']: 1
['21:31:12.2364442028', '+11:29:36.235098338']: 1
['21:29:59.38', '+12:10:27.5']: 1
['22:46:55.1703538319', '+15:30:59.000644255']: 1
['22:17:48.2205413081', '+15:20:57.378570667']: 1
['00:45:11.1755666118', '+21:21:07.853564958']: 1
['01:11:03.7341531269', '+19:47:42.442952928']: 1
['02:48:07.4923837216', '+18:26:15.528147794']: 1
['01:08:16.5892591634', '+27:52:51.568910320']: 1
['02:19:44.5909225183', '+24:47:24.006862567']: 1
['01:33:34.13', '+30:32:11.3']: 6
['01:33:57.46', '+30:42:11.4']: 6
['01:34:31.9448638877', '+30:46:49.786098695']: 6
['01:34:38.76', '+30:43:58.8']: 6
['01:33:42.2079857357', '+30:33:01.437919426']: 6
['22:45:55.8510387223', '+34:35:41.739936767']: 1
['21:57:06.1157609323', '+33:08:11.524818444']: 1
['22:11:18.8559109582', '+35:38:58.753329954']: 1
['22:47:56.3798437388', '+37:53:51.519679093']: 1
['00:56:25.6968989930', '+36:21:35.365899717']: 1
['21:07:55.4153633777', '+33:23:49.226678368']: 1
['22:06:13.8927916504', '+36:40:41.896063385']: 1
['23:38:11.6444983920', '+40:25:52.623792904']: 2
['23:44:21.5697102299', '+40:25:21.669094859']: 2
['02:54:53.3473408162', '+32:42:31.966053282']: 1
['21:06:15.6271090433', '+34:19:14.629691440']: 1
['22:06:34.3013339687', '+38:49:19.254172786']: 1
['23:03:56.6735257696', '+41:49:05.904705327']: 1
['01:58:33.4340086125', '+38:34:23.846108332']: 1
['09:07:08.1239564311', '-03:06:13.987406912']: 1
['09:24:26.3928822549', '+36:42:53.293596680']: 1
['09:23:13.3873310818', '+29:26:58.336092055']: 1
['09:44:44.1503608937', '-13:18:22.267127826']: 1
['09:47:03.3494077950', '-09:19:49.517356418']: 1
['09:51:55.8049214326', '-10:21:37.203561576']: 1
['09:54:45.8118229777', '-16:41:29.360723195']: 1
['10:03:54.2700940565', '+40:34:18.121525685']: 1
['09:59:56.0082339972', '+35:39:59.160261688']: 1
['10:01:33.2729578333', '-08:42:50.464530271']: 1
['10:00:42.5869028362', '-12:05:59.231088457']: 1
['09:58:10.6355890335', '-16:05:51.880900196']: 1
['10:04:00.8706850419', '-19:37:46.142150458']: 1
['10:13:38.7994878501', '-17:37:18.284450810']: 1
['10:10:33.4058206779', '-18:11:47.616227317']: 1
['10:13:02.4859535320', '-21:32:47.028690794']: 1
['10:25:50.8981198687', '-24:53:19.986364985']: 1
['10:39:36.7377085527', '+43:06:09.209752646']: 1
['10:30:19.2868230673', '+34:20:49.435811110']: 1
['10:32:34.7386328250', '-10:38:25.758593111']: 1
['10:50:28.7933072279', '-06:53:25.968650715']: 1
['10:49:55.2776123105', '-27:19:09.200028296']: 2
['10:50:18.3694084875', '-27:30:37.053426165']: 3
['11:02:15.4577238303', '+02:40:34.332656828']: 1
['11:01:24.8685849184', '-27:51:41.914369709']: 2
['11:11:12.5520075234', '-02:06:29.700402843']: 1
['11:18:11.6489570021', '-06:47:32.162359362']: 1
['11:26:10.8242027133', '-20:01:38.559943575']: 1
['11:37:26.3700093153', '+14:10:14.103354248']: 1
['11:30:03.7028265800', '+01:37:37.247725878']: 1
['11:44:50.1476455560', '-23:28:18.464669924']: 1
['11:39:10.2231069120', '-25:20:55.562985112']: 1
['11:55:56.6503865095', '+09:50:49.319458122']: 1
['12:00:28.6191946614', '+34:00:53.657231383']: 1
['12:00:05.6457009978', '-19:02:03.968468680']: 1
['12:02:40.0887065351', '-19:41:07.944621226']: 1
['12:04:45.4449014963', '-31:42:52.082581799']: 1
['12:09:16.6821644939', '-32:42:13.669448360']: 1
['12:29:23.2604800430', '-18:08:07.835448535']: 2
['12:32:18.6360042369', '-21:30:17.119074555']: 1
['12:41:51.7901702595', '+17:31:19.750592670']: 1
['12:42:31.4034508996', '+11:44:00.968518786']: 2
['12:39:56.5407708748', '-14:24:47.727838930']: 1
['12:41:01.1117028566', '-18:01:57.242824893']: 2
['12:38:04.6211842009', '-22:15:16.669194328']: 1
['12:34:16.2576939006', '-25:47:48.913766940']: 1
['12:44:41.5784142419', '-27:48:58.234084173']: 4
['12:37:34.6034219302', '-28:41:01.025584209']: 1
['12:45:17.0820592020', '-29:42:53.569820404']: 1
['13:00:26.175', '+35:45:20.79']: 1
['12:59:26.0345481911', '+27:21:22.816205089']: 1
['13:03:46.6252622288', '+26:46:30.552292696']: 1
['12:59:01.3945642122', '-27:54:18.770482218']: 4
['13:09:43.2988374340', '-27:55:35.967799494']: 4
['13:12:50.5863267783', '-27:49:01.842815976']: 4
['13:17:38.0877378838', '-31:51:20.967204784']: 2
['13:19:53.6045874865', '+12:03:58.272330210']: 2
['13:25:57.2369557172', '+12:12:21.293298604']: 2
['13:20:44.3901684529', '+05:59:01.341348810']: 1
['13:20:17.5758156053', '-20:05:18.772330194']: 1
['13:21:43.6905362973', '-21:44:38.979862715']: 2
['13:21:15.6370872757', '-21:27:17.630329433']: 2
['13:37:12.9215122360', '-26:43:19.322451722']: 2
['13:31:35.8136356663', '-29:31:04.042513527']: 1
['13:32:09.8996656142', '-32:05:55.989942195']: 3
['13:41:31.4798424654', '+04:54:46.768843263']: 1
['13:47:24.8625298033', '-15:46:28.695338347']: 1
['13:52:14.8436545703', '-23:34:57.582123691']: 1
['13:49:10.2347599923', '-26:55:30.469465671']: 2
['14:02:09.1612169417', '+38:37:14.933784325']: 1
['13:59:29.7558590204', '-21:27:31.282719964']: 1
['13:53:16.1778660558', '-31:53:07.169132395']: 2
['14:15:49.0546718556', '+11:12:13.917447602']: 1
['14:17:42.5146241101', '+07:42:50.682647947']: 1
['14:21:56.1361721775', '-24:31:21.185024317']: 1
['14:29:27.7634519362', '+19:21:36.619102310']: 1
['14:34:38.6190747562', '-08:10:14.983116925']: 4
['14:35:20.8032910425', '-08:10:58.762976447']: 4
