C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:34:38

sptypes = 'F'
-------------

Number of objects : 3144

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
45  |HD 229274                          |HB*|20 24 36.0988063748 +41 30 02.586025490|     ~|     ~|     ~| 8.6  |     ~|Fp             |  43|   0
46  |Cl* NGC 6910 SIC 4                 |*  |20 20 16.4396000114 +41 21 04.849704671|     ~|12.03 |11.54 |     ~|     ~|F              |   1|   0
47  |BD+47 3293                         |*  |21 06 36.3852406072 +47 46 31.816203059|     ~|11.03 |10.60 |     ~|     ~|F              |   0|   0
48  |HD 202382                          |*  |21 13 48.6723566459 +48 38 35.329879512|     ~| 9.11 | 8.75 |     ~|     ~|F              |   5|   0
49  |TYC 3597-1538-1                    |*  |21 18 11.9669014916 +50 31 19.491091859|     ~|11.55 |11.33 |     ~|     ~|F              |   0|   0
50  |BD+53 326B                         |*  |01 32 38.4432507303 +54 44 34.078108877|     ~|10.16 |10.00 |     ~|     ~|F              |   0|   0
51  |BD+49 734                          |*  |02 39 39.6196306500 +50 31 46.395183238|     ~|11.33 |10.74 |     ~|     ~|F              |   0|   0
52  |BD+42 3598                         |*  |20 08 00.6038806269 +42 27 14.642592421|     ~| 9.98 | 9.47 |     ~|     ~|F              |   0|   0
53  |HD 192319                          |*  |20 12 23.8215314158 +45 12 53.684396035|     ~|10.06 | 9.78 |     ~|     ~|F              |   1|   0
54  |HD 195355                          |PM*|20 28 54.9657641835 +46 04 41.886216650|     ~| 8.97 | 8.63 |     ~|     ~|F              |   1|   0
55  |HD 195392                          |*  |20 29 11.0785607051 +47 06 17.565863380| 9.060| 8.980| 8.740|     ~|     ~|F              |   5|   0
56  |BD+52 2876                         |*  |21 08 26.5835617181 +53 18 37.389979086|     ~|11.36 |10.99 |     ~|     ~|F              |   0|   0
57  |Cl Trumpler 37 212                 |*  |21 44 14.7166336923 +56 59 20.844349714|     ~|12.81 |11.80 |     ~|     ~|F              |   1|   0
58  |BD+57 2474                         |** |22 10 44.0057432325 +58 29 40.186308366|     ~|11.13 | 9.817| 9.29 |     ~|F              |   1|   0
59  |HD 212897                          |*  |22 26 02.7115790655 +59 14 49.314393715|     ~| 8.84 | 8.51 |     ~|     ~|F              |   9|   0
60  |V* PW Cas                          |cC*|23 25 58.4750720772 +61 16 00.613978742|     ~|     ~|13.061|     ~|     ~|F              |  26|   0
61  |TYC 4281-1104-1                    |*  |23 50 35.5046663819 +61 35 01.621354618|     ~|11.20 |10.89 |     ~|     ~|F              |   1|   0
62  |EM* GGA 10                         |Em*|01 02 38.0595516916 +60 31 47.097651027|     ~|14.06 |12.76 |12.34 |     ~|F              |   3|   0
63  |TYC 3309-1826-1                    |*  |02 53 48.5947821828 +51 54 33.251847325|     ~|12.05 |10.51 |     ~|     ~|F              |   0|   0
64  |BD+42 3472                         |*  |19 48 22.862 +43 04 39.69              |     ~| 8.75 | 8.37 |     ~|     ~|F              |   0|   0
65  |HD 187848                          |*  |19 50 20.9652143636 +41 37 44.071714570|     ~| 9.18 | 8.80 |     ~|     ~|F              |   2|   0
66  |BD+49 3243                         |*  |20 16 47.3702808742 +49 41 54.073619694|     ~|11.00 |10.51 |     ~|     ~|F              |   0|   0
67  |BD+51 2880a                        |*  |20 30 47.6576851900 +51 45 46.738984512|     ~|11.33 |11.12 |     ~|     ~|F              |   0|   0
68  |Cl Trumpler 37 294                 |*  |21 11 54.8144498462 +57 15 51.478203907|     ~|11.79 |11.22 |     ~|     ~|F              |   1|   0
69  |Cl Trumpler 37 327                 |*  |21 16 56.6157950918 +57 28 56.755897224|     ~|12.7  |     ~|     ~|     ~|F              |   1|   0
70  |Cl Trumpler 37 26                  |*  |21 06 42.8238384919 +56 50 30.358594802|     ~|12.77 |11.87 |     ~|     ~|F              |   1|   0
71  |Cl Trumpler 37 300                 |*  |21 12 37.9647570858 +57 27 55.618603028|     ~|12.98 |12.15 |     ~|     ~|F              |   1|   0
72  |Cl Trumpler 37 41                  |*  |21 11 04.9776387807 +56 56 40.359641431|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
73  |Cl Trumpler 37 88                  |*  |21 21 26.1398880998 +56 43 39.202758302|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
74  |EM* GGR 31                         |Em*|21 35 06.9837785133 +57 35 03.674155330|     ~|12.49 |11.73 |     ~|     ~|F              |  10|   0
75  |EM* AS 474                         |Em*|21 41 00.0808745856 +57 04 00.332607947|11.91 |12.09 |11.10 |     ~|     ~|F              |  13|   0
76  |Cl Trumpler 37 497                 |*  |21 41 51.1765606266 +57 37 36.978920538|     ~|11.95 |11.21 |11.42 |     ~|F              |   1|   0
77  |Cl Trumpler 37 458                 |*  |21 38 11.1036307251 +57 32 50.842966510|     ~|12.4  |     ~|     ~|     ~|F              |   1|   0
78  |Cl Trumpler 37 491                 |*  |21 41 14.4887652126 +57 30 35.214498111|     ~|12.25 |11.50 |     ~|     ~|F              |   1|   0
79  |Cl Trumpler 37 395                 |*  |21 30 09.56 +57 35 49.6                |     ~|12.7  |     ~|     ~|     ~|F              |   1|   0
80  |Cl Trumpler 37 359                 |*  |21 23 52.1545569718 +57 14 44.753548248|     ~|12.17 |11.52 |     ~|     ~|F              |   1|   0
81  |Cl Trumpler 37 656                 |*  |21 23 50.1935879228 +58 09 53.892363862|     ~|12.9  |     ~|     ~|     ~|F              |   1|   0
82  |Cl Trumpler 37 973                 |*  |21 30 00.7762002961 +58 32 56.601022013|     ~|12.9  |     ~|     ~|     ~|F              |   1|   0
83  |Cl Trumpler 37 1356                |*  |21 48 50.4306721149 +59 00 01.571668032|     ~|11.98 |12.09 |     ~|     ~|F              |   1|   0
84  |Cl Trumpler 37 1549                |*  |21 42 17.6936248503 +59 18 03.976226501|     ~|11.92 |11.64 |     ~|     ~|F              |   1|   0
85  |Cl Trumpler 37 1362                |*  |21 49 07.7122592758 +59 09 56.170355264|     ~|12.52 |12.21 |     ~|     ~|F              |   1|   0
86  |Cl Trumpler 37 1809                |*  |21 48 01.0834904516 +59 49 31.941279672|     ~|12.64 |12.18 |     ~|     ~|F              |   1|   0
87  |Cl Trumpler 37 1347                |*  |21 47 26.9788922879 +59 04 09.520255251|     ~|12.67 |12.35 |     ~|     ~|F              |   1|   0
88  |Cl Trumpler 37 1357                |*  |21 48 50.2902263298 +58 53 09.934927679|     ~|12.6  |     ~|     ~|     ~|F              |   1|   0
89  |Cl Trumpler 37 1590                |*  |21 47 55.9404942166 +59 28 45.084498725|     ~|11.90 |11.61 |     ~|     ~|F              |   1|   0
90  |Cl Trumpler 37 1315                |*  |21 42 49.2573411506 +58 54 25.274758397|     ~|12.80 |12.32 |     ~|     ~|F              |   1|   0
91  |Cl Trumpler 37 1525                |*  |21 34 54.9148236036 +59 25 56.988034429|     ~|12.29 |11.91 |     ~|     ~|F              |   1|   0
92  |Cl Trumpler 37 1585                |*  |21 46 59.2994757485 +59 28 35.376399235|     ~|12.9  |     ~|     ~|     ~|F              |   1|   0
93  |Cl Trumpler 37 1547                |*  |21 41 40.2668554272 +59 14 00.354453297|     ~|13.0  |     ~|     ~|     ~|F              |   1|   0
94  |Cl Trumpler 37 776                 |*  |21 45 56.2488302949 +57 45 57.108354371|     ~|12.92 |12.22 |     ~|     ~|F              |   1|   0
95  |Cl Trumpler 37 798                 |*  |21 48 52.5205590059 +58 06 32.560331573|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
96  |Cl Trumpler 37 508                 |*  |21 43 56.7060255540 +57 35 55.050258181|     ~|12.31 |11.82 |     ~|     ~|F              |   1|   0
97  |Cl Trumpler 37 1030                |*  |21 41 15.8741984569 +58 14 53.673287456|     ~|12.60 |12.05 |     ~|     ~|F              |   3|   0
98  |BD+60 2316                         |*  |21 55 01.3391700306 +60 54 10.571011792|     ~|10.69 |10.28 |     ~|     ~|F              |   0|   0
99  |[PNJ2003] 50                       |*  |22 51 45.635 +62 27 32.94              |     ~|     ~|14.676|     ~|     ~|F              |   1|   0
100 |TYC 4282-406-1                     |*  |23 05 39.7998 +62 40 27.937            |     ~|11.23 |10.18 |     ~|     ~|F              |   0|   0
101 |2MASS J22563906+6245092            |Y*O|22 56 39.0397807296 +62 45 09.124585188|18.494|     ~|15.01 |     ~|13.04 |F              |   6|   0
102 |2MASS J22562974+6238533            |Y*O|22 56 29.7384369413 +62 38 53.522792015|19.464|     ~|15.69 |     ~|13.32 |F              |   3|   0
103 |2MASS J22545157+6241522            |Y*O|22 54 51.5565633680 +62 41 52.150609692|18.507|16.73 |15.01 |     ~|13.04 |F              |   4|   0
104 |HD 4442                            |*  |00 47 32.1385621951 +61 29 25.480336284|     ~| 9.12 | 8.70 |     ~|     ~|F              |   3|   0
105 |TYC 3683-669-1                     |*  |01 43 29.3557266294 +59 37 00.162677054|     ~|11.5  |10.9  |     ~|     ~|F              |   1|   0
106 |NGC 869 756                        |*  |02 18 37.3320455988 +57 08 08.892824914|     ~|16.259|15.539|     ~|     ~|FV             |   5|   0
107 |NGC 884 2281                       |*  |02 22 06.7467057797 +57 09 47.601535771|16.918|     ~|15.110|     ~|     ~|FV             |   4|   0
108 |LS V +52 9                         |*  |03 27 37.9207321535 +52 19 19.104708550|     ~|11.92 |11.32 |     ~|     ~|F              |   4|   0
109 |Ross 22                            |*  |04 05 15.4110086304 +49 11 43.257735653|     ~|15.77 |14.81 |14.86 |     ~|F              |   3|   0
110 |HD 276171                          |*  |04 17 40.2332133824 +42 18 14.244399809|     ~|11.42 |10.73 |     ~|     ~|F              |   1|   0
111 |HD 189297                          |*  |19 57 19.9743852603 +46 13 55.023894356|     ~|10.84 |10.52 |     ~|     ~|F              |   1|   0
112 |HD 191042                          |*  |20 05 49.4343645652 +48 31 13.671904909|     ~| 9.02 | 8.92 |     ~|     ~|F              |   1|   0
113 |HD 191893                          |*  |20 09 48.4737079455 +51 19 41.758936736|     ~| 9.07 | 8.85 |     ~|     ~|F              |   2|   0
114 |Cl Trumpler 37 1106                |*  |21 03 54.0444907363 +58 45 44.207377565|     ~|12.34 |11.63 |     ~|     ~|F              |   1|   0
115 |Cl Trumpler 37 14                  |*  |21 04 38.6746920413 +56 50 20.014919034|     ~|12.7  |     ~|     ~|     ~|F              |   1|   0
116 |Cl Trumpler 37 597                 |*  |21 12 28.9023002476 +57 57 40.530636946|     ~|12.49 |12.04 |     ~|     ~|F              |   1|   0
117 |Cl Trumpler 37 551                 |*  |21 03 13.1548925734 +57 59 42.376172750|     ~|12.59 |12.12 |     ~|     ~|F              |   1|   0
118 |Cl Trumpler 37 9                   |*  |21 04 02.8460145013 +56 51 47.096009241|     ~|13.00 |11.89 |     ~|     ~|F              |   1|   0
119 |Cl Trumpler 37 247                 |*  |21 04 17.9141873191 +57 18 51.869810102|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
120 |Cl Trumpler 37 578                 |*  |21 10 10.0922161355 +57 54 46.297700093|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
121 |Cl Trumpler 37 1135                |*  |21 08 45.4666100289 +59 05 17.188802492|     ~|12.40 |11.73 |     ~|     ~|F              |   1|   0
122 |Cl Trumpler 37 1174                |*  |21 14 58.5931011713 +59 05 56.042307785|     ~|12.7  |     ~|     ~|     ~|F              |   1|   0
123 |Cl Trumpler 37 1933                |*  |21 23 53.0926321276 +60 18 58.951687708|     ~|12.54 |12.24 |     ~|     ~|F              |   1|   0
124 |Cl Trumpler 37 1895                |*  |21 18 57.1324774119 +60 20 01.705634592|     ~|13.00 |11.81 |     ~|     ~|F              |   1|   0
125 |Cl Trumpler 37 1907                |*  |21 21 10.4339613864 +60 32 08.752797452|     ~|12.47 |11.64 |     ~|     ~|F              |   1|   0
126 |Cl Trumpler 37 1418                |*  |21 10 57.5530166534 +59 12 24.585557332|     ~|12.9  |     ~|     ~|     ~|F              |   1|   0
127 |Cl Trumpler 37 1612                |*  |21 06 13.9090073772 +60 03 01.878233418|     ~|12.9  |     ~|     ~|     ~|F              |   1|   0
128 |Cl Trumpler 37 1669                |*  |21 16 13.6021265824 +60 03 29.773822677|     ~|12.9  |     ~|     ~|     ~|F              |   1|   0
129 |Cl Trumpler 37 899                 |*  |21 16 04.3901463873 +58 13 26.432793581|     ~|12.84 |12.28 |     ~|     ~|F              |   1|   0
130 |Cl Trumpler 37 1186                |*  |21 16 30.0580102773 +58 56 01.571328459|     ~|13.0  |     ~|     ~|     ~|F              |   1|   0
131 |Cl Trumpler 37 1443                |*  |21 17 03.6123693168 +59 36 10.518995499|     ~|12.71 |12.01 |     ~|     ~|F              |   1|   0
132 |Cl Trumpler 37 1902                |*  |21 20 14.6434004387 +60 16 18.468231914|     ~|13.0  |     ~|     ~|     ~|F              |   1|   0
133 |Cl Trumpler 37 1883                |*  |21 17 42.6009319337 +60 20 15.446763101|     ~|13.2  |     ~|     ~|     ~|F              |   1|   0
134 |Cl Trumpler 37 1364                |*  |21 01 26.1272902762 +59 37 02.601623359|     ~|12.49 |11.74 |     ~|     ~|F              |   1|   0
135 |Cl Trumpler 37 1385                |*  |21 05 37.662 +59 19 17.15              |     ~|12.57 |11.72 |     ~|     ~|F              |   1|   0
136 |Cl Trumpler 37 610                 |*  |21 15 10.5111521270 +58 04 29.862585453|     ~|12.90 |12.65 |     ~|     ~|F              |   1|   0
137 |Cl Trumpler 37 2036                |*  |21 42 23.9601628214 +60 15 03.433396660|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
138 |Cl Trumpler 37 2034                |*  |21 42 11.4096918204 +60 20 04.781022035|     ~|13.79 |12.58 |     ~|     ~|F              |   1|   0
139 |Cl Trumpler 37 1767                |*  |21 31 42.1867717329 +59 56 45.409817924|     ~|13.1  |     ~|     ~|     ~|F              |   1|   0
140 |TYC 4266-2495-1                    |*  |21 59 54.4081000949 +62 00 04.656206741|     ~|10.89 |10.29 |     ~|     ~|F              |   1|   0
141 |HD 220393                          |*  |23 22 26.9641896200 +67 03 27.578676205|     ~| 9.03 | 8.70 |     ~|     ~|F              |   1|   0
142 |HD 224738                          |** |00 00 18.7816 +65 56 40.951            |     ~| 9.35 | 9.18 | 8.84 |     ~|F              |   7|   0
143 |BD+60 553                          |*  |02 43 14.8629 +60 46 07.520            |     ~|12.29 |11.39 |     ~|     ~|F              |   1|   0
144 |BD+50 789                          |*  |03 36 26.0647558300 +51 26 24.342217638|     ~|10.71 |10.19 |     ~|     ~|F              |   5|   0
145 |TYC 3332-2208-1                    |PM*|04 10 55.8969846875 +47 36 38.891801262|     ~| 9.88 | 9.36 |     ~|     ~|F              |   4|   0
146 |HD 276239                          |*  |04 22 26.9443380240 +42 35 20.538632709|     ~|11.43 |11.25 |     ~|     ~|F              |   1|   0
147 |TYC 3556-3712-1                    |*  |19 30 18.5172412998 +45 00 46.715386741|     ~|11.41 |11.00 |     ~|     ~|F              |   1|   0
148 |HD 184216                          |*  |19 31 14.6235642530 +47 03 38.895756017| 9.230| 9.150| 8.860|     ~|     ~|F              |   4|   0
149 |HD 187942                          |*  |19 50 23.2000317677 +48 43 54.623489882|     ~| 9.35 | 9.03 |     ~|     ~|F              |   2|   0
150 |HD 186567                          |Ro*|19 42 48.8430446048 +50 21 39.802461063|     ~| 9.07 | 9.21 |     ~| 9.191|F              |  18|   0
151 |HD 239432                          |*  |20 30 00.4897093431 +56 51 47.038149127|     ~|11.33 | 9.79 |     ~|     ~|F              |   1|   0
152 |Cl Trumpler 37 1831                |*  |21 05 25.3519549439 +60 20 53.336399395|     ~|12.88 |11.84 |     ~|     ~|F              |   1|   0
153 |Cl Trumpler 37 1835                |*  |21 06 10.9057814530 +60 30 53.745486565|     ~|12.63 |11.54 |     ~|     ~|F              |   1|   0
154 |Cl Trumpler 37 1839                |*  |21 06 58.6367 +60 28 04.887            |     ~|12.76 |12.13 |     ~|     ~|F              |   1|   0
155 |Cl Trumpler 37 1825                |*  |21 04 02.6322395804 +60 33 41.234940915|     ~|12.68 |12.34 |     ~|     ~|F              |   2|   0
156 |BD+62 1890                         |*  |21 05 26.7251118425 +63 23 24.113562277|     ~|10.11 | 9.81 |     ~|     ~|F              |   0|   0
157 |BD+65 1765                         |*  |22 24 12.7076 +66 15 11.083            |     ~|10.29 | 9.69 |     ~|     ~|F              |   0|   0
158 |HD 20847                           |*  |03 24 27.2082008072 +58 25 52.018960788|     ~| 9.87 | 9.51 |     ~|     ~|F              |   4|   0
159 |BD+52 760                          |*  |04 05 40.1227189546 +52 24 21.417657445|     ~|11.86 |11.58 |     ~|     ~|F              |   0|   0
160 |HD 26394                           |*  |04 12 41.7097658561 +48 03 18.718649374|     ~| 9.60 | 9.19 |     ~|     ~|F              |   1|   0
161 |HD 26566                           |*  |04 14 23.3500221348 +49 02 51.958318776|     ~| 9.77 | 9.46 |     ~|     ~|F              |   2|   0
162 |HD 182420                          |*  |19 22 29.1821196166 +45 52 20.862806910|     ~| 9.60 | 9.16 |     ~|     ~|F              |   3|   0
163 |KIC 11563791                       |Er*|19 36 52.2056637599 +49 35 59.379599266|     ~|12.25 |11.34 |     ~|     ~|Flat           |  14|   0
164 |BD+53 2307                         |*  |19 50 35.7365907824 +53 52 10.718312686|     ~|10.32 |10.09 |     ~|     ~|F              |   0|   0
165 |HD 194974                          |*  |20 25 36.6209787399 +59 18 56.202536278|     ~| 9.12 | 8.71 |     ~|     ~|F              |   1|   0
166 |HD 196052                          |*  |20 31 26.7559470948 +63 18 16.485143460|     ~| 9.52 | 9.19 |     ~|     ~|F              |   3|   0
167 |HD 197006                          |*  |20 37 39.4830151693 +62 41 52.590852947|     ~| 9.20 | 8.90 |     ~|     ~|F              |   1|   0
168 |BD+65 1605                         |*  |21 34 31.0807817403 +66 10 39.522540943|     ~|11.29 |10.90 |     ~|     ~|F              |   0|   0
169 |HD 202047                          |*  |21 10 00.9164250199 +67 04 56.615675286|     ~| 9.48 | 9.14 |     ~|     ~|F              |   1|   0
170 |TYC 4261-374-1                     |*  |21 29 45.7650901421 +67 00 08.912205396|     ~|11.41 |10.92 |     ~|     ~|F              |   0|   0
171 |BD+66 1450                         |*  |21 52 40.7672771531 +67 24 11.489020640|     ~|10.70 |10.25 |     ~|     ~|F              |   2|   0
172 |BD+67 163                          |PM*|01 51 39.4332494656 +68 24 51.886517585|     ~| 9.91 | 9.44 |     ~|     ~|F              |   0|   0
173 |HD 14578                           |*  |02 24 16.9571680680 +66 10 43.683920133|     ~| 9.74 | 9.26 |     ~|     ~|F              |   1|   0
174 |HD 23242                           |*  |03 46 43.1010895801 +59 48 16.246250371|10.100| 9.940| 9.570|     ~|     ~|F              |   7|   0
175 |HD 28987                           |*  |04 36 13.0428716615 +47 21 23.832243430|     ~| 8.38 | 7.85 |     ~|     ~|F              |  11|   0
176 |HD 194162                          |*  |20 20 21.7987842497 +64 28 21.675235966|     ~| 9.71 | 9.33 |     ~|     ~|F              |   1|   0
177 |HD 195745                          |*  |20 29 19.3321448966 +65 10 08.837387813|     ~| 9.98 | 9.73 |     ~|     ~|F              |   1|   0
178 |HD 195293                          |*  |20 26 20.4978251752 +66 28 38.108519266|     ~| 9.86 | 9.57 |     ~|     ~|F              |   1|   0
179 |HD 221176                          |*  |23 28 37.8859950397 +74 53 36.955738407|     ~| 9.69 | 9.29 |     ~|     ~|F              |   1|   0
180 |BD+74 26                           |*  |00 45 36.4306954327 +74 51 18.630169415|     ~| 9.65 | 9.23 |     ~|     ~|F              |   0|   0
181 |HD 5371                            |*  |00 57 31.7138406545 +75 18 04.828068241|     ~| 8.99 | 8.46 |     ~|     ~|F              |   1|   0
182 |BD+65 334                          |PM*|03 16 26.7174475733 +66 29 26.722541806|     ~|10.06 | 9.57 |     ~|     ~|F              |   0|   0
183 |HD 24851                           |*  |04 00 42.0106727962 +62 04 00.922099803|     ~| 9.85 | 9.64 |     ~|     ~|F              |   2|   0
184 |BD+61 1864                         |*  |19 26 42.9289863927 +61 29 28.382145910|     ~|10.73 |10.32 |     ~|     ~|F              |   0|   0
185 |HD 194219                          |*  |20 20 08.8940693532 +67 25 57.090601573|     ~| 9.94 | 9.53 |     ~|     ~|F              |   1|   0
186 |TYC 4601-1932-1                    |*  |22 41 00.7619696748 +76 26 22.695293653|     ~|11.59 |10.98 |     ~|     ~|F              |   0|   1
187 |TYC 4606-1951-1                    |*  |23 24 49.3114914448 +78 05 28.751862298|     ~|11.61 |11.22 |     ~|     ~|F              |   0|   0
188 |TYC 3352-229-1                     |*  |05 03 19.2335439736 +50 36 35.086600866|     ~|11.82 |11.34 |     ~|     ~|F              |   0|   0
189 |BD+61 1847                         |*  |19 20 24.7234918866 +62 15 42.472342337|     ~|11.20 |10.14 |     ~|     ~|F              |   0|   0
190 |BD+61 1827                         |PM*|19 11 59.0453636817 +62 04 45.983732204|     ~|10.24 | 9.71 |     ~|     ~|F              |   0|   0
191 |BD+63 1530                         |** |19 30 47.5944 +63 37 04.296            |     ~| 9.77 | 9.36 |     ~|     ~|F              |  14|   1
192 |TYC 4603-1628-1                    |*  |21 46 43.5501345606 +77 41 29.758925997|     ~|11.52 |11.02 |     ~|     ~|F              |   0|   0
193 |TYC 4608-414-1                     |*  |22 18 44.4350037483 +79 41 41.316126976|     ~|12.01 |11.43 |     ~|     ~|F              |   0|   0
