C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:34:38

sptypes = 'F'
-------------

Number of objects : 3144

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
918 |HD 214860                          |*  |22 40 43.1603038123 +29 59 32.528092878|     ~| 9.94 | 9.54 |     ~|     ~|F              |   6|   0
919 |HD 5956                            |*  |01 01 23.4166665671 +30 38 17.868867300|     ~| 9.42 | 9.06 | 8.9  |     ~|F              |   7|   0
920 |HD 16328                           |*  |02 38 01.3603717542 +28 02 50.751394461|     ~| 9.63 | 9.14 |     ~|     ~|F              |   4|   0
921 |HD 224069                          |*  |23 54 48.0961042106 +37 35 39.796272384|     ~| 9.33 | 8.94 |     ~|     ~|F              |   2|   0
922 |HD 224185                          |*  |23 55 47.9924752185 +37 42 11.424595163|     ~| 9.57 | 9.25 |     ~|     ~|F              |   1|   0
923 |Bol D183                           |*  |00 39 42.347 +40 40 31.70              |18.461|18.722|18.043|17.623|17.110|FV             |  10|   0
924 |Cl* NGC 752 REB 8                  |*  |01 53 14.0094203461 +36 59 22.832567935|     ~|12.39 |11.69 |     ~|     ~|F              |   2|   0
925 |Cl* NGC 752 REB 25                 |*  |01 53 00.7549321003 +38 00 51.627600962|     ~|12.86 |12.42 |     ~|     ~|F              |   2|   0
926 |TYC 2816-2043-1                    |PM*|01 56 22.2225767327 +37 47 12.155606348|     ~|12.23 |11.56 |     ~|     ~|F              |   9|   0
927 |CSI+37-01570                       |*  |02 00 00.0 +37 31 00                   |     ~|     ~|     ~|     ~|     ~|F              |   0|   0
928 |CSI+37-01582 1                     |*  |02 01 12.0 +37 40 00                   |     ~|     ~|     ~|     ~|     ~|F              |   0|   0
929 |CSI+36-01584                       |*  |02 01 24.0 +36 48 00                   |     ~|     ~|     ~|     ~|     ~|F              |   0|   0
930 |Cl* NGC 752 REB 248                |*  |01 59 13.4697834725 +36 59 29.422068172|     ~|12.32 |12.15 |     ~|     ~|F              |   1|   0
931 |Cl* NGC 752 REB 263                |*  |02 00 00.0 +37 31 00                   |     ~|     ~|     ~|     ~|     ~|F              |   1|   0
932 |Cl* NGC 752 REB 300                |*  |02 01 12.0 +37 40 00                   |     ~|     ~|     ~|     ~|     ~|F              |   1|   0
933 |Cl* NGC 752 REB 282                |*  |02 01 24.0 +36 48 00                   |     ~|     ~|     ~|     ~|     ~|F              |   1|   0
934 |KUV 02409+3407                     |*  |02 43 58.5620349752 +34 20 09.364148131|     ~|17.5  |     ~|16.18 |     ~|dF             |   6|   0
935 |HD 3713                            |*  |00 40 14.3200835183 +43 28 00.644508518|     ~| 9.34 | 9.04 |     ~|     ~|F              |   2|   0
936 |HD 4444                            |** |00 47 03.23622 +41 57 53.4071          |     ~| 9.36 | 9.02 |     ~|     ~|F              |  14|   1
937 |CSI+38-01598                       |*  |02 02 48.0 +38 16 00                   |     ~|     ~|     ~|     ~|     ~|F              |   0|   0
938 |BD+37 469                          |*  |02 03 11.7472193945 +37 55 26.521968039|     ~| 9.78 | 9.27 |     ~|     ~|F              |   1|   0
939 |Cl* NGC 752 REB 325                |*  |02 02 48.0 +38 16 00                   |     ~|     ~|     ~|     ~|     ~|F              |   1|   0
940 |TYC 2322-142-1                     |*  |02 15 46.9669673065 +37 23 20.497386063|     ~|11.85 |11.65 |     ~|     ~|F              |   0|   0
941 |CHSS 561                           |*  |09 00 42.4329971296 +28 40 29.016633114|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
942 |CHSS 563                           |*  |09 01 18.4092839852 +28 00 45.415001173|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
943 |CHSS 569                           |*  |09 03 13.9730129087 +29 28 49.553897062|     ~|     ~|13.28 |     ~|     ~|F              |   1|   0
944 |CHSS 573                           |*  |09 04 57.4 +29 20 22                   |     ~|     ~|15.13 |     ~|     ~|F              |   1|   0
945 |CHSS 577                           |*  |09 06 38.6259043669 +29 24 09.173120909|     ~|     ~|14.61 |     ~|     ~|F              |   1|   0
946 |CHSS 579                           |*  |09 07 53.1715869948 +29 28 36.561628599|     ~|     ~|15.71 |     ~|     ~|F              |   1|   0
947 |CHSS 580                           |*  |09 08 23.1 +29 02 57                   |     ~|     ~|14.67 |     ~|     ~|F              |   1|   0
948 |CHSS 581                           |*  |09 08 43.2 +29 00 12                   |     ~|     ~|13.36 |     ~|     ~|F              |   1|   0
949 |CHSS 582                           |*  |09 08 48.4358560964 +28 57 09.977491139|     ~|     ~|14.70 |     ~|     ~|F              |   1|   0
950 |CHSS 584                           |*  |09 09 44.3196959131 +29 27 58.503616925|     ~|     ~|15.92 |     ~|     ~|F              |   1|   0
951 |CHSS 585                           |*  |09 10 07.5587265135 +28 51 03.527541081|     ~|     ~|14.36 |     ~|     ~|F              |   1|   0
952 |CHSS 586                           |*  |09 10 11.9856195169 +29 10 30.713449536|     ~|     ~|15.22 |     ~|     ~|F              |   1|   0
953 |CHSS 589                           |*  |09 10 53.7115931323 +28 50 32.811207779|     ~|     ~|12.71 |     ~|     ~|F              |   1|   0
954 |CHSS 560                           |*  |09 00 18.6892752887 +28 36 12.097273082|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
955 |CHSS 562                           |*  |09 00 43.5120202111 +29 25 49.473975860|     ~|     ~|14.20 |     ~|     ~|F              |   1|   0
956 |CHSS 565                           |*  |09 02 15.8388798066 +29 14 52.206145646|     ~|     ~|14.19 |     ~|     ~|F              |   1|   0
957 |CHSS 578                           |*  |09 07 32.6445950038 +29 38 38.227786889|     ~|     ~|15.21 |     ~|     ~|F              |   1|   0
958 |CHSS 590                           |*  |09 11 09.8390996236 +29 29 35.949861348|     ~|     ~|15.41 |     ~|     ~|F              |   1|   0
959 |CHSS 574                           |*  |09 05 19.7996501697 +27 57 03.449914262|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
960 |HD 77177                           |*  |09 00 32.9232484153 -12 08 26.613632315|     ~| 7.68 | 7.37 |     ~|     ~|Fm_dD          |  16|   0
961 |HD 77105                           |dS*|09 00 04.2256366871 -14 18 26.993455692|     ~| 9.12 | 8.66 |     ~|     ~|Fm_dD          |  12|   0
962 |HD 79034                           |dS*|09 11 00.5981404172 -19 28 59.165162017|     ~| 9.35 | 8.93 |     ~|     ~|Fm_dD          |   8|   0
963 |HD 77472                           |*  |09 01 54.2628727489 -27 17 05.120175837|     ~| 8.61 | 8.22 |     ~|     ~|Fm_dD          |   4|   0
964 |CHSS 592                           |*  |09 13 15.8123665596 +29 40 03.966049968|     ~|     ~|16.38 |     ~|     ~|F              |   1|   0
965 |CHSS 593                           |*  |09 13 56.4396484241 +29 45 19.692082835|     ~|     ~|14.12 |     ~|     ~|F              |   1|   0
966 |CHSS 594                           |*  |09 14 09.3490736607 +29 39 33.273312034|     ~|     ~|13.27 |     ~|     ~|F              |   1|   0
967 |CHSS 595                           |*  |09 14 09.5236315898 +29 39 50.852968319|     ~|     ~|13.87 |     ~|     ~|F              |   1|   0
968 |CHSS 597                           |*  |09 14 51.0768027653 +29 24 27.335060896|     ~|     ~|14.84 |     ~|     ~|F              |   1|   0
969 |CHSS 598                           |*  |09 14 58.4700431958 +29 29 07.660882914|     ~|     ~|14.35 |     ~|     ~|F              |   1|   0
970 |CHSS 600                           |*  |09 16 23.2727225335 +29 24 43.947231242|     ~|     ~|13.55 |     ~|     ~|F              |   1|   0
971 |CHSS 606                           |*  |09 17 07.1852261151 +29 23 29.986133673|     ~|     ~|14.68 |     ~|     ~|F              |   1|   0
972 |TYC 1957-713-1                     |*  |09 15 32.2460478846 +28 19 12.630661099|     ~|11.83 |11.55 |     ~|     ~|F              |   1|   0
973 |TYC 1957-1469-1                    |*  |09 14 30.1610651317 +27 58 44.949900739|     ~|12.16 |11.51 |     ~|     ~|F              |   1|   0
974 |CHSS 601                           |*  |09 16 31.2811113435 +28 53 49.086751740|     ~|     ~|14.12 |     ~|     ~|F              |   1|   0
975 |CHSS 602                           |*  |09 16 32.6412909939 +28 54 10.147098198|     ~|     ~|13.81 |     ~|     ~|F              |   1|   0
976 |CHSS 603                           |*  |09 16 41.6825199147 +27 51 36.584379053|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
977 |CHSS 605                           |*  |09 17 07.1749441149 +27 51 29.980481975|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
978 |CHSS 607                           |*  |09 18 29.1384117167 +29 13 36.054551740|     ~|     ~|14.51 |     ~|     ~|F              |   1|   0
979 |CHSS 610                           |*  |09 20 08.6899749091 +29 00 53.368304100|     ~|     ~|14.24 |     ~|     ~|F              |   1|   0
980 |CHSS 611                           |*  |09 20 21.1622684510 +28 55 20.763965395|     ~|     ~|14.86 |     ~|     ~|F              |   1|   0
981 |CHSS 613                           |*  |09 21 27.4012300049 +29 36 40.384124005|     ~|     ~|15.86 |     ~|     ~|F              |   1|   0
982 |TYC 1958-1060-1                    |*  |09 21 16.0018475484 +28 04 17.601016230|     ~|11.59 |11.23 |     ~|     ~|F              |   1|   0
983 |CHSS 614                           |*  |09 22 02.0298340049 +29 11 47.619974647|     ~|     ~|15.77 |     ~|     ~|F              |   1|   0
984 |V* GN Cnc                          |RR*|09 16 04.4361932933 +20 04 23.393541176| 9.070| 8.9  | 8.730| 8.6  |     ~|F              |  13|   0
985 |HD 79304                           |*  |09 13 39.1190099060 +11 08 44.571821964|     ~|10.52 |10.15 |     ~|     ~|F              |   2|   0
986 |HD 79565                           |*  |09 15 15.2235991896 +11 12 54.196105253|     ~| 9.70 | 9.32 |     ~|     ~|F              |   2|   0
987 |HD 79611                           |*  |09 15 05.5494386872 -03 50 53.720735742|     ~| 9.83 | 9.44 |     ~|     ~|F              |   2|   0
988 |HD 79957                           |*  |09 16 52.4755220462 -04 12 12.864005376|     ~| 9.87 | 9.47 |     ~|     ~|Fm_dD          |   8|   0
989 |HD 79841                           |*  |09 16 02.2705027974 -14 01 50.539038996|     ~|10.80 |10.53 |10.36 | 9.98 |F              |   6|   0
990 |BD-22 2576                         |*  |09 20 26.3594104463 -22 51 46.657768142|     ~|11.35 |10.59 |     ~|     ~|F              |   1|   0
991 |TYC 1958-236-1                     |*  |09 27 18.6193617919 +28 12 19.898266110|     ~|11.40 |10.97 |     ~|     ~|F              |   1|   0
992 |CHSS 624                           |*  |09 24 23.5356155422 +28 58 33.116684430|     ~|     ~|13.57 |     ~|     ~|F              |   1|   0
993 |CHSS 628                           |*  |09 25 10.2465038230 +28 48 18.579344208|     ~|     ~|12.97 |     ~|     ~|F              |   1|   0
994 |CHSS 630                           |*  |09 25 15.9095535077 +28 57 24.614021347|     ~|     ~|12.93 |     ~|     ~|F              |   1|   0
995 |CHSS 635                           |*  |09 26 15.7458600624 +28 53 27.512354669|     ~|     ~|15.71 |     ~|     ~|F              |   1|   0
996 |CHSS 637                           |*  |09 27 30.7689941445 +29 32 16.165988844|     ~|     ~|15.45 |     ~|     ~|F              |   1|   0
997 |TYC 1958-73-1                      |*  |09 29 16.8732410721 +28 50 52.168985522|     ~|12.86 |12.96 |     ~|     ~|F              |   1|   0
998 |CHSS 646                           |*  |09 29 51.8049327778 +29 07 42.104272958|     ~|     ~|12.46 |     ~|     ~|F              |   1|   0
999 |CHSS 650                           |*  |09 31 33.5929176263 +28 24 09.183976470|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
1000|CHSS 655                           |*  |09 32 41.6421494939 +29 00 01.839856336|     ~|     ~|13.02 |     ~|     ~|F              |   1|   0
1001|CHSS 660                           |*  |09 33 27.2149300903 +29 27 02.482769087|     ~|     ~|12.33 |     ~|     ~|F              |   1|   0
1002|CHSS 616                           |*  |09 23 05.7273696443 +29 22 14.735414394|     ~|     ~|16.30 |     ~|     ~|F              |   1|   0
1003|CHSS 625                           |*  |09 24 27.4217521964 +29 36 30.393208463|     ~|     ~|13.85 |     ~|     ~|F              |   1|   0
1004|CHSS 629                           |*  |09 25 15.7058561458 +29 04 41.109809702|     ~|     ~|12.87 |     ~|     ~|F              |   1|   0
1005|CHSS 631                           |*  |09 25 36.7800626842 +29 38 11.348269865|     ~|     ~|13.70 |     ~|     ~|F              |   1|   0
1006|CHSS 641                           |*  |09 28 30.7873348293 +29 06 31.406720009|     ~|     ~|16.30 |     ~|     ~|F              |   1|   0
1007|CHSS 649                           |*  |09 31 06.0251039318 +28 53 19.383193677|     ~|     ~|14.58 |     ~|     ~|F              |   1|   0
1008|CHSS 654                           |*  |09 32 20.0755047568 +29 22 22.034525698|     ~|     ~|13.68 |     ~|     ~|F              |   1|   0
1009|TYC 1965-825-1                     |*  |09 32 50.6196105202 +28 22 30.226151574|     ~|13.09 |11.94 |     ~|     ~|F              |   1|   0
1010|CHSS 659                           |*  |09 32 58.7628385563 +29 23 34.566917173|     ~|     ~|13.34 |     ~|     ~|F              |   1|   0
1011|CHSS 661                           |*  |09 33 40.0579484473 +28 48 30.655703229|     ~|     ~|13.53 |     ~|     ~|F              |   1|   0
1012|CHSS 652                           |*  |09 32 00.5592175418 +28 01 40.123294143|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
1013|HD 82250                           |*  |09 31 12.9880574814 +12 39 02.016887514|     ~|10.10 | 9.70 |     ~|     ~|F              |   2|   0
1014|EC 09306-1222                      |*  |09 33 02.5129900147 -12 36 11.306762820|     ~|16    |15.54 |     ~|     ~|Fpec           |   1|   0
1015|HD 82590                           |PM*|09 32 30.2935344377 -17 26 08.697696108|     ~| 9.81 | 9.42 |     ~|     ~|F_wl           |  68|   0
1016|HD 81479                           |*  |09 25 17.3376182434 -20 46 18.385172607|     ~| 9.13 | 8.78 |     ~|     ~|Fm_dD          |   4|   0
1017|HD 82736                           |*  |09 33 03.1068713333 -28 48 34.346458544|     ~| 9.68 | 9.34 |     ~|     ~|Fm_dD          |   4|   0
1018|BD+36 1974                         |*  |09 34 11.7297162302 +36 21 14.955793196|     ~| 9.05 | 8.63 |     ~|     ~|F              |   1|   0
1019|HD 83144                           |*  |09 37 13.3833319814 +31 14 58.546601566|     ~| 9.73 | 9.46 |     ~|     ~|F              |   2|   0
1020|CHSS 665                           |*  |09 34 06.5360162445 +29 38 07.264882272|     ~|     ~|13.93 |     ~|     ~|F              |   1|   0
1021|CHSS 666                           |*  |09 35 36.8452571903 +29 42 14.318842802|     ~|     ~|14.54 |     ~|     ~|F              |   1|   0
1022|CHSS 667                           |*  |09 35 37.0079864615 +28 50 11.815616988|     ~|     ~|16.40 |     ~|     ~|F              |   1|   0
1023|CHSS 669                           |*  |09 36 13.6468329855 +29 25 41.574609097|     ~|     ~|13.30 |     ~|     ~|F              |   1|   0
1024|CHSS 671                           |*  |09 36 29.3085138558 +29 04 30.318494001|     ~|     ~|15.62 |     ~|     ~|F              |   1|   0
1025|CHSS 673                           |*  |09 37 12.0915173944 +29 26 36.481448408|     ~|     ~|15.61 |     ~|     ~|F              |   1|   0
1026|CHSS 674                           |*  |09 37 47.9 +29 03 14                   |     ~|     ~|13.44 |     ~|     ~|F              |   1|   0
1027|CHSS 677                           |*  |09 38 30.1446026170 +29 21 44.535103599|     ~|     ~|13.07 |     ~|     ~|F              |   1|   0
1028|CHSS 679                           |*  |09 38 54.8820637617 +29 20 13.984031191|     ~|     ~|13.45 |     ~|     ~|F              |   1|   0
1029|CHSS 682                           |*  |09 40 00.4544016739 +28 50 23.634424563|     ~|     ~|13.68 |     ~|     ~|F              |   1|   0
1030|CHSS 684                           |*  |09 41 25.4362756590 +29 10 06.277285786|     ~|     ~|15.90 |     ~|     ~|F              |   1|   0
1031|CHSS 688                           |*  |09 43 25.8444137265 +29 34 01.925141846|     ~|     ~|13.45 |     ~|     ~|F              |   1|   0
1032|HD 83556                           |*  |09 40 03.6488228646 +28 18 07.639566492|     ~| 9.93 | 9.70 |     ~|     ~|F              |   1|   0
1033|HD 83478                           |*  |09 39 08.3132109356 +17 28 04.739449547|     ~| 9.06 | 8.61 |     ~|     ~|F              |   6|   0
1034|EGGR 431                           |V* |09 41 59.3214197368 +06 57 17.183469842|     ~|15.21 |14.90 |     ~|     ~|dF             |  26|   1
1035|HD 83049                           |dS*|09 35 31.0049903355 -16 28 20.195029555|     ~|10.17 | 9.66 |     ~|     ~|Fm_dD          |   4|   0
1036|BD-22 2695                         |*  |09 43 06.1189070007 -23 16 37.926228949|     ~|10.80 | 9.97 |     ~|     ~|F              |   0|   0
1037|CHSS 690                           |*  |09 45 23.3907325321 +29 09 34.656223895|     ~|     ~|13.35 |     ~|     ~|F              |   1|   0
1038|CHSS 691                           |*  |09 45 54.9306827769 +29 36 45.320538310|     ~|     ~|12.40 |     ~|     ~|F              |   1|   0
1039|CHSS 692                           |*  |09 47 16.8604758744 +29 42 59.476114214|     ~|     ~|16.27 |     ~|     ~|F              |   1|   0
1040|CHSS 695                           |*  |09 48 46.8510555223 +29 26 03.492753567|     ~|     ~|15.42 |     ~|     ~|F              |   1|   0
1041|CHSS 697                           |*  |09 48 54.0741801085 +29 27 00.498567954|     ~|     ~|13.50 |     ~|     ~|F              |   2|   0
1042|TYC 1966-190-1                     |*  |09 51 18.6962064267 +29 30 56.648791557|     ~|12.56 |12.00 |12.2  |     ~|F              |   3|   0
1043|CHSS 696                           |*  |09 48 48.5441829133 +28 59 37.330663336|     ~|     ~|15.90 |     ~|     ~|F              |   1|   0
1044|CHSS 698                           |*  |09 49 32.3125679774 +29 00 35.887977260|     ~|     ~|14.19 |     ~|     ~|F              |   2|   0
1045|CHSS 699                           |*  |09 49 59.1547939919 +29 09 22.860400558|     ~|     ~|16.35 |     ~|     ~|F              |   1|   0
1046|CHSS 707                           |*  |09 55 03.6339850523 +29 16 49.678743016|     ~|     ~|16.09 |     ~|     ~|F              |   1|   0
1047|CHSS 708                           |*  |09 55 34.9264544111 +29 42 56.380485700|     ~|     ~|14.49 |     ~|     ~|F              |   2|   0
1048|CHSS 693                           |*  |09 47 17.4 +28 03 58                   |     ~|     ~|     ~|     ~|     ~|F              |   1|   0
1049|TYC 1967-861-1                     |*  |09 54 28.1680653121 +28 37 54.956116856|     ~|11.13 |10.85 |     ~|     ~|F              |   1|   0
1050|CHSS 704                           |*  |09 53 56.3103705928 +29 29 16.511287682|     ~|     ~|14.62 |     ~|     ~|F              |   3|   0
1051|HD 86029                           |*  |09 55 44.9984816522 -08 50 11.381970010|     ~| 6.99 | 6.67 |     ~|     ~|Fm_dD          |  14|   0
1052|Case A-F 509                       |*  |09 58 23.3 +32 23 06                   |     ~|16.47 |16.18 |     ~|     ~|F              |   4|   1
1053|TYC 1967-331-1                     |*  |09 58 16.6345070675 +29 39 47.062940580|     ~|12.43 |12.12 |     ~|     ~|F              |   1|   0
1054|CHSS 715                           |*  |09 59 02.6506786290 +28 57 23.433168476|     ~|     ~|16.46 |     ~|     ~|F              |   1|   0
1055|CHSS 716                           |PM*|10 00 44.9526546977 +29 20 04.273549875|     ~|     ~|14.41 |     ~|     ~|F              |   1|   0
1056|CHSS 717                           |*  |10 01 18.3711079159 +29 18 31.195471247|     ~|     ~|13.49 |     ~|     ~|F              |   1|   0
1057|TYC 1967-843-1                     |*  |10 02 08.4479416723 +28 24 58.420771354|     ~|11.40 |10.92 |     ~|     ~|F              |   1|   0
1058|CHSS 721                           |*  |10 02 31.3511315662 +29 37 19.743176901|     ~|     ~|14.52 |     ~|     ~|F              |   1|   0
1059|CHSS 728                           |*  |10 06 32.8533063656 +29 29 08.393331822|     ~|     ~|16.33 |     ~|     ~|F              |   1|   0
1060|CHSS 727                           |*  |10 06 32.9026045801 +29 20 52.747428538|     ~|     ~|14.29 |     ~|     ~|F              |   1|   0
1061|CHSS 729                           |*  |10 07 06.6493391575 +28 49 38.376714868|     ~|     ~|13.41 |     ~|     ~|F              |   1|   0
1062|EC 09561-1334                      |*  |09 58 32.1336991227 -13 48 29.241989038|     ~|16.10 |15.57 |15.58 |     ~|F              |   1|   0
1063|HD 86580                           |*  |09 58 55.3674614760 -22 56 31.225971512|     ~|10.36 | 9.85 |     ~|     ~|Fm_dD          |   5|   0
1064|HIP 49314                          |V* |10 03 57.90473 -39 22 44.5583          |     ~|12.30 |11.79 |     ~|     ~|Fp             |   5|   0
1065|HS 1013+3804                       |*  |10 16 00.0 +37 48 00                   |     ~|17.7  |     ~|     ~|     ~|F              |   2|   0
1066|CHSS 730                           |*  |10 07 31.1107837313 +29 15 22.692075315|     ~|     ~|15.62 |     ~|     ~|F              |   1|   0
1067|CHSS 731                           |*  |10 07 58.8403907564 +29 02 32.006496345|     ~|     ~|13.82 |     ~|     ~|F              |   1|   0
1068|TYC 1974-519-1                     |*  |10 08 13.0621737570 +29 20 25.062468905|     ~|12.59 |12.50 |     ~|     ~|F              |   1|   0
1069|CHSS 733                           |*  |10 09 05.0050359820 +29 26 11.752367689|     ~|     ~|15.43 |     ~|     ~|F              |   1|   0
1070|CHSS 734                           |*  |10 09 14.4415043198 +28 45 42.173806388|     ~|     ~|16.24 |     ~|     ~|F              |   1|   0
1071|CHSS 738                           |*  |10 10 36.8916981966 +28 40 33.966370706|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
1072|CHSS 740                           |*  |10 11 36.2405376985 +29 20 38.832405973|     ~|     ~|16.17 |     ~|     ~|F              |   1|   0
1073|CHSS 745                           |*  |10 12 19.0122955102 +28 50 10.612283693|     ~|     ~|13.59 |     ~|     ~|F              |   1|   0
1074|CHSS 747                           |*  |10 13 45.6229383694 +29 16 42.262565245|     ~|     ~|13.67 |     ~|     ~|F              |   1|   0
1075|CHSS 751                           |*  |10 16 54.2348558168 +28 59 31.087070191|     ~|     ~|12.54 |     ~|     ~|F              |   1|   0
1076|CHSS 753                           |*  |10 18 28.6885590856 +29 29 47.396636660|     ~|     ~|14.07 |     ~|     ~|F              |   1|   0
1077|CHSS 739                           |*  |10 11 02.6817058401 +29 26 16.428350841|     ~|     ~|14.69 |     ~|     ~|F              |   1|   0
1078|CHSS 746                           |*  |10 12 40.7041891642 +29 04 16.577991373|     ~|     ~|14.90 |     ~|     ~|F              |   1|   0
1079|CHSS 749                           |*  |10 15 58.4708431825 +28 54 03.674280012|     ~|     ~|13.37 |     ~|     ~|F              |   1|   0
1080|CHSS 752                           |*  |10 18 19.8959253667 +29 09 32.358639952|     ~|     ~|14.57 |     ~|     ~|F              |   1|   0
1081|CHSS 743                           |*  |10 11 52.5669809355 +28 00 35.097596126|     ~|     ~|     ~|     ~|     ~|F              |   1|   0
1082|HD 88776                           |*  |10 14 40.2661573629 +16 46 08.898065395|     ~| 9.61 | 9.34 |     ~|     ~|F              |   1|   0
1083|HD 88281                           |** |10 11 08.9678546425 +15 31 19.442550713|     ~| 9.61 | 9.34 |     ~|     ~|F              |   2|   0
1084|HD 88213                           |*  |10 10 34.4659119831 +12 55 16.488576266|     ~| 9.70 | 9.25 |     ~|     ~|F              |   2|   0
1085|HD 87869                           |dS*|10 07 42.6602860792 -14 09 54.611932832|     ~| 9.58 | 9.21 |     ~|     ~|Fm_dD          |   5|   0
1086|HD 89352                           |*  |10 18 25.0732872194 -13 20 58.388235594|     ~|10.30 |10.056| 9.84 | 9.591|F              |   6|   0
1087|HD 89369                           |*  |10 18 23.4583818127 -22 45 23.324632003|     ~| 8.52 | 8.24 |     ~|     ~|Fm_dD          |   5|   0
1088|BD-22 2890                         |*  |10 18 39.9975285451 -23 11 42.444409770|     ~|10.28 | 9.80 |     ~|     ~|F              |   0|   0
1089|HD 88137                           |*  |10 09 13.4325552228 -31 46 37.392858040|     ~|10.08 | 9.64 |     ~|     ~|Fm_dD          |   9|   0
1090|BD+39 2345                         |PM*|10 24 05.1957150368 +39 04 50.273604494|     ~| 9.40 | 8.89 |     ~|     ~|F              |   1|   0
1091|HD 90760                           |*  |10 29 27.0110729530 +36 43 52.145709790|     ~| 9.84 | 9.53 |     ~|     ~|F              |   1|   0
1092|CHSS 762                           |*  |10 25 33.5982071964 +29 23 33.086514522|     ~|     ~|13.93 |     ~|     ~|F              |   1|   0
1093|CHSS 755                           |*  |10 20 50.8490808326 +29 09 03.785287642|     ~|     ~|13.66 |     ~|     ~|F              |   1|   0
1094|TYC 1975-558-1                     |*  |10 24 28.0046693281 +28 21 32.143958017|     ~|12.65 |11.73 |     ~|     ~|F              |   1|   0
1095|HD 90360                           |*  |10 26 11.8026947067 +20 16 34.178429934|     ~| 9.52 | 9.11 | 8.9  |     ~|F              |   5|   0
1096|HD 90198                           |PM*|10 24 13.1596955100 -27 25 33.423756905|     ~| 8.85 | 8.49 |     ~|     ~|Fm_dD          |  12|   0
1097|HD 89887                           |*  |10 21 51.0408034185 -28 52 42.440715843|     ~|10.19 | 9.75 |     ~|     ~|Fm_dD          |   8|   0
1098|HD 90883                           |*  |10 29 01.4485223970 -32 17 26.093617651|     ~| 9.61 | 9.18 |     ~|     ~|Fm_dD          |   4|   0
1099|HD 90029                           |Al*|10 22 48.3719034213 -33 36 58.255018331|     ~| 9.65 | 9.26 |     ~|     ~|Fm_dD          |   6|   0
1100|BD+40 2357                         |*  |10 41 07.721 +39 18 56.10              |     ~|11.34 |11.07 |     ~|     ~|F              |   0|   0
1101|Case A-F 635                       |RR*|10 37 54.2064386419 +29 29 14.324210665|     ~|     ~|14.58 |     ~|     ~|F              |   7|   0
1102|GSC 01976-00077                    |*  |10 30 13.3855804192 +29 20 25.879518801|     ~|14.26 |13.78 |     ~|     ~|F              |   2|   0
1103|CHSS 3                             |*  |10 31 11.7423707066 +29 16 23.346104529|     ~|     ~|14.67 |     ~|     ~|F              |   1|   0
1104|CHSS 5                             |*  |10 31 23.4497793138 +29 35 17.422547638|     ~|     ~|13.72 |     ~|     ~|F              |   1|   0
1105|CHSS 7                             |*  |10 32 15.4 +29 41 07                   |     ~|     ~|14.53 |     ~|     ~|F              |   1|   0
1106|CHSS 8                             |*  |10 32 36.9328324158 +29 33 12.783464972|     ~|     ~|13.94 |     ~|     ~|F              |   1|   0
1107|CHSS 10                            |*  |10 33 59.2545681574 +29 39 44.988215844|     ~|     ~|13.92 |     ~|     ~|F              |   1|   0
1108|CHSS 13                            |*  |10 35 18.5345763342 +29 24 14.831176307|     ~|     ~|12.69 |     ~|     ~|F              |   1|   0
1109|CHSS 17                            |*  |10 35 54.2 +29 22 56                   |     ~|     ~|13.13 |     ~|     ~|F              |   1|   0
1110|CHSS 19                            |*  |10 36 23.8 +29 17 34                   |     ~|     ~|15.46 |     ~|     ~|F              |   1|   0
1111|TYC 1979-167-1                     |*  |10 36 42.0366382542 +29 26 40.597261394|     ~|12.84 |13.00 |     ~|     ~|F              |   1|   0
1112|CHSS 25                            |*  |10 37 25.9660630874 +29 22 39.846293811|     ~|     ~|12.84 |     ~|     ~|F              |   1|   0
1113|CHSS 32                            |*  |10 38 50.5344452802 +29 34 31.420917691|     ~|     ~|14.57 |     ~|     ~|F              |   1|   0
1114|CHSS 35                            |*  |10 39 55.1765694262 +29 33 56.650920102|     ~|     ~|15.26 |     ~|     ~|F              |   1|   0
1115|CHSS 2                             |*  |10 31 03.5349693414 +29 24 39.610411623|     ~|     ~|13.17 |     ~|     ~|F              |   1|   0
1116|CHSS 4                             |*  |10 31 19.8225747015 +29 22 23.842285280|     ~|     ~|14.85 |     ~|     ~|F              |   1|   0
1117|CHSS 15                            |*  |10 35 43.5065340398 +29 38 39.335990015|     ~|     ~|13.20 |     ~|     ~|F              |   1|   0
1118|CHSS 18                            |*  |10 36 01.9467815310 +29 28 30.311654919|     ~|     ~|14.90 |     ~|     ~|F              |   1|   0
1119|CHSS 20                            |*  |10 36 24.5513063513 +29 32 43.462511637|     ~|     ~|13.55 |     ~|     ~|F              |   1|   0
