C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
495 |BD-01 1701                         |PM*|07 25 27.2537026810 -01 59 19.692185080|     ~|11.37 |10.13 |     ~|     ~|M              |   1|   0
496 |HD 57056                           |S* |07 19 15.6777435433 -11 27 41.375906965|     ~|10.25 | 8.54 |     ~|     ~|MS             |  15|   0
497 |BD-13 2016                         |*  |07 26 46.4579513528 -13 38 03.426285494|     ~|11.07 | 9.49 |     ~|     ~|M              |   0|   0
498 |BD-20 1958                         |*  |07 28 31.2231674740 -21 09 41.161671235|     ~|11.02 | 9.05 |     ~|     ~|M              |   0|   0
499 |[BBD2002] P52                      |*  |07 36 01.8 -14 21 29                   |     ~|     ~|     ~|     ~|     ~|MV:e           |   1|   0
500 |S1* 246                            |S* |07 35 18.2273888372 -31 29 45.515798574|     ~|     ~|     ~|     ~|     ~|MS             |   2|   0
501 |FIRST J075127.6+272736             |*  |07 51 27.64 +27 27 36.4                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
502 |V* V347 Gem                        |LP?|07 44 09.6538839855 +14 10 23.583608320|     ~| 8.90 | 7.34 |     ~|     ~|Mb             |  11|   0
503 |IRAS 07497-0321                    |LP*|07 52 17.4919936472 -03 29 04.444144821|     ~|     ~|     ~|10.83 | 8.36 |M              |   3|   0
504 |HD 62183                           |*  |07 42 31.2567355701 -06 13 40.810023557|     ~|11.56 |10.010| 9.81 |     ~|Ma             |   2|   0
505 |S1* 262                            |S* |07 47 57.1550065064 -18 39 02.133876727|     ~|     ~|     ~|     ~|     ~|MS             |   3|   0
506 |S1* 268                            |S* |07 51 39.3492213083 -25 07 59.695922077|     ~|     ~|     ~|     ~|     ~|MS             |   6|   0
507 |BD+05 1832                         |*  |07 54 51.4719771577 +04 52 23.150140825|     ~|12.40 |10.54 |10.134|     ~|M              |   0|   0
508 |S1* 272                            |S* |07 53 48.4530212645 -11 48 59.778089687|     ~|     ~|     ~|     ~|     ~|MS             |   2|   0
509 |S1* 271                            |S* |07 53 37.9194618407 -13 32 17.407590044|     ~|14.477|12.660|     ~|     ~|MS             |   3|   0
510 |V* DX Pup                          |LP*|08 02 11.1080648806 -13 01 05.779298637|     ~|12.56 |10.58 |     ~|     ~|M              |   7|   0
511 |BD-14 2320                         |*  |08 00 41.6033640799 -14 39 52.959213915|     ~|10.82 | 9.18 |     ~|     ~|M              |   0|   0
512 |S1* 273                            |S* |07 53 53.2347471155 -15 17 58.028235016|     ~|14.242|12.379|     ~|     ~|MS             |   4|   0
513 |BD-22 2126                         |*  |08 02 25.7534603001 -23 23 16.057793021|     ~|11.35 | 9.78 |     ~|     ~|M              |   0|   0
514 |V* PS Mon                          |LP?|08 08 52.0447308717 -10 23 47.052077239|     ~|11.35 | 9.93 |     ~|     ~|M              |   2|   0
515 |BD-14 2382                         |*  |08 08 07.6515903636 -14 39 20.827629533|     ~|11.02 | 9.65 |     ~|     ~|M              |   0|   0
516 |BD-15 2289                         |*  |08 10 03.7579631816 -15 43 33.329089035|     ~|11.03 | 9.94 |     ~|     ~|M              |   0|   0
517 |CLS 3                              |*  |08 22 28.2703917031 +38 03 48.900226630|     ~|18.0  |     ~|16.5  |     ~|M              |   3|   1
518 |CLS 1                              |*  |08 19 49.9695149970 +37 27 29.621530905|     ~|17.7  |     ~|16.5  |     ~|M              |   3|   1
519 |V* FZ Hya                          |LP*|08 21 33.233 +04 57 30.15              |     ~|10.01 | 8.80 |     ~|     ~|M              |  25|   0
520 |V* AB Pup                          |Mi*|08 21 12.9914798222 -12 29 19.118493465|     ~|12.53 |11.23 |13.38 |     ~|Me             |   6|   0
521 |BD-15 2347                         |*  |08 15 35.7735379963 -16 20 52.333881892|     ~|11.32 |10.06 |     ~|     ~|M              |   0|   0
522 |V* RX Lyn                          |Mi*|08 28 08.0419634906 +38 20 22.928033410|     ~|12.36 |10.29 |     ~|     ~|M              |   8|   0
523 |BD+37 1882                         |*  |08 36 26.249 +36 56 41.83              |     ~|12.25 |11.23 |     ~|     ~|M              |   1|   0
524 |BD+00 2306                         |*  |08 28 23.3370175197 -00 21 55.377983963|     ~|10.74 | 9.03 |     ~|     ~|M              |   0|   0
525 |V* V398 Hya                        |Mi*|08 26 26.8072794216 -03 17 43.620356858|     ~|     ~|10.9  |     ~|     ~|Me             |   5|   0
526 |BD-22 2272                         |*  |08 26 41.6710317874 -23 09 58.887901494|     ~|10.682| 9.16 |     ~|     ~|M              |   1|   0
527 |V* XZ Pyx                          |LP?|08 28 16.5083293344 -22 58 52.542415758|     ~|10.85 | 9.33 |     ~|     ~|M              |   6|   0
528 |BD-22 2285                         |*  |08 28 16.2172878462 -23 20 52.484448472|     ~|11.42 | 9.68 |     ~|     ~|M              |   1|   0
529 |BD+36 1855                         |AB*|08 40 25.5391458866 +35 36 24.072391043|     ~|12.00 |10.61 | 8.0  |     ~|M              |   3|   0
530 |NVSS J084407+280741                |*  |08 44 07.2746200661 +28 07 40.362836901|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
531 |V* CN Pyx                          |Mi*|08 39 42.0059084901 -21 08 58.857127100|     ~|     ~|     ~|14.71 |     ~|Me             |   6|   1
532 |BD-22 2390                         |*  |08 46 26.9789245814 -22 46 25.058049084|     ~|11.165| 9.51 |     ~|     ~|M              |   1|   0
533 |V* UV Pyx                          |Mi*|08 45 36.5624804156 -25 06 16.517808183|     ~|15.40 |13.70 |13.05 | 7.89 |Me             |   7|   0
534 |EUVE J0852-19.2                    |*  |08 52 17.0 -19 13 36                   |     ~|     ~|     ~|     ~|     ~|MV:e           |   1|   0
535 |RAFGL 5253                         |Mi*|08 52 05.5990206523 -33 05 44.019884116|     ~|13.21 |11.48 |12.82 |     ~|Me             |   7|   0
536 |BPM 44552                          |*  |22 31 12.07 -41 57 12.7                |     ~|14.0  |     ~|     ~|     ~|MIII           |   1|   0
537 |[LM84] 2-5                         |*  |22 31 01.76 -40 07 26.6                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
538 |[LM84] 2-15                        |*  |22 36 27.36 -41 00 25.9                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
539 |[LM84] 2-16                        |*  |22 36 32.60 -41 13 19.8                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
540 |[LM84] 2-17                        |*  |22 37 30.51 -42 06 57.4                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
541 |[LM84] 2-18                        |*  |22 37 36.12 -41 56 58.5                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
542 |V* DS Gru                          |Mi*|22 43 11.5515366467 -41 31 58.383117006|     ~|     ~| 9.6  |     ~|     ~|MIII           |   7|   0
543 |CD-42 16036                        |*  |22 41 52.3601976448 -41 54 15.357817200|     ~|11.68 |10.25 |     ~|     ~|MIII           |   1|   0
544 |V* AS For                          |Mi*|02 46 21.0944560481 -36 13 35.474378174|     ~|18.57 |10.2  |     ~|     ~|Me             |   8|   0
545 |[LM84] 3-3                         |*  |02 57 02.43 -34 29 02.4                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
546 |[LM84] 2-2                         |*  |22 29 30.44 -38 47 13.8                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
547 |[LM84] 2-3                         |*  |22 29 36.04 -38 53 47.8                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
548 |LEHPM 4754                         |PM*|22 29 24.8566191971 -39 05 25.355240750|     ~|     ~|     ~|     ~|     ~|MV             |   4|   0
549 |BPM 44589                          |PM*|22 36 08.5708013237 -39 54 23.233871071|     ~|16.10 |14.42 |14.09 |     ~|MV             |   2|   0
550 |[LM84] 2-4                         |*  |22 30 22.1805889672 -38 09 27.954515457|     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
551 |[LM84] 2-8                         |*  |22 32 10.68 -38 09 04.0                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
552 |[LM84] 2-9                         |*  |22 32 50.86 -39 22 51.1                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
553 |[LM84] 2-12                        |*  |22 34 17.98 -37 59 23.7                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
554 |UCAC4 254-185980                   |*  |22 35 47.8753764589 -39 14 16.230264756|     ~|13.468|11.900|11.537|     ~|MIII           |   2|   0
555 |[LM84] 2-19                        |*  |22 37 52.02 -37 37 46.0                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
556 |[LM84] 2-21                        |*  |22 41 41.82 -38 18 02.3                |     ~|13.2  |     ~|     ~|     ~|MV             |   1|   0
557 |BPM 44669                          |*  |22 46 59.84 -40 04 09.3                |     ~|13.6  |     ~|     ~|     ~|MV             |   1|   0
558 |IRAS 22454-3926                    |*  |22 48 21.241 -39 10 15.10              |     ~|     ~|     ~|     ~|     ~|MIII           |   1|   0
559 |[LM84] 2-25                        |*  |22 45 01.79 -39 03 04.4                |     ~|     ~|     ~|     ~|     ~|MIII           |   1|   0
560 |[LM84] 2-27                        |*  |22 46 28.58 -38 47 00.1                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
561 |[LM84] 2-30                        |*  |22 48 03.78 -39 57 53.2                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
562 |[LM84] 2-33                        |*  |22 50 11.48 -39 31 57.8                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
563 |[LM84] 2-35                        |*  |22 52 21.75 -40 30 24.4                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
564 |LEHPM 5115                         |PM*|22 46 30.5332379099 -39 16 06.355423433|     ~|     ~|     ~|     ~|     ~|MV             |   4|   0
565 |BPM 44700                          |*  |22 55 21.47 -39 51 46.4                |     ~|14.5  |     ~|     ~|     ~|MV             |   1|   0
566 |[LM84] 2-36                        |*  |22 52 28.17 -38 33 39.6                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
567 |[LM84] 2-38                        |*  |22 54 32.77 -38 27 32.9                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
568 |LEHPM 5245                         |PM*|22 52 59.3665898490 -39 22 51.952660168|     ~|     ~|     ~|     ~|     ~|MV             |   4|   0
569 |2MASS J02400410-3445145            |*  |02 40 04.101 -34 45 14.60              |     ~|20.295|18.871|     ~|     ~|M              |   2|   0
570 |2MASS J02392260-3443101            |*  |02 39 22.6067848458 -34 43 10.268640992|     ~|     ~|16.61 |     ~|     ~|M              |   1|   0
571 |2MASS J02393033-3448026            |AB*|02 39 30.3260567016 -34 48 02.717439736|     ~|     ~|19.09 |     ~|     ~|M              |   2|   0
572 |2MASS J02395493-3421015            |*  |02 39 54.9381798618 -34 21 01.546066614|     ~|22.34 |20.33 |     ~|     ~|M              |   3|   0
573 |2MASS J02401454-3430410            |AB*|02 40 14.543 -34 30 41.05              |     ~|20.091|18.606|     ~|     ~|M              |   3|   0
574 |WEL M5                             |*  |02 40 12.4 -34 32 27                   |     ~|17.3  |16.1  |     ~|     ~|M              |   1|   0
575 |WEL M6                             |*  |02 40 12.4 -34 32 28                   |     ~|17.3  |16.1  |     ~|     ~|M              |   1|   0
576 |2MASS J02400430-3423429            |*  |02 40 04.3063903686 -34 23 42.902497312|     ~|     ~|17.00 |     ~|     ~|M              |   1|   0
577 |2MASS J02395807-3429007            |AB*|02 39 58.0751041800 -34 29 00.699903031|     ~|     ~|17.70 |     ~|     ~|M              |   2|   0
578 |2MASS J02401851-3418542            |*  |02 40 18.5156125303 -34 18 54.218227292|     ~|     ~|20.1  |     ~|     ~|M              |   1|   0
579 |2MASS J02401961-3432527            |AB*|02 40 19.62 -34 32 52.7                |     ~|20.328|18.953|     ~|     ~|M              |   3|   0
580 |CD-37 14834                        |*  |22 33 49.9341691189 -37 21 12.493416431|     ~|11.48 |10.07 |     ~|     ~|MIII           |   1|   0
581 |UCAC4 262-194945                   |PM*|22 47 28.9161359740 -37 42 13.822865812|     ~|     ~|12.941|12.533|     ~|MV             |   5|   0
582 |CRTS J222632.9-340406              |RB?|22 26 32.7654681205 -34 04 08.504688126|     ~|16.4  |14.71 |     ~|     ~|M              |   5|   0
583 |2MASS J01004250-3344235            |RG*|01 00 42.5022637693 -33 44 23.517963717|     ~|18.7  |17.208|     ~|15.701|M              |  15|   0
584 |[LM84] 2-22                        |*  |22 42 07.65 -38 25 28.6                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
585 |G 269-21                           |PM*|00 42 39.1923922788 -28 20 44.238730250|     ~|15.7  |     ~|     ~|     ~|MV             |   6|   0
586 |[LM84] 1-4                         |*  |00 44 16.65 -27 52 06.5                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
587 |BPM 46707                          |PM*|00 52 29.2423372950 -28 46 00.699309002|     ~|13.544|12.850|12.705|     ~|MV             |   6|   0
588 |G 269-53                           |PM*|00 53 36.0554803717 -29 27 30.069377060|     ~|14.13 |12.62 |     ~|     ~|MV             |   7|   0
589 |UCAC4 311-000745                   |PM*|00 45 39.2112560339 -27 55 16.371513251|     ~|16.42 |14.87 |14.65 |     ~|MV             |   2|   0
590 |UCAC4 306-000752                   |*  |00 46 31.4898751219 -28 56 53.098101912|     ~|16.43 |14.92 |14.63 |     ~|MV             |   3|   0
591 |UCAC4 312-000790                   |PM*|00 46 37.4530228563 -27 42 20.767984448|     ~|16.54 |15.00 |14.78 |     ~|MV             |   3|   0
592 |UCAC4 304-000810                   |PM*|00 48 16.8583884346 -29 19 44.649810421|     ~|15.191|13.722|13.405|     ~|MV             |   2|   0
593 |UCAC4 304-000853                   |*  |00 50 40.7190700005 -29 15 39.833608051|     ~|14.206|13.572|13.549|     ~|MV             |   2|   0
594 |UCAC4 302-000896                   |PM*|00 51 37.3329256522 -29 40 13.592629277|     ~|15.861|14.391|14.123|     ~|MV             |   2|   0
595 |UCAC4 309-000970                   |*  |00 52 18.9145303919 -28 23 12.534028198|     ~|15.946|14.801|14.512|     ~|MV             |   2|   0
596 |UCAC4 304-000875                   |PM*|00 52 05.1713309667 -29 16 50.908770247|     ~|15.040|13.726|13.337|     ~|MV             |   2|   0
597 |UCAC4 307-000925                   |*  |00 53 27.8111853701 -28 42 51.184684709|     ~|14.779|13.296|12.894|     ~|MIII           |   2|   0
598 |UCAC4 307-000954                   |*  |00 55 25.9993371946 -28 40 59.592777318|     ~|14.425|13.809|13.809|     ~|MV             |   2|   0
599 |RGO 8926                           |PM*|00 55 09.9456613662 -29 09 40.569511941|     ~|15.20 |13.60 |     ~|     ~|MV             |   3|   0
600 |EGM 390                            |PM*|00 48 05.9579935717 -28 14 35.934199831|     ~|15.69 |14.07 |     ~|     ~|MV             |   6|   0
601 |G 269-68                           |PM*|00 58 52.7883360518 -28 13 51.773822687|     ~|15.49 |13.91 |13.629|     ~|MV             |  15|   0
602 |G 269-69                           |PM*|00 58 51.8811110067 -28 41 52.766835986|     ~|15.08 |13.45 |     ~|     ~|MV             |   9|   0
603 |CD-28 197                          |*  |00 41 08.4653822187 -27 20 46.599015801|     ~|11.67 |10.53 |     ~|     ~|MIII           |   4|   0
604 |[LM84] 1-2                         |*  |00 41 41.5281482304 -27 37 33.083220410|     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
605 |UCAC4 322-000829                   |PM*|00 44 48.1264757709 -25 36 28.246649982|     ~|17.37 |15.6  |15.25 |     ~|MV             |   2|   0
606 |G 268-46                           |PM*|00 46 55.11672 -26 08 05.0712          |     ~|15.69 |14.06 |13.68 |     ~|MV             |  15|   0
607 |EGM 385                            |PM*|00 47 57.6472051110 -26 38 40.701192754|     ~|16.26 |14.75 |14.338|     ~|MV             |   6|   0
608 |EGM 355                            |PM*|00 49 50.4265508126 -26 58 15.207579837|     ~|16.653|15.076|14.833|     ~|MV             |   5|   0
609 |UCAC4 320-000776                   |PM*|00 44 58.791 -26 09 44.19              |     ~|16.32 |14.84 |14.51 |     ~|MV             |   2|   0
610 |UCAC4 319-000816                   |*  |00 45 14.7392705519 -26 12 57.610547150|     ~|15.47 |14.02 |13.61 |     ~|MV             |   2|   0
611 |[LM84] 1-11                        |*  |00 46 35.42 -26 41 54.1                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
612 |UCAC4 322-000861                   |*  |00 46 43.1478341956 -25 38 17.425290108|     ~|15.99 |14.54 |14.021|     ~|MV             |   5|   0
613 |UCAC4 320-000859                   |*  |00 48 57.3716469553 -26 04 39.823388569|     ~|16.356|14.999|14.436|     ~|MV             |   4|   0
614 |G 268-94                           |PM*|01 01 27.7928853365 -25 15 23.016770479|     ~|17.08 |15.58 |15.38 |     ~|MV             |   4|   0
615 |G 268-106                          |PM*|01 03 54.8076679183 -26 20 04.688596604|     ~|14.65 |13.13 |12.851|     ~|MV             |  13|   0
616 |RX J0058.0-2721                    |*  |00 58 00.5 -27 21 29                   |     ~|     ~|     ~|     ~|     ~|MV             |   2|   0
617 |UCAC4 322-001006                   |*  |00 56 21.1405421897 -25 36 12.008235665|     ~|15.315|13.802|13.564|     ~|MV             |   2|   0
618 |UCAC4 322-001008                   |*  |00 56 23.1779498759 -25 36 04.235914782|     ~|15.284|13.779|13.529|     ~|MV             |   2|   0
619 |UCAC4 325-001071                   |PM*|00 56 48.9126690282 -25 00 04.224526321|     ~|16.91 |15.2  |14.99 |     ~|MV             |   2|   0
620 |UCAC4 317-001092                   |PM*|00 58 22.3979455483 -26 37 19.445298953|     ~|17.08 |15.4  |14.927|     ~|MV             |   3|   0
621 |UCAC4 316-001043                   |PM*|00 59 28.3400950646 -26 58 35.280144755|     ~|16.029|14.763|14.395|     ~|MV             |   2|   0
622 |UCAC4 315-001097                   |*  |01 01 44.9123371311 -27 06 14.509837269|     ~|15.867|14.377|13.935|     ~|MV             |   2|   0
623 |FDF 3595                           |*  |01 06 00.61 -25 45 35.5                |     ~|24.37 |     ~|     ~|     ~|M              |   2|   0
624 |FDF 6447                           |*  |01 06 10.70 -25 45 06.6                |     ~|26.41 |     ~|     ~|     ~|M              |   2|   0
625 |FDF 7253                           |*  |01 06 13.40 -25 43 52.0                |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
626 |FDF 8167                           |*  |01 06 16.70 -25 47 48.0                |     ~|25.19 |     ~|     ~|     ~|M              |   2|   0
627 |FDF 1813                           |*  |01 05 54.15 -25 43 22.4                |     ~|24.70 |     ~|     ~|     ~|M              |   2|   0
628 |FDF 2252                           |*  |01 05 55.80 -25 44 27.1                |     ~|23.47 |     ~|     ~|     ~|M              |   2|   0
629 |FDF 3559                           |*  |01 06 00.49 -25 43 41.5                |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
630 |FDF 5090                           |*  |01 06 05.82 -25 46 42.4                |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
631 |FDF 7373                           |*  |01 06 13.83 -25 48 43.0                |     ~|23.30 |     ~|     ~|     ~|M              |   2|   0
632 |BD-22 407                          |*  |02 25 07.3553904880 -21 31 54.690147878|     ~|10.60 | 9.48 |     ~|     ~|M              |   0|   0
633 |BD-22 388                          |*  |02 18 48.0144482567 -21 54 35.795212826|     ~|11.05 | 9.69 |     ~|     ~|M              |   0|   0
634 |HD 358948                          |*  |21 12 05.9017150961 -19 10 26.604173970|     ~|12.26 |10.86 |     ~|     ~|M              |   1|   0
635 |G 275-B16B                         |PM*|23 26 08.3777149842 -23 54 26.642200060|     ~|     ~|     ~|15.61 |     ~|MV:            |   3|   0
636 |G 268-57                           |PM*|00 50 16.0427157357 -24 42 15.194921056|     ~|15.44 |13.97 |13.59 |     ~|MV             |   8|   0
637 |HD 358186                          |*  |21 03 20.2788404777 -14 47 27.108948874|     ~|12.06 |10.59 |     ~|     ~|M              |   1|   0
638 |HD 358705                          |*  |21 01 32.0598956622 -15 38 52.796888943|     ~|11.87 |10.55 |     ~|     ~|M              |   1|   0
639 |V* AV Aqr                          |Mi*|22 24 13.4527578080 -19 47 42.776600874|     ~|12.00 |     ~|     ~|     ~|M              |   9|   0
640 |IRAS 23518-2124                    |*  |23 54 25.7424975715 -21 07 55.323161248|     ~|     ~|     ~|12.64 | 9.41 |M              |   1|   0
641 |[BEM91] 21                         |Mi*|00 22 30.9085568270 -18 32 45.183650180|     ~|     ~|11.72 |14.32 |     ~|M              |   4|   0
642 |BD-19 70                           |*  |00 31 16.138 -19 09 10.68              |     ~|     ~| 8.8  |     ~|     ~|M              |   0|   0
643 |V* AH Cap                          |LP*|21 44 32.9027017022 -09 32 09.418855660|     ~|13.80 |12.13 |     ~|     ~|Me             |   3|   0
644 |FBS 2222-125                       |LP*|22 25 00.4950906206 -12 16 07.315993714|     ~|     ~|     ~|14.02 |     ~|M              |   6|   0
645 |G 273-171                          |PM*|23 56 09.2686276345 -13 58 17.577188848|     ~|17.0  |     ~|15.71 |12.72 |MV             |   3|   0
646 |BD-12 261                          |*  |01 26 54.5938959920 -11 39 26.871773454|     ~|11.19 |10.02 |     ~|     ~|M              |   0|   0
647 |V* DL Aqr                          |Mi*|21 22 49.3329751014 -02 47 35.962054996|     ~|12.14 |10.41 |10.10 | 8.71 |MIII:e         |   6|   0
648 |EDS 010551-040455                  |*  |01 08 23.0 -03 48 54                   |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
649 |V* VW Aqr                          |Mi*|21 00 54.5568188147 -01 31 11.634938846|     ~|10.00 |     ~|     ~|     ~|Me             |   7|   0
650 |BD-02 204                          |*  |01 22 12.3103266910 -01 34 50.861635965|     ~|12.090|10.649|     ~|     ~|M              |   1|   0
651 |[SLB2015] 20933                    |*  |22 17 26.7755838467 +00 14 05.372012499|     ~|     ~|     ~|20.6  |     ~|M              |   2|   0
652 |[SLB2015] 20224                    |*  |22 17 24.8636647052 +00 13 57.872880375|     ~|     ~|     ~|21.5  |     ~|M              |   3|   0
653 |AG+00 2791                         |*  |22 14 44.8203251342 +00 41 29.272154995|     ~|11.9  |10.0  |     ~|     ~|M              |   0|   0
654 |[CSH96] SSA 22 61                  |*  |22 17 38.596 +00 15 57.11              |     ~|     ~|     ~|23.0  |     ~|M              |   3|   0
655 |SDSS J221805.47+001833.1           |*  |22 18 05.471 +00 18 33.19              |     ~|     ~|     ~|22.0  |     ~|M              |   2|   0
656 |[SLB2015] 10323                    |PM*|22 17 52.6542012743 +00 17 55.223284495|     ~|     ~|     ~|20.9  |     ~|M              |   2|   0
657 |SDSS J221749.60+001807.6           |*  |22 17 49.606 +00 18 07.61              |     ~|     ~|     ~|22.1  |     ~|M              |   2|   0
658 |SDSS J221748.10+002112.8           |*  |22 17 48.101 +00 21 12.83              |     ~|     ~|     ~|22.4  |     ~|M              |   2|   0
659 |[SLB2015] 30428                    |*  |22 17 44.5294044659 +00 21 21.497098518|     ~|     ~|     ~|20.7  |     ~|M              |   2|   0
660 |DO 7840                            |*  |22 34 28.7823864886 +01 21 38.960944609|     ~|12.15 |10.46 |     ~|     ~|M              |   0|   0
661 |BD-00 61                           |*  |00 25 59.3032202934 +00 20 35.815047282|     ~|12.29 |11.05 |     ~|     ~|M              |   0|   0
662 |BD+00 135                          |s*r|00 53 16.5338381923 +00 48 28.923864454|14.226|12.234|10.598| 9.700| 8.792|M              |   4|   1
663 |G 70-55                            |** |01 22 45.006432 +00 32 04.26804        |     ~|15.45 |13.67 |13.59 |     ~|MV             |  10|   0
664 |SN 2000dh                          |*  |00 01 03.8409759643 +04 30 05.422630338|     ~|     ~|     ~|     ~|     ~|M              |   3|   1
665 |TYC 575-708-1                      |*  |22 56 42.6356203490 +06 36 43.068993759|     ~|12.36 |10.81 |     ~|     ~|M              |   0|   0
666 |V* DN Psc                          |LP?|23 47 13.8052168291 +07 05 13.320367061|     ~|12.30 |10.52 |10.049|     ~|M              |   4|   0
667 |RX J0019.2+0748                    |*  |00 19 15.27 +07 48 20.7                |     ~|     ~|     ~|     ~|     ~|M              |   4|   0
668 |[BEM91] 11                         |PM*|01 55 34.6554699570 +06 32 47.978549010|     ~|16.7  |     ~|14.0  |     ~|MV             |   2|   0
669 |BD+05 4710                         |*  |21 08 25.4543109295 +06 24 29.048669602|     ~|11.53 |10.11 |     ~|     ~|M              |   0|   0
670 |BD+08 5035                         |*  |23 17 27.5217213150 +08 58 14.311960450|     ~|11.61 |10.25 |     ~|     ~|M              |   0|   0
671 |BD+07 283                          |*  |01 49 18.3805420036 +08 17 56.614180756|     ~|11.63 |10.15 |     ~|     ~|M              |   0|   0
672 |EM* StHA 10                        |Em*|01 52 57.3579541744 +08 33 26.915995288|     ~|15.641|13.5  |     ~|     ~|Me             |   7|   0
673 |V* TU Psc                          |LP*|00 11 39.5907811182 +12 05 53.201296956|     ~|12.84 |11.34 |     ~|11.63 |M              |   5|   0
674 |V* V337 Peg                        |LP*|22 57 00.2382819394 +14 25 08.135718555|     ~| 9.40 | 7.80 |     ~|     ~|M              |  11|   0
675 |LP 471-17                          |PM*|02 50 29.9479377912 +11 25 08.425366254|     ~|20.4  |     ~|17.8  |     ~|sdM            |   4|   0
676 |2E 2346.8+1842                     |*  |23 49 25.5 +18 59 07                   |     ~|     ~|     ~|     ~|     ~|Me             |  10|   0
677 |2MASS J00263301+1708492            |*  |00 26 33.0358112872 +17 08 48.830283395|     ~|     ~|     ~|     ~|18.748|M              |   5|   0
678 |2MASS J00264027+1709320            |*  |00 26 40.2870604516 +17 09 32.116902658|     ~|     ~|     ~|     ~|17.515|M              |   5|   0
679 |LP 457-15                          |PM*|21 13 01.6310972696 +15 48 33.381472579|     ~|16.3  |     ~|14.2  |     ~|M              |   6|   0
680 |[AUO2003] J232638.39+220555.3      |*  |23 26 38.39 +22 05 55.3                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
681 |RX J0143.6+1915                    |Y*?|01 43 36.0224073353 +19 15 30.918457121|     ~|15.79 |14.47 |14.20 |     ~|M              |   3|   0
682 |G 69-26                            |PM*|00 50 26.9566931706 +23 56 49.073418258|     ~|16.37 |14.87 |13.8  |     ~|M              |  12|   0
683 |V* CN Psc                          |LP*|00 56 44.5067255917 +26 20 24.019501248|     ~| 9.23 | 7.81 |     ~|     ~|MIII           |  17|   0
684 |2MASSs J0253511+202808             |*  |02 53 51.15 +20 28 08.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
685 |2MASSs J0253530+194517             |*  |02 53 53.09 +19 45 18.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
686 |2MASSs J0254108+201804             |*  |02 54 10.90 +20 18 04.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
687 |2MASSs J0254151+202218             |*  |02 54 15.13 +20 22 18.6                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
688 |GSC 01230-00880                    |*  |02 54 47.1903908331 +20 29 18.530768244|     ~|     ~|12.9  |     ~|     ~|M              |   2|   0
689 |2MASSs J0255516+201807             |*  |02 55 51.65 +20 18 07.9                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
690 |2MASSs J0256007+194046             |*  |02 56 00.72 +19 40 46.1                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
691 |2MASSs J0256087+193344             |*  |02 56 08.78 +19 33 44.9                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
692 |2MASSs J0256129+202915             |*  |02 56 12.94 +20 29 15.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
693 |GSC 01227-01126                    |*  |02 56 46.2476096051 +19 33 51.848796679|     ~|     ~|13.3  |     ~|     ~|M              |   3|   0
694 |GSC 01227-00331                    |*  |02 56 48.1425513776 +19 32 04.505832794|     ~|     ~|13.8  |     ~|     ~|M              |   3|   0
