C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
43  |BD+49 3905                         |Ir*|22 36 01.7417332499 +50 35 41.604007216|     ~|10.22 | 8.62 |     ~|     ~|MIII:          |   2|   0
44  |BD+48 3787                         |*  |22 37 46.2681971716 +49 12 11.328772825|     ~|11.64 | 9.97 |     ~|     ~|MIII:          |   1|   0
45  |TYC 3628-643-1                     |*  |22 37 09.3815087855 +49 51 50.793478973|     ~|11.61 |10.30 |     ~|     ~|MIII:          |   2|   0
46  |S1* 717                            |S* |22 52 34.9758011984 +50 24 53.113090366|     ~|11.92 |10.38 |     ~|     ~|MS             |   4|   0
47  |BD+50 32                           |S* |00 14 10.1149668585 +51 33 34.136160901|     ~|12.03 |10.50 |     ~|     ~|MS             |   1|   0
48  |V* V535 Cas                        |LP*|00 19 39.7918981661 +52 21 56.062173752|     ~|10.71 | 9.18 |     ~|     ~|Ma             |   3|   0
49  |BD+48 457                          |*  |01 32 10.6607444298 +49 13 29.604820325|     ~|12.2  |10.3  |     ~|     ~|M              |   1|   0
50  |V* AX And                          |Mi*|02 32 46.1378156130 +46 29 20.313655777|     ~|13.09 |11.60 |     ~|     ~|Me             |  12|   0
51  |BD+43 523A                         |*  |02 33 58.3181821038 +44 09 28.778547829|     ~|11.37 |10.23 |     ~|     ~|M              |   5|   0
52  |BD+43 559                          |*  |02 42 45.2331348642 +44 34 29.854167919|     ~|11.25 | 9.65 |     ~|     ~|M              |   2|   0
53  |HD 275226                          |*  |03 20 17.9284597287 +38 05 27.359575260|     ~|12.65 |10.79 |     ~|     ~|M              |   1|   0
54  |IRAS 03227+3841                    |*  |03 26 02.3734128727 +38 51 43.842291858|     ~|     ~|12.0  |     ~|     ~|M              |   1|   1
55  |HD 229291                          |*  |20 25 41.4052571594 +40 00 33.423292731|     ~| 9.94 | 8.34 |     ~|     ~|M              |   5|   0
56  |EM* UHA 56                         |Em*|20 53 40.4464214295 +43 51 21.139754951|     ~|17.0  |15.5  |     ~|     ~|M              |   4|   0
57  |V* V2141 Cyg                       |S* |20 57 53.1776422615 +44 47 17.335989474|     ~| 9.13 | 7.48 |     ~|     ~|MS             |  53|   0
58  |EM* UHA 84                         |LP*|20 56 33.7745965555 +46 04 26.661318424|     ~|16.5  |14.5  |     ~|     ~|M              |   4|   0
59  |EM* CGHA 20                        |Em*|21 03 14.4645928934 +46 02 48.916092444|     ~|11.17 |10.69 |     ~|     ~|M              |   3|   0
60  |EM* CGHA 24                        |Em*|21 04 48.9247539751 +45 00 25.166482866|     ~|12.3  |11.5  |     ~|     ~|M              |   3|   0
61  |EM* UHA 33                         |Em*|20 49 48.8565314316 +45 17 12.572280370|     ~|17.0  |15.0  |     ~|     ~|M              |   4|   0
62  |EM* AS 453                         |Sy*|21 02 09.8173494732 +45 46 32.736335364|     ~|16.04 |14.68 |11.38 |     ~|Mep            | 243|   0
63  |BD+45 3513                         |*  |21 22 43.8186819205 +46 23 42.337908203|     ~|11.7  | 9.96 |     ~|     ~|M              |   1|   0
64  |V* V362 Cyg                        |LP*|21 10 47.2733031078 +47 29 03.434370256|     ~|     ~|12.91 |     ~|     ~|M              |   3|   0
65  |EM* CGHA 22                        |Em*|21 03 25.0316897711 +46 54 35.950613334|     ~|14.1  |11.5  |     ~|     ~|M              |   3|   0
66  |EM* CGHA 44                        |Em*|21 08 17.1296706267 +46 23 46.724141308|     ~|13.71 |11.89 |     ~|     ~|M              |   4|   0
67  |EM* CGHA 57                        |Em*|21 10 02.2624567702 +46 44 44.039875315|     ~|13.1  |12.0  |     ~|     ~|M              |   3|   0
68  |EM* CGHA 59                        |Em*|21 10 17.9550910984 +46 10 41.115814661|     ~|12.78 |12.05 |     ~|     ~|M              |   3|   0
69  |EM* CGHA 76                        |Em*|21 15 54.8026551647 +46 09 44.156720597|     ~|12.81 |11.57 |     ~|     ~|M              |   3|   0
70  |EM* CGHA 29                        |Em*|21 05 51.4477012798 +45 57 30.833197007|     ~|13.9  |11.5  |     ~|     ~|M              |   3|   0
71  |EM* CGHA 52                        |Em*|21 09 17.6782566880 +45 31 12.991314589|     ~|14.8  |12.0  |     ~|     ~|M              |   3|   0
72  |EM* VES 374                        |Em*|21 11 48.3310133454 +45 21 58.827624303|     ~|13.15 |11.37 |     ~|     ~|M              |   4|   0
73  |BD+49 3687                         |*  |21 56 54.9192060368 +50 28 08.172747015|     ~|10.79 | 9.04 |     ~|     ~|M              |   0|   0
74  |IRAS 21434+4936                    |*  |21 45 16.2502037067 +49 50 31.295814625|     ~|12.2  |     ~|     ~|     ~|M              |   2|   1
75  |S1* 735                            |S* |23 35 46.7035354011 +54 41 36.393773810|     ~|     ~|     ~|     ~|     ~|MS             |   5|   0
76  |BD+48 682                          |*  |02 28 50.1512588106 +49 36 40.800278369|     ~|10.69 | 8.99 |     ~|     ~|M              |   0|   0
77  |V* V374 Per                        |LP?|03 17 22.4845267890 +42 19 26.692841082|     ~|11.69 |10.16 | 9.65 |     ~|M              |   5|   0
78  |EM* UHA 16                         |Em*|20 45 51.2277408901 +46 29 15.059732528|     ~|15.5  |13.0  |     ~|     ~|M              |   3|   0
79  |PN K 4-54                          |*  |20 42 53.2833865457 +45 56 31.116489582|     ~|     ~|     ~|     ~|     ~|M              |   9|   2
80  |BD+49 3500                         |*  |21 18 52.563 +49 43 18.76              |     ~|12.11 | 9.69 |     ~|     ~|M              |   0|   0
